time,RSI
2020-05-06,67.5352
2020-05-05,65.6303
2020-05-04,62.8161
2020-05-01,60.0816
2020-04-30,65.0615
2020-04-29,61.3627
2020-04-28,54.8827
2020-04-27,59.3788
2020-04-24,59.2479
2020-04-23,53.9443
2020-04-22,54.8094
2020-04-21,49.5486
2020-04-20,56.0518
2020-04-17,60.9924
2020-04-16,64.3768
2020-04-15,63.3123
2020-04-14,65.3497
2020-04-13,59.1125
2020-04-09,56.4216
2020-04-08,55.4586
2020-04-07,52.1687
2020-04-06,53.8063
2020-04-03,42.5658
2020-04-02,44.1831
2020-04-01,41.9147
2020-03-31,47.7246
2020-03-30,47.9571
2020-03-27,44.6578
2020-03-26,48.8784
2020-03-25,43.0269
2020-03-24,43.4986
2020-03-23,32.4707
2020-03-20,33.7535
2020-03-19,38.0730
2020-03-18,38.6139
2020-03-17,40.3016
2020-03-16,35.9681
2020-03-13,46.0756
2020-03-12,31.7122
2020-03-11,40.6176
2020-03-10,44.7371
2020-03-09,32.8869
2020-03-06,42.7180
2020-03-05,44.7675
2020-03-04,50.2445
2020-03-03,41.4314
2020-03-02,46.6954
2020-02-28,23.1197
2020-02-27,23.1777
2020-02-26,31.7486
2020-02-25,25.8535
2020-02-24,31.2166
2020-02-21,43.0494
2020-02-20,51.6386
2020-02-19,56.2652
2020-02-18,50.7374
2020-02-14,59.4464
2020-02-13,59.3620
2020-02-12,62.7876
2020-02-11,55.2098
2020-02-10,57.9232
2020-02-07,56.4126
2020-02-06,63.3928
2020-02-05,60.1735
2020-02-04,57.8676
2020-02-03,47.0547
2020-01-31,47.9791
2020-01-30,68.4148
2020-01-29,69.2841
2020-01-28,63.3550
2020-01-27,52.5123
2020-01-24,73.4630
2020-01-23,76.1506
2020-01-22,74.7690
2020-01-21,73.7585
2020-01-17,79.2163
2020-01-16,76.7103
2020-01-15,73.4963
2020-01-14,76.7725
2020-01-13,88.0561
2020-01-10,84.9780
2020-01-09,84.6009
2020-01-08,80.5602
2020-01-07,76.4076
2020-01-06,80.9810
2020-01-03,79.0874
2020-01-02,88.9021
2019-12-31,85.0780
2019-12-30,83.4459
2019-12-27,82.0164
2019-12-26,82.4261
2019-12-24,77.1618
2019-12-23,76.8632
2019-12-20,71.1245
2019-12-19,73.2030
2019-12-18,72.8583
2019-12-17,74.9337
2019-12-16,74.3948
2019-12-13,69.3101
2019-12-12,64.3132
2019-12-11,63.3077
2019-12-10,59.9363
2019-12-09,57.5446
2019-12-06,66.1836
2019-12-05,58.6149
2019-12-04,51.2668
2019-12-03,46.1334
2019-12-02,57.3075
2019-11-29,66.8710
2019-11-27,68.8453
2019-11-26,62.9163
2019-11-25,69.9344
2019-11-22,61.3782
2019-11-21,62.1762
2019-11-20,66.1471
2019-11-19,77.9121
2019-11-18,81.3130
2019-11-15,80.0141
2019-11-14,76.6066
2019-11-13,84.1832
2019-11-12,81.9836
2019-11-11,82.9767
2019-11-08,81.2194
2019-11-07,80.5981
2019-11-06,78.6363
2019-11-05,78.5382
2019-11-04,79.6454
2019-11-01,78.4011
2019-10-31,71.9056
2019-10-30,64.3991
2019-10-29,64.4836
2019-10-28,83.4149
2019-10-25,81.2956
2019-10-24,78.2587
2019-10-23,77.8267
2019-10-22,74.0978
2019-10-21,76.0643
2019-10-18,70.8794
2019-10-17,69.2259
2019-10-16,67.9050
2019-10-15,70.7585
2019-10-14,72.3425
2019-10-11,73.2548
2019-10-10,66.3875
2019-10-09,61.9963
2019-10-08,57.7241
2019-10-07,64.3042
2019-10-04,64.2352
2019-10-03,54.4235
2019-10-02,50.7711
2019-10-01,64.9504
2019-09-30,63.9526
2019-09-27,54.2069
2019-09-26,57.0932
2019-09-25,60.1651
2019-09-24,53.5563
2019-09-23,56.1595
2019-09-20,54.2545
2019-09-19,62.1895
2019-09-18,67.1420
2019-09-17,64.2082
2019-09-16,63.0610
2019-09-13,61.4630
2019-09-12,72.0353
2019-09-11,73.3582
2019-09-10,65.6008
2019-09-09,61.9381
2019-09-06,60.5794
2019-09-05,60.6222
2019-09-04,54.7356
2019-09-03,48.8650
2019-08-30,54.3957
2019-08-29,54.8923
2019-08-28,49.5493
2019-08-27,47.3392
2019-08-26,50.7416
2019-08-23,44.8466
2019-08-22,61.8337
2019-08-21,62.2225
2019-08-20,59.3054
2019-08-19,59.2929
2019-08-16,54.4842
2019-08-15,47.5959
2019-08-14,49.0124
2019-08-13,58.6941
2019-08-12,45.4590
2019-08-09,46.2604
2019-08-08,50.0602
2019-08-07,42.3989
2019-08-06,38.4499
2019-08-05,30.7880
2019-08-02,45.7418
2019-08-01,55.8169
2019-07-31,70.4069
2019-07-30,62.1866
2019-07-29,65.6542
2019-07-26,61.4881
2019-07-25,59.8618
2019-07-24,65.5728
2019-07-23,66.1581
2019-07-22,63.3528
2019-07-19,53.4212
2019-07-18,63.7276
2019-07-17,58.2764
2019-07-16,62.4838
2019-07-15,65.0952
2019-07-12,61.1657
2019-07-11,57.6866
2019-07-10,62.4982
2019-07-09,58.2879
2019-07-08,55.5333
2019-07-05,69.8614
2019-07-03,70.5619
2019-07-02,67.8542
2019-07-01,65.8697
2019-06-28,58.8336
2019-06-27,64.8680
2019-06-26,65.0660
2019-06-25,56.6748
2019-06-24,66.9781
2019-06-21,67.7143
2019-06-20,70.0709
2019-06-19,67.7057
2019-06-18,69.5091
2019-06-17,62.4277
2019-06-14,60.3369
2019-06-13,64.2843
2019-06-12,64.3919
2019-06-11,65.9307
2019-06-10,63.0741
2019-06-07,59.7655
2019-06-06,51.8955
2019-06-05,46.8047
2019-06-04,40.6923
2019-06-03,23.3666
2019-05-31,25.2176
2019-05-30,28.9892
2019-05-29,26.1581
2019-05-28,27.0550
2019-05-24,27.8019
2019-05-23,28.4613
2019-05-22,31.5018
2019-05-21,35.7049
2019-05-20,27.7310
2019-05-17,34.1489
2019-05-16,35.5002
2019-05-15,36.5115
2019-05-14,31.8075
2019-05-13,25.3300
2019-05-10,37.9892
2019-05-09,44.1192
2019-05-08,48.4524
2019-05-07,48.3687
2019-05-06,60.8736
2019-05-03,70.4055
2019-05-02,66.6709
2019-05-01,70.9147
2019-04-30,50.5449
2019-04-29,67.5847
2019-04-26,66.7919
2019-04-25,71.7870
2019-04-24,82.4304
2019-04-23,84.3461
2019-04-22,80.6066
2019-04-18,79.6110
2019-04-17,78.5302
2019-04-16,71.2366
2019-04-15,71.1912
2019-04-12,70.4351
2019-04-11,70.8068
2019-04-10,78.5979
2019-04-09,77.0753
2019-04-08,79.8129
2019-04-05,75.8192
2019-04-04,73.8519
2019-04-03,73.3453
2019-04-02,71.3942
2019-04-01,66.8261
2019-03-29,64.4556
2019-03-28,62.1337
2019-03-27,61.6757
2019-03-26,58.6512
2019-03-25,63.9210
2019-03-22,70.6929
2019-03-21,84.8404
2019-03-20,78.0627
2019-03-19,75.7694
2019-03-18,82.8989
2019-03-15,80.8287
2019-03-14,77.7838
2019-03-13,74.7311
2019-03-12,73.4297
2019-03-11,69.9276
2019-03-08,53.4832
2019-03-07,51.8617
2019-03-06,61.3439
2019-03-05,66.8436
2019-03-04,68.5972
2019-03-01,66.4166
2019-02-28,61.4314
2019-02-27,70.3084
2019-02-26,69.0444
2019-02-25,68.8232
2019-02-22,66.0743
2019-02-21,61.4352
2019-02-20,65.5309
2019-02-19,63.0144
2019-02-15,61.8522
2019-02-14,63.1836
2019-02-13,61.9819
2019-02-12,64.1395
2019-02-11,61.6701
2019-02-08,64.3469
2019-02-07,65.7357
2019-02-06,74.7799
2019-02-05,74.7230
2019-02-04,71.9403
2019-02-01,66.5976
2019-01-31,66.5005
2019-01-30,65.1441
2019-01-29,48.4627
2019-01-28,51.8880
2019-01-25,55.0437
2019-01-24,44.5191
2019-01-23,46.9017
2019-01-22,45.5693
2019-01-18,52.2713
2019-01-17,50.4838
2019-01-16,48.8309
2019-01-15,45.5031
2019-01-14,39.7097
2019-01-11,42.7615
2019-01-10,44.8050
2019-01-09,44.0238
2019-01-08,40.0327
2019-01-07,35.4715
2019-01-04,35.7579
2019-01-03,25.8443
2019-01-02,40.3761
2018-12-31,40.0288
2018-12-28,37.2703
2018-12-27,37.1324
2018-12-26,38.0932
2018-12-24,18.9616
2018-12-21,21.1839
2018-12-20,25.3694
2018-12-19,28.7751
2018-12-18,34.0190
2018-12-17,29.2473
2018-12-14,30.6916
2018-12-13,36.4449
2018-12-12,32.5990
2018-12-11,31.6534
2018-12-10,32.5004
2018-12-07,30.5875
2018-12-06,35.6976
2018-12-04,37.4795
2018-12-03,46.0100
2018-11-30,35.9379
2018-11-29,36.9010
2018-11-28,38.2221
2018-11-27,26.8637
2018-11-26,27.1182
2018-11-23,23.0976
2018-11-21,25.5413
2018-11-20,25.6501
2018-11-19,30.9114
2018-11-16,36.7752
2018-11-15,33.6439
2018-11-14,26.5218
2018-11-13,29.9269
2018-11-12,31.2156
2018-11-09,39.3023
2018-11-08,43.2368
2018-11-07,44.6995
2018-11-06,36.5183
2018-11-05,33.3898
2018-11-02,37.9359
2018-11-01,54.7145
2018-10-31,50.1953
2018-10-30,41.5013
2018-10-29,39.6950
2018-10-26,44.4233
2018-10-25,48.9469
2018-10-24,41.7648
2018-10-23,52.5590
2018-10-22,49.3516
2018-10-19,47.2851
2018-10-18,42.0617
2018-10-17,48.9169
2018-10-16,50.2865
2018-10-15,43.1368
2018-10-12,49.4890
2018-10-11,35.7593
2018-10-10,38.0823
2018-10-09,56.1448
2018-10-08,49.8276
2018-10-05,50.9353
2018-10-04,59.3897
2018-10-03,71.1023
2018-10-02,67.1103
2018-10-01,63.8569
2018-09-28,61.2618
2018-09-27,59.9156
2018-09-26,51.1552
2018-09-25,55.4140
2018-09-24,52.6052
2018-09-21,45.7254
2018-09-20,50.7452
2018-09-19,47.0831
2018-09-18,46.8044
2018-09-17,46.0966
2018-09-14,57.4935
2018-09-13,63.5955
2018-09-12,54.5810
2018-09-11,61.7446
2018-09-10,50.0227
2018-09-07,58.7380
2018-09-06,64.9063
2018-09-05,80.9256
2018-09-04,88.7137
2018-08-31,88.2135
2018-08-30,86.2620
2018-08-29,84.4330
2018-08-28,80.7407
2018-08-27,78.2492
2018-08-24,75.3462
2018-08-23,74.1788
2018-08-22,73.4353
2018-08-21,73.4196
2018-08-20,75.0924
2018-08-17,83.7621
2018-08-16,79.4770
2018-08-15,75.2221
2018-08-14,74.4641
2018-08-13,73.1357
2018-08-10,71.0735
2018-08-09,76.3905
2018-08-08,74.3014
2018-08-07,74.1244
2018-08-06,81.1681
2018-08-03,80.2367
2018-08-02,79.7356
2018-08-01,73.8858
2018-07-31,48.3428
2018-07-30,46.7538
2018-07-27,50.7064
2018-07-26,65.8252
2018-07-25,69.3392
2018-07-24,64.2085
2018-07-23,59.5567
2018-07-20,58.9697
2018-07-19,61.0331
2018-07-18,56.4164
2018-07-17,61.0336
2018-07-16,59.4994
2018-07-13,61.1857
2018-07-12,60.4654
2018-07-11,52.0577
2018-07-10,61.2503
2018-07-09,62.1703
2018-07-06,55.3152
2018-07-05,46.7665
2018-07-03,40.9072
2018-07-02,52.3246
2018-06-29,43.2773
2018-06-28,44.7161
2018-06-27,38.3809
2018-06-26,39.1954
2018-06-25,27.6245
2018-06-22,34.8971
2018-06-21,36.5999
2018-06-20,39.9815
2018-06-19,35.8253
2018-06-18,46.8108
2018-06-15,47.2383
2018-06-14,56.3080
2018-06-13,55.9194
2018-06-12,64.0163
2018-06-11,60.6045
2018-06-08,63.0114
2018-06-07,72.7482
2018-06-06,75.8655
2018-06-05,74.6036
2018-06-04,71.6573
2018-06-01,68.0764
2018-05-31,57.9396
2018-05-30,61.2097
2018-05-29,63.2496
2018-05-25,66.6479
2018-05-24,65.5959
2018-05-23,66.5181
2018-05-22,63.9086
2018-05-21,65.7140
2018-05-18,63.0776
2018-05-17,65.4095
2018-05-16,69.4536
2018-05-15,66.7481
2018-05-14,72.4214
2018-05-11,73.8755
2018-05-10,78.5534
2018-05-09,76.0284
2018-05-08,74.7190
2018-05-07,73.8455
2018-05-04,72.5708
2018-05-03,64.4294
2018-05-02,63.9858
2018-05-01,51.1998
2018-04-30,41.6089
2018-04-27,32.4626
2018-04-26,35.7166
2018-04-25,33.9284
2018-04-24,31.8017
2018-04-23,35.0952
2018-04-20,35.7914
2018-04-19,48.5864
2018-04-18,63.0203
2018-04-17,64.3866
2018-04-16,59.6199
2018-04-13,57.3033
2018-04-12,56.0756
2018-04-11,52.5368
2018-04-10,54.4168
2018-04-09,47.7714
2018-04-06,43.9322
2018-04-05,53.2575
2018-04-04,50.7230
2018-04-03,43.2262
2018-04-02,38.7743
2018-03-29,40.6183
2018-03-28,37.4545
2018-03-27,40.2134
2018-03-26,47.7534
2018-03-23,25.5466
2018-03-22,31.5789
2018-03-21,36.3616
2018-03-20,46.8342
2018-03-19,47.0184
2018-03-16,56.0052
2018-03-15,58.3293
2018-03-14,57.8040
2018-03-13,63.0125
2018-03-12,69.4550
2018-03-09,66.3790
2018-03-08,60.0534
2018-03-07,55.2977
2018-03-06,60.9006
2018-03-05,61.4128
2018-03-02,60.1873
2018-03-01,57.7942
2018-02-28,67.1629
2018-02-27,68.0217
2018-02-26,69.7459
2018-02-23,64.9640
2018-02-22,60.0508
2018-02-21,57.4937
2018-02-20,59.3589
2018-02-16,60.6763
2018-02-15,61.8695
2018-02-14,53.6343
2018-02-13,48.2064
2018-02-12,45.0945
2018-02-09,30.5869
2018-02-08,27.1207
2018-02-07,32.1559
2018-02-06,37.0816
2018-02-05,15.1646
2018-02-02,18.7733
2018-02-01,30.7166
2018-01-31,28.7554
2018-01-30,26.2873
2018-01-29,28.1781
2018-01-26,36.6965
2018-01-25,34.6944
2018-01-24,44.5543
2018-01-23,58.0076
2018-01-22,57.8452
2018-01-19,66.2691
2018-01-18,71.3966
2018-01-17,70.9926
2018-01-16,62.2696
2018-01-12,67.9580
2018-01-11,61.6105
2018-01-10,57.4623
2018-01-09,57.6890
2018-01-08,57.7916
2018-01-05,60.9626
2018-01-04,54.0916
2018-01-03,50.9353
2018-01-02,51.0538
2017-12-29,37.9319
2017-12-28,44.4853
2017-12-27,42.1515
2017-12-26,42.0144
2017-12-22,61.4000
2017-12-21,61.4000
2017-12-20,59.1294
2017-12-19,60.0445
2017-12-18,69.6428
2017-12-15,62.6379
2017-12-14,56.1302
2017-12-13,56.3828
2017-12-12,54.2720
2017-12-11,58.6166
2017-12-08,45.1797
