time,MACD,MACD_Hist,MACD_Signal
2020-04-30,-2.1322,0.1298,-2.2620
2020-04-29,-2.1568,0.1131,-2.2699
2020-04-28,-2.2068,0.0700,-2.2767
2020-04-27,-2.2597,0.0213,-2.2810
2020-04-24,-2.3042,-0.0219,-2.2823
2020-04-23,-2.2991,-0.0182,-2.2809
2020-04-22,-2.3278,-0.0480,-2.2798
2020-04-20,-2.3596,-0.0826,-2.2769
2020-04-17,-2.3870,-0.1151,-2.2719
2020-04-16,-2.4094,-0.1445,-2.2650
2020-04-15,-2.4123,-0.1561,-2.2562
2020-04-14,-2.4517,-0.2049,-2.2467
2020-04-13,-2.5060,-0.2717,-2.2343
2020-04-09,-2.5610,-0.3432,-2.2178
2020-04-08,-2.6157,-0.4186,-2.1970
2020-04-07,-2.6900,-0.5183,-2.1717
2020-04-06,-2.7761,-0.6358,-2.1403
2020-04-03,-2.8127,-0.7110,-2.1017
2020-04-02,-2.7997,-0.7410,-2.0586
2020-04-01,-2.8328,-0.8191,-2.0137
2020-03-31,-2.8321,-0.8680,-1.9641
2020-03-30,-2.8436,-0.9321,-1.9115
2020-03-27,-2.9079,-1.0529,-1.8550
2020-03-26,-2.9662,-1.1750,-1.7912
2020-03-25,-3.0532,-1.3332,-1.7200
2020-03-24,-3.0317,-1.3926,-1.6392
2020-03-23,-2.9614,-1.4066,-1.5548
2020-03-20,-2.8909,-1.4214,-1.4695
2020-03-19,-2.8515,-1.4681,-1.3834
2020-03-18,-2.7619,-1.4675,-1.2944
2020-03-17,-2.5992,-1.3938,-1.2055
2020-03-16,-2.4503,-1.3293,-1.1210
2020-03-13,-2.2055,-1.1651,-1.0404
2020-03-12,-2.0763,-1.1065,-0.9698
2020-03-11,-1.8111,-0.9084,-0.9027
2020-03-10,-1.7081,-0.8604,-0.8477
2020-03-09,-1.6479,-0.8523,-0.7955
2020-03-06,-1.5965,-0.8526,-0.7439
2020-03-05,-1.5945,-0.9023,-0.6922
2020-03-04,-1.5778,-0.9402,-0.6375
2020-03-03,-1.5606,-0.9801,-0.5805
2020-03-02,-1.4801,-0.9590,-0.5211
2020-02-28,-1.3799,-0.9169,-0.4630
2020-02-27,-1.2416,-0.8342,-0.4075
2020-02-21,-1.0734,-0.7165,-0.3569
2020-02-20,-1.0446,-0.7311,-0.3135
2020-02-19,-0.9998,-0.7306,-0.2692
2020-02-18,-0.9406,-0.7157,-0.2249
2020-02-17,-0.8736,-0.6921,-0.1815
2020-02-14,-0.8338,-0.6942,-0.1396
2020-02-13,-0.7664,-0.6689,-0.0975
2020-02-12,-0.6721,-0.6152,-0.0569
2020-02-11,-0.5975,-0.5779,-0.0197
2020-02-10,-0.5237,-0.5390,0.0154
2020-02-07,-0.4296,-0.4777,0.0480
2020-02-06,-0.3377,-0.4147,0.0770
