time,MACD,MACD_Hist,MACD_Signal
2020-05-05,-0.1049,0.0676,-0.1724
2020-05-04,-0.1072,0.0822,-0.1893
2020-04-30,-0.0586,0.1512,-0.2099
2020-04-29,0.0256,0.2732,-0.2477
2020-04-28,-0.0180,0.2980,-0.3160
2020-04-27,-0.0632,0.3272,-0.3905
2020-04-24,-0.0620,0.4103,-0.4723
2020-04-23,0.1676,0.7425,-0.5749
2020-04-22,0.0254,0.7859,-0.7605
2020-04-20,-0.2338,0.7232,-0.9570
2020-04-17,-0.4166,0.7211,-1.1378
2020-04-16,-0.5360,0.7820,-1.3180
2020-04-15,-0.6583,0.8553,-1.5135
2020-04-14,-0.8668,0.8606,-1.7273
2020-04-13,-1.0836,0.8588,-1.9425
2020-04-09,-1.3223,0.8349,-2.1572
2020-04-08,-1.5741,0.7919,-2.3659
2020-04-07,-1.9031,0.6608,-2.5639
2020-04-06,-2.2128,0.5163,-2.7291
2020-04-03,-2.4447,0.4135,-2.8582
2020-04-02,-2.5666,0.3949,-2.9615
2020-04-01,-2.7816,0.2787,-3.0603
2020-03-31,-2.7966,0.3334,-3.1299
2020-03-30,-2.9023,0.3109,-3.2133
2020-03-27,-3.1071,0.1839,-3.2910
2020-03-26,-3.3141,0.0229,-3.3370
2020-03-25,-3.7063,-0.3636,-3.3427
2020-03-24,-4.1682,-0.9164,-3.2518
2020-03-23,-4.4446,-1.4219,-3.0227
2020-03-20,-4.1361,-1.4689,-2.6672
2020-03-19,-3.8848,-1.5848,-2.3000
2020-03-18,-3.5147,-1.6109,-1.9038
2020-03-17,-3.0207,-1.5197,-1.5010
2020-03-16,-2.6252,-1.5041,-1.1211
2020-03-13,-1.9550,-1.2099,-0.7451
2020-03-12,-1.7421,-1.2995,-0.4426
2020-03-11,-1.0387,-0.9210,-0.1178
2020-03-10,-0.7022,-0.8147,0.1125
2020-03-09,-0.6137,-0.9299,0.3162
2020-03-06,0.0274,-0.5212,0.5486
2020-03-05,0.2772,-0.4017,0.6789
2020-03-04,0.5279,-0.2514,0.7793
2020-03-03,0.5673,-0.2749,0.8422
2020-03-02,0.6276,-0.2833,0.9109
2020-02-28,0.6558,-0.3260,0.9817
2020-02-27,0.8858,-0.1774,1.0632
2020-02-21,1.3661,0.2585,1.1076
2020-02-20,1.3474,0.3044,1.0430
2020-02-19,1.2774,0.3105,0.9668
2020-02-18,1.0860,0.1968,0.8892
2020-02-17,1.0295,0.1895,0.8400
2020-02-14,0.8854,0.0928,0.7926
2020-02-13,0.8404,0.0709,0.7695
2020-02-12,0.8337,0.0820,0.7517
2020-02-11,0.7826,0.0514,0.7312
2020-02-10,0.8058,0.0874,0.7184
2020-02-07,0.8511,0.1546,0.6965
2020-02-06,0.9302,0.2723,0.6579
2020-02-05,0.9778,0.3880,0.5898
2020-02-04,0.9573,0.4645,0.4928
2020-02-03,0.8550,0.4783,0.3767
2020-01-31,0.6988,0.4416,0.2571
2020-01-30,0.6816,0.5349,0.1467
2020-01-29,0.5888,0.5758,0.0130
2020-01-28,0.4821,0.6130,-0.1310
2020-01-27,0.2900,0.5742,-0.2842
2020-01-24,0.1861,0.6139,-0.4278
2020-01-23,-0.0855,0.4957,-0.5812
2020-01-22,-0.4015,0.3037,-0.7052
2020-01-21,-0.6217,0.1594,-0.7811
2020-01-20,-0.6637,0.1572,-0.8209
2020-01-17,-0.7891,0.0711,-0.8602
2020-01-16,-0.9214,-0.0434,-0.8780
2020-01-15,-0.9353,-0.0681,-0.8672
2020-01-14,-0.8886,-0.0384,-0.8501
2020-01-13,-0.9381,-0.0976,-0.8405
2020-01-10,-0.9572,-0.1411,-0.8161
2020-01-09,-0.9626,-0.1817,-0.7809
2020-01-08,-0.9910,-0.2556,-0.7354
2020-01-07,-1.0149,-0.3434,-0.6715
2020-01-06,-1.0430,-0.4573,-0.5857
2020-01-03,-0.9210,-0.4496,-0.4714
2020-01-02,-0.7947,-0.4357,-0.3590
2019-12-30,-0.6871,-0.4371,-0.2500
2019-12-27,-0.3891,-0.2483,-0.1408
2019-12-26,-0.1293,-0.0506,-0.0787
2019-12-23,-0.0443,0.0218,-0.0660
2019-12-20,0.0425,0.1140,-0.0715
2019-12-19,-0.0744,0.0255,-0.0999
2019-12-18,-0.1676,-0.0613,-0.1063
2019-12-17,-0.2841,-0.1930,-0.0910
2019-12-16,-0.3502,-0.3074,-0.0427
2019-12-13,-0.2697,-0.3038,0.0341
2019-12-12,-0.1813,-0.2913,0.1101
2019-12-11,-0.0954,-0.2783,0.1829
2019-12-10,0.0656,-0.1869,0.2525
2019-12-09,0.2100,-0.0892,0.2992
2019-12-06,0.3036,-0.0178,0.3215
2019-12-05,0.2712,-0.0548,0.3259
2019-12-04,0.2105,-0.1292,0.3396
2019-12-03,0.1167,-0.2552,0.3719
2019-12-02,0.1247,-0.3111,0.4357
2019-11-29,0.1850,-0.3285,0.5135
2019-11-28,0.2470,-0.3487,0.5956
2019-11-27,0.2787,-0.4041,0.6828
2019-11-26,0.3865,-0.3973,0.7838
2019-11-25,0.6152,-0.2679,0.8831
2019-11-22,0.7688,-0.1813,0.9501
2019-11-21,0.7786,-0.2169,0.9955
2019-11-19,0.8418,-0.2079,1.0497
2019-11-18,1.0060,-0.0957,1.1016
2019-11-14,1.0889,-0.0367,1.1256
2019-11-13,1.1015,-0.0333,1.1347
2019-11-12,1.1290,-0.0140,1.1431
2019-11-11,1.1814,0.0348,1.1466
2019-11-08,1.1394,0.0015,1.1379
2019-11-07,1.2117,0.0743,1.1375
2019-11-06,1.2152,0.0963,1.1189
2019-11-05,1.2529,0.1580,1.0949
2019-11-04,1.2420,0.1866,1.0553
