time,RSI
2020-05-05,50.0441
2020-05-04,47.5557
2020-04-30,46.5887
2020-04-29,52.7591
2020-04-28,52.3755
2020-04-27,50.3056
2020-04-24,41.3265
2020-04-23,59.8868
2020-04-22,64.5527
2020-04-20,59.2083
2020-04-17,54.6108
2020-04-16,53.6347
2020-04-15,56.6763
2020-04-14,55.3308
2020-04-13,54.5545
2020-04-09,53.4627
2020-04-08,54.5347
2020-04-07,52.2061
2020-04-06,48.4195
2020-04-03,44.2268
2020-04-02,46.6086
2020-04-01,40.0304
2020-03-31,42.7890
2020-03-30,45.2591
2020-03-27,45.0254
2020-03-26,48.6159
2020-03-25,48.9203
2020-03-24,43.6720
2020-03-23,27.9227
2020-03-20,30.5318
2020-03-19,30.6224
2020-03-18,30.9649
2020-03-17,34.2199
2020-03-16,31.2528
2020-03-13,39.7629
2020-03-12,29.2675
2020-03-11,37.6404
2020-03-10,44.6474
2020-03-09,26.4253
2020-03-06,39.1003
2020-03-05,41.1036
2020-03-04,51.1342
2020-03-03,50.4025
2020-03-02,51.9183
2020-02-28,44.1690
2020-02-27,34.9173
2020-02-21,64.3404
2020-02-20,66.5230
2020-02-19,73.6106
2020-02-18,65.5546
2020-02-17,71.0179
2020-02-14,63.7919
2020-02-13,60.0628
2020-02-12,62.8831
2020-02-11,56.9385
2020-02-10,55.1576
2020-02-07,53.0205
2020-02-06,55.8517
2020-02-05,60.7963
2020-02-04,65.6294
2020-02-03,66.6456
2020-01-31,58.1711
2020-01-30,62.7244
2020-01-29,61.8281
2020-01-28,65.2155
2020-01-27,59.2258
2020-01-24,69.2878
2020-01-23,68.2368
2020-01-22,61.0359
2020-01-21,46.9871
2020-01-20,53.0848
2020-01-17,51.9627
2020-01-16,40.9127
2020-01-15,36.1584
2020-01-14,43.7646
2020-01-13,40.9707
2020-01-10,40.5275
2020-01-09,42.5397
2020-01-08,42.6486
2020-01-07,43.2465
2020-01-06,33.4514
2020-01-03,35.0864
2020-01-02,37.6072
2019-12-30,26.6372
2019-12-27,30.7085
2019-12-26,42.1057
2019-12-23,43.4132
2019-12-20,60.5723
2019-12-19,56.8559
2019-12-18,56.8559
2019-12-17,51.5850
2019-12-16,37.5942
2019-12-13,38.7497
2019-12-12,40.5571
2019-12-11,36.0189
2019-12-10,39.2676
2019-12-09,44.5375
2019-12-06,55.9268
2019-12-05,57.2908
2019-12-04,58.4019
2019-12-03,49.8512
2019-12-02,45.8265
2019-11-29,46.6188
2019-11-28,49.3716
2019-11-27,44.5768
2019-11-26,37.3270
2019-11-25,44.2988
2019-11-22,57.3569
2019-11-21,52.9280
2019-11-19,45.0067
2019-11-18,54.7016
2019-11-14,63.1618
2019-11-13,61.2453
2019-11-12,58.8929
2019-11-11,69.2035
2019-11-08,59.2044
2019-11-07,69.3347
2019-11-06,65.5447
2019-11-05,71.9469
2019-11-04,71.7607
2019-11-01,71.3616
2019-10-31,66.3465
2019-10-30,67.9129
2019-10-29,64.0988
2019-10-28,75.5486
2019-10-25,73.8681
2019-10-24,76.8022
2019-10-23,75.1978
2019-10-22,71.9337
2019-10-21,68.5789
2019-10-18,66.0076
2019-10-17,64.3139
2019-10-16,58.1688
2019-10-15,52.8629
2019-10-14,59.2328
2019-10-11,58.4706
2019-10-10,51.0591
2019-10-09,49.7549
2019-10-08,44.7890
2019-10-07,42.2192
2019-10-04,53.8808
2019-10-03,45.5908
2019-10-02,40.5269
2019-10-01,45.6509
2019-09-30,44.3271
2019-09-27,50.2252
2019-09-26,53.5605
2019-09-25,47.4389
2019-09-24,49.6882
2019-09-23,54.1505
2019-09-20,58.0014
2019-09-19,53.1809
2019-09-18,55.8307
2019-09-17,50.6204
2019-09-16,42.6256
2019-09-13,42.0628
2019-09-12,51.7162
2019-09-11,52.0796
2019-09-10,47.9303
2019-09-09,47.4099
2019-09-06,61.8826
2019-09-05,58.6017
2019-09-04,54.6815
2019-09-03,48.9691
2019-09-02,50.1987
2019-08-30,55.9182
2019-08-29,53.0640
2019-08-28,49.2357
2019-08-27,45.4106
2019-08-26,40.9620
2019-08-23,48.7820
2019-08-22,59.7944
2019-08-21,62.5045
2019-08-20,62.2405
2019-08-19,61.1741
2019-08-16,56.9675
2019-08-15,51.5324
2019-08-14,53.3791
2019-08-13,66.6440
2019-08-12,59.9212
2019-08-09,69.7636
2019-08-08,69.1483
2019-08-07,61.2594
2019-08-06,57.9852
2019-08-05,50.0971
2019-08-02,63.3840
2019-08-01,61.8957
2019-07-31,58.1535
2019-07-30,66.5284
2019-07-29,63.9966
2019-07-26,61.5319
2019-07-25,60.3092
2019-07-24,65.2056
2019-07-23,56.1533
2019-07-22,60.9651
2019-07-19,55.4050
2019-07-18,60.6118
2019-07-17,62.7342
2019-07-16,61.3765
2019-07-15,54.9602
2019-07-12,54.7454
2019-07-11,64.9153
2019-07-10,72.7459
2019-07-08,65.5930
2019-07-05,66.4652
2019-07-04,63.5893
2019-07-03,58.3259
2019-07-02,51.8934
