time,MACD,MACD_Hist,MACD_Signal
2020-05-04,-1.2318,0.4072,-1.6390
2020-04-30,-1.2821,0.4587,-1.7408
2020-04-29,-1.4029,0.4526,-1.8555
2020-04-28,-1.6447,0.3240,-1.9686
2020-04-27,-1.8866,0.1631,-2.0496
2020-04-24,-1.8166,0.2738,-2.0904
2020-04-23,-1.5593,0.5995,-2.1588
2020-04-22,-1.5901,0.7186,-2.3087
2020-04-20,-1.6888,0.7996,-2.4884
2020-04-17,-1.8033,0.8849,-2.6883
2020-04-16,-1.9834,0.9261,-2.9095
2020-04-15,-2.1050,1.0360,-3.1410
2020-04-14,-2.3161,1.0839,-3.4000
2020-04-13,-2.6089,1.0621,-3.6710
2020-04-09,-2.9476,0.9889,-3.9365
2020-04-08,-3.2771,0.9066,-4.1837
2020-04-07,-3.6581,0.7523,-4.4104
2020-04-06,-4.0342,0.5643,-4.5985
2020-04-03,-4.3221,0.4175,-4.7395
2020-04-02,-4.3864,0.4575,-4.8439
2020-04-01,-4.5595,0.3987,-4.9583
2020-03-31,-4.6826,0.3754,-5.0580
2020-03-30,-4.8917,0.2601,-5.1518
2020-03-27,-5.1994,0.0174,-5.2168
2020-03-26,-5.4402,-0.2190,-5.2212
2020-03-25,-5.8975,-0.7310,-5.1664
2020-03-24,-6.2467,-1.2630,-4.9837
2020-03-23,-6.2849,-1.6170,-4.6679
2020-03-20,-5.8564,-1.5927,-4.2637
2020-03-19,-5.4757,-1.6102,-3.8655
2020-03-18,-5.0090,-1.5460,-3.4630
2020-03-17,-4.4463,-1.3698,-3.0765
2020-03-16,-4.1989,-1.4649,-2.7340
2020-03-13,-3.6725,-1.3047,-2.3678
2020-03-12,-3.5673,-1.5257,-2.0416
2020-03-11,-2.8476,-1.1873,-1.6602
2020-03-10,-2.3905,-1.0271,-1.3634
2020-03-09,-2.1205,-1.0139,-1.1066
2020-03-06,-1.5435,-0.6904,-0.8531
2020-03-05,-1.2601,-0.5795,-0.6806
2020-03-04,-0.9624,-0.4268,-0.5357
2020-03-03,-0.8445,-0.4155,-0.4290
2020-03-02,-0.6766,-0.3515,-0.3251
2020-02-28,-0.5929,-0.3557,-0.2372
2020-02-27,-0.4480,-0.2996,-0.1483
2020-02-21,-0.1475,-0.0741,-0.0734
2020-02-20,-0.1111,-0.0562,-0.0549
2020-02-19,-0.0590,-0.0182,-0.0408
2020-02-18,-0.0435,-0.0073,-0.0363
2020-02-17,-0.0109,0.0235,-0.0345
2020-02-14,0.0787,0.1190,-0.0404
2020-02-13,0.1156,0.1857,-0.0701
2020-02-12,0.0622,0.1787,-0.1165
2020-02-11,-0.0883,0.0729,-0.1612
2020-02-10,-0.2485,-0.0691,-0.1794
2020-02-07,-0.2244,-0.0623,-0.1622
2020-02-06,-0.2403,-0.0937,-0.1466
2020-02-05,-0.2519,-0.1287,-0.1232
2020-02-04,-0.3497,-0.2587,-0.0910
2020-02-03,-0.2504,-0.2241,-0.0263
2020-01-31,-0.1741,-0.2038,0.0297
2020-01-30,-0.0497,-0.1303,0.0806
2020-01-29,-0.0185,-0.1317,0.1132
2020-01-28,0.0562,-0.0899,0.1461
2020-01-27,0.0235,-0.1451,0.1686
2020-01-24,0.0232,-0.1817,0.2049
2020-01-23,-0.0285,-0.2789,0.2503
2020-01-22,-0.1633,-0.4834,0.3200
2020-01-21,-0.0540,-0.4949,0.4409
2020-01-20,0.1250,-0.4397,0.5646
2020-01-17,0.2050,-0.4696,0.6745
2020-01-16,0.2715,-0.5204,0.7919
2020-01-15,0.4208,-0.5013,0.9220
2020-01-14,0.6275,-0.4198,1.0473
2020-01-13,0.7886,-0.3637,1.1523
2020-01-10,0.9553,-0.2880,1.2432
2020-01-09,1.2111,-0.1041,1.3152
2020-01-08,1.3978,0.0566,1.3412
