time,RSI
2020-04-30,48.3097
2020-04-29,53.0585
2020-04-28,51.5963
2020-04-27,37.1144
2020-04-24,29.4618
2020-04-23,41.8178
2020-04-22,45.5298
2020-04-20,46.1212
2020-04-17,48.7051
2020-04-16,45.0416
2020-04-15,48.4343
2020-04-14,50.6986
2020-04-13,50.8131
2020-04-09,48.7644
2020-04-08,49.0135
2020-04-07,47.3179
2020-04-06,43.3515
2020-04-03,35.4748
2020-04-02,38.5847
2020-04-01,37.5803
2020-03-31,39.8108
2020-03-30,41.8970
2020-03-27,39.9665
2020-03-26,43.9052
2020-03-25,40.4796
2020-03-24,32.5873
2020-03-23,21.1147
2020-03-20,23.4561
2020-03-19,24.4129
2020-03-18,25.4132
2020-03-17,31.2399
2020-03-16,27.0320
2020-03-13,35.0235
2020-03-12,15.7318
2020-03-11,21.0294
2020-03-10,26.6133
2020-03-09,14.8295
2020-03-06,22.4979
2020-03-05,24.4734
2020-03-04,33.2701
2020-03-03,32.8695
2020-03-02,38.6313
2020-02-28,36.5270
2020-02-27,28.3707
2020-02-21,45.0849
2020-02-20,44.7433
2020-02-19,48.1833
2020-02-18,47.3257
2020-02-17,44.0622
2020-02-14,48.3658
2020-02-13,54.5698
2020-02-12,60.3124
2020-02-11,58.8509
2020-02-10,45.5598
2020-02-07,48.6986
2020-02-06,48.3719
2020-02-05,53.5930
2020-02-04,38.4758
2020-02-03,41.4731
2020-01-31,39.5540
2020-01-30,46.8057
2020-01-29,44.3269
2020-01-28,52.4074
2020-01-27,49.7007
2020-01-24,53.0097
2020-01-23,57.7128
2020-01-22,37.6525
2020-01-21,33.7285
2020-01-20,42.9471
2020-01-17,45.4306
2020-01-16,38.7573
2020-01-15,36.4611
2020-01-14,42.4516
2020-01-13,44.3774
2020-01-10,39.2315
2020-01-09,47.7515
2020-01-08,57.7164
2020-01-07,63.0813
2020-01-06,67.8086
2020-01-03,77.0303
2020-01-02,78.2443
2019-12-30,74.2705
2019-12-27,76.1875
2019-12-26,79.0015
2019-12-23,77.0077
2019-12-20,70.5478
2019-12-19,71.7255
2019-12-18,69.3292
2019-12-17,59.2205
2019-12-16,49.6821
2019-12-13,57.0171
2019-12-12,61.7405
2019-12-11,51.6940
2019-12-10,52.5136
2019-12-09,61.2537
2019-12-06,59.9688
2019-12-05,62.4541
2019-12-04,67.7619
2019-12-03,63.0517
2019-12-02,54.9227
2019-11-29,59.5936
2019-11-28,57.8089
2019-11-27,55.6250
2019-11-26,41.6045
2019-11-25,47.6747
2019-11-22,49.2929
2019-11-21,45.1606
2019-11-19,37.8975
2019-11-18,44.5593
2019-11-14,44.3212
2019-11-13,37.5649
2019-11-12,44.2025
2019-11-11,49.5208
2019-11-08,46.8653
2019-11-07,54.0031
2019-11-06,54.0031
2019-11-05,57.3843
2019-11-04,55.0074
2019-11-01,57.6101
2019-10-31,59.3898
2019-10-30,72.9459
2019-10-29,69.1538
2019-10-28,70.6789
2019-10-25,65.0172
2019-10-24,62.3639
2019-10-23,65.4824
2019-10-22,64.4148
2019-10-21,58.6608
2019-10-18,56.5089
2019-10-17,48.3196
2019-10-16,48.9691
2019-10-15,44.3299
2019-10-14,48.2801
2019-10-11,49.7605
2019-10-10,44.2039
2019-10-09,42.8326
2019-10-08,34.1690
2019-10-07,37.5709
2019-10-04,47.2094
2019-10-03,45.0234
2019-10-02,29.0789
2019-10-01,36.9754
2019-09-30,40.4660
2019-09-27,39.0270
2019-09-26,41.2399
2019-09-25,39.8291
2019-09-24,41.4081
2019-09-23,49.9657
2019-09-20,51.4955
2019-09-19,46.7769
2019-09-18,54.8957
2019-09-17,50.4361
2019-09-16,46.1067
2019-09-13,49.0113
2019-09-12,54.4274
2019-09-11,54.3746
2019-09-10,61.9243
2019-09-09,68.0274
2019-09-06,66.4323
2019-09-05,57.5877
2019-09-04,48.1805
2019-09-03,40.2828
2019-09-02,45.2612
2019-08-30,49.0479
2019-08-29,40.1941
2019-08-28,30.1122
2019-08-27,31.7795
2019-08-26,33.3988
2019-08-23,34.3168
2019-08-22,42.9100
2019-08-21,47.2992
2019-08-20,20.5502
2019-08-19,20.6979
2019-08-16,24.2244
2019-08-15,24.7300
2019-08-14,24.8858
2019-08-13,32.5452
2019-08-12,25.7287
2019-08-09,35.3827
2019-08-08,36.5033
2019-08-07,31.9792
2019-08-06,32.2748
2019-08-05,24.0602
2019-08-02,28.4007
2019-08-01,28.2727
2019-07-31,30.5851
2019-07-30,34.4723
2019-07-29,37.5117
2019-07-26,32.8072
2019-07-25,33.4108
2019-07-24,48.0731
2019-07-23,37.7222
2019-07-22,42.7530
2019-07-19,42.6402
2019-07-18,48.2962
2019-07-17,38.5082
2019-07-16,38.3890
2019-07-15,37.5162
2019-07-12,39.4659
2019-07-11,48.1907
2019-07-10,58.4663
2019-07-08,66.8125
2019-07-05,67.4403
2019-07-04,69.5582
2019-07-03,64.6774
2019-07-02,56.8178
2019-07-01,64.8965
2019-06-28,65.6267
2019-06-27,64.7948
2019-06-26,64.1818
2019-06-25,57.2363
2019-06-24,61.8779
2019-06-21,61.1252
2019-06-19,58.8170
2019-06-18,53.6860
2019-06-17,45.1475
2019-06-14,45.4671
2019-06-13,51.4322
2019-06-12,57.6397
2019-06-11,62.9088
2019-06-10,57.2481
2019-06-07,61.2504
2019-06-06,64.8301
2019-06-05,58.1190
2019-06-04,71.8763
2019-06-03,67.8942
2019-05-31,66.6959
2019-05-30,67.6427
2019-05-29,64.2138
2019-05-28,64.6247
2019-05-27,61.7142
2019-05-24,57.0389
2019-05-23,53.2230
2019-05-22,52.8038
2019-05-21,55.0806
2019-05-20,39.9654
2019-05-17,25.3462
2019-05-16,28.1831
2019-05-15,34.6846
2019-05-14,39.0406
2019-05-13,41.8551
2019-05-10,55.5929
2019-05-09,64.9126
2019-05-08,62.0140
2019-05-07,53.3415
2019-05-06,52.2716
2019-05-03,59.5417
2019-05-02,57.3617
2019-04-30,56.5627
2019-04-29,54.3951
2019-04-26,54.2626
2019-04-25,52.7169
2019-04-24,47.6889
2019-04-23,54.2625
2019-04-22,48.0057
2019-04-18,51.3283
2019-04-17,39.0437
2019-04-16,42.7517
2019-04-15,34.0761
2019-04-12,32.8486
2019-04-11,41.5187
2019-04-10,44.5217
2019-04-09,41.5436
2019-04-08,46.1241
2019-04-05,45.5399
2019-04-04,43.6138
2019-04-03,39.6336
2019-04-02,42.0274
2019-04-01,44.0054
2019-03-29,41.2263
2019-03-28,37.1310
2019-03-27,30.6030
2019-03-26,37.8447
2019-03-25,30.0105
2019-03-22,27.5372
2019-03-21,37.0275
2019-03-20,42.1849
2019-03-19,48.8797
2019-03-18,56.7840
2019-03-15,59.8916
2019-03-14,57.5455
2019-03-13,60.3786
2019-03-12,56.5260
2019-03-11,59.4442
2019-03-08,51.6265
2019-03-07,40.1377
2019-03-01,44.9104
2019-02-28,39.7042
2019-02-27,47.0280
2019-02-26,50.9303
2019-02-25,49.1585
2019-02-22,54.6799
2019-02-21,55.3879
2019-02-20,54.2241
2019-02-19,63.8416
2019-02-18,62.9585
2019-02-15,66.3843
2019-02-14,66.1696
2019-02-13,56.7108
2019-02-12,64.0413
2019-02-11,48.8433
2019-02-08,60.1775
2019-02-07,59.7934
2019-02-06,58.0231
2019-02-05,82.2866
2019-02-04,80.0622
2019-02-01,76.5662
2019-01-31,75.5936
2019-01-30,69.8219
2019-01-29,66.1649
2019-01-28,53.6421
2019-01-24,61.6820
2019-01-23,65.1705
2019-01-22,56.2663
2019-01-21,57.4561
2019-01-18,60.7987
2019-01-17,66.2705
2019-01-16,65.0268
2019-01-15,71.1959
2019-01-14,79.5809
2019-01-11,74.2667
2019-01-10,73.1537
2019-01-09,68.9194
2019-01-08,70.7855
2019-01-07,78.9222
2019-01-04,83.9769
2019-01-03,83.9769
2019-01-02,83.4400
2018-12-28,75.7121
2018-12-27,66.6055
2018-12-26,59.1619
2018-12-21,55.6774
2018-12-20,55.5597
2018-12-19,52.3731
2018-12-18,52.3731
2018-12-17,51.3642
2018-12-14,55.6045
2018-12-13,55.4390
2018-12-12,45.3525
2018-12-11,45.4367
2018-12-10,43.0596
2018-12-07,53.9808
2018-12-06,57.4364
2018-12-05,55.3956
2018-12-04,52.0218
2018-12-03,55.8219
2018-11-30,60.6226
2018-11-29,66.5513
2018-11-28,71.9496
2018-11-27,68.8440
2018-11-26,63.5194
2018-11-23,71.9227
2018-11-22,70.3591
2018-11-21,68.3176
2018-11-19,69.2718
2018-11-16,64.8029
2018-11-14,57.5394
2018-11-13,57.1170
2018-11-12,60.8527
2018-11-09,57.2912
2018-11-08,52.1004
2018-11-07,58.1030
2018-11-06,66.3601
2018-11-05,75.2270
2018-11-01,75.1315
2018-10-31,73.1785
2018-10-30,76.1695
2018-10-29,72.6314
2018-10-26,77.2469
2018-10-25,70.0125
2018-10-24,65.7934
2018-10-23,74.1499
2018-10-22,73.6766
2018-10-19,72.8125
2018-10-18,71.7941
2018-10-17,75.3345
2018-10-16,74.4979
2018-10-15,70.0632
2018-10-11,68.5100
2018-10-10,69.4454
2018-10-09,80.2993
2018-10-08,81.6922
2018-10-05,74.9181
2018-10-04,73.3265
2018-10-03,71.0894
2018-10-02,61.1364
2018-10-01,40.2040
2018-09-28,49.4316
2018-09-27,57.4742
2018-09-26,50.1788
2018-09-25,51.1184
2018-09-24,52.7175
2018-09-21,60.8012
2018-09-20,52.4662
2018-09-19,51.7827
2018-09-18,54.4239
2018-09-17,43.4308
2018-09-14,32.6015
2018-09-13,29.7695
2018-09-12,31.7915
2018-09-11,31.3377
2018-09-10,38.9811
2018-09-06,41.7815
2018-09-05,35.0637
2018-09-04,34.5326
2018-09-03,38.8192
2018-08-31,43.4103
2018-08-30,41.9304
2018-08-29,49.3831
2018-08-28,44.3164
2018-08-27,45.3038
2018-08-24,37.7281
2018-08-23,34.1182
2018-08-22,37.8725
2018-08-21,30.8435
2018-08-20,36.6294
2018-08-17,41.4270
2018-08-16,49.4301
2018-08-15,48.6469
2018-08-14,53.9067
2018-08-13,45.5859
2018-08-10,44.3531
2018-08-09,59.2551
2018-08-08,51.5778
2018-08-07,61.7207
2018-08-06,71.5559
2018-08-03,71.1593
2018-08-02,64.8593
2018-08-01,62.9664
2018-07-31,59.4090
2018-07-30,64.0002
2018-07-27,63.9358
2018-07-26,61.4568
2018-07-25,73.9181
2018-07-24,71.3784
2018-07-23,70.0927
2018-07-20,72.5755
2018-07-19,63.8892
2018-07-18,67.1163
2018-07-17,69.3688
2018-07-16,63.7262
2018-07-13,67.4156
2018-07-12,63.0560
2018-07-11,59.4407
2018-07-10,55.4479
2018-07-06,57.6495
2018-07-05,60.5034
2018-07-04,66.9181
2018-07-03,62.6516
2018-07-02,61.2768
2018-06-29,57.2453
2018-06-28,56.8630
2018-06-27,44.3138
2018-06-26,47.8968
2018-06-25,45.6363
2018-06-22,40.0793
2018-06-21,39.4193
2018-06-20,44.2437
2018-06-19,39.0935
2018-06-18,24.9790
2018-06-15,26.5227
2018-06-14,27.4779
2018-06-13,31.5714
2018-06-12,33.3999
2018-06-11,26.0875
2018-06-08,28.8122
2018-06-07,25.8356
2018-06-06,29.0263
2018-06-05,33.9168
2018-06-04,42.8514
2018-06-01,39.6730
2018-05-30,37.6149
2018-05-29,22.3169
2018-05-28,16.0407
2018-05-25,21.5333
2018-05-24,23.6433
2018-05-23,27.2910
2018-05-22,30.3303
2018-05-21,25.0735
2018-05-18,28.1124
2018-05-17,28.8383
2018-05-16,36.3468
2018-05-15,31.3173
2018-05-14,36.2097
2018-05-11,41.7028
2018-05-10,42.8195
2018-05-09,53.1399
2018-05-08,38.4159
2018-05-07,25.0879
2018-05-04,25.2954
2018-05-03,25.6292
2018-05-02,30.9924
2018-04-30,35.4425
2018-04-27,40.4375
2018-04-26,40.4375
2018-04-25,37.2411
2018-04-24,31.7881
2018-04-23,33.7686
2018-04-20,37.7690
2018-04-19,40.4315
2018-04-18,40.2509
2018-04-17,32.4175
2018-04-16,23.1343
2018-04-13,28.5753
2018-04-12,36.0315
2018-04-11,36.6892
2018-04-10,33.1763
2018-04-09,35.8023
2018-04-06,46.1564
2018-04-05,50.9998
2018-04-04,38.3939
2018-04-03,34.0897
2018-04-02,37.9192
2018-03-29,44.5473
2018-03-28,35.2794
2018-03-27,36.2785
2018-03-26,45.4593
2018-03-23,41.8596
2018-03-22,44.6037
2018-03-21,52.7618
2018-03-20,44.4616
2018-03-19,42.3475
2018-03-16,53.8854
2018-03-15,53.7720
2018-03-14,54.8644
2018-03-13,59.3235
2018-03-12,67.7635
2018-03-09,71.0865
2018-03-08,69.3827
2018-03-07,68.0384
2018-03-06,71.7360
2018-03-05,66.6204
2018-03-02,64.4651
2018-03-01,63.8652
2018-02-28,62.1393
2018-02-27,70.1846
2018-02-26,74.7581
2018-02-23,72.3657
2018-02-22,72.3657
2018-02-21,67.1609
2018-02-20,65.7076
2018-02-19,59.8628
2018-02-16,65.6277
2018-02-15,63.7521
2018-02-09,51.3205
2018-02-08,57.4598
2018-02-07,70.6691
2018-02-06,70.4736
2018-02-05,60.6088
2018-02-02,76.7846
2018-02-01,86.3586
2018-01-31,86.0394
2018-01-30,83.2117
2018-01-29,85.8803
2018-01-26,89.6764
2018-01-25,88.0065
2018-01-24,86.9986
2018-01-23,73.4136
2018-01-22,71.9870
2018-01-19,70.8614
2018-01-18,76.1393
2018-01-17,81.8656
2018-01-16,76.4100
2018-01-15,73.8162
2018-01-12,72.2608
2018-01-11,71.5448
2018-01-10,63.4877
2018-01-09,66.6148
2018-01-08,74.1258
2018-01-05,73.4522
2018-01-04,73.4522
2018-01-03,71.0071
2018-01-02,68.9995
2017-12-29,68.8238
2017-12-28,56.4762
2017-12-27,60.0512
2017-12-26,55.3244
2017-12-25,50.6038
2017-12-22,50.7417
2017-12-21,49.3762
2017-12-20,45.1463
2017-12-19,44.9026
2017-12-18,46.5790
2017-12-15,42.1516
2017-12-14,40.3055
2017-12-13,41.1396
2017-12-12,46.5593
2017-12-11,40.9591
2017-12-08,42.6345
2017-12-07,41.0726
