time,MACD,MACD_Hist,MACD_Signal
2020-05-05,-0.6723,0.0590,-0.7313
2020-05-04,-0.6339,0.1122,-0.7461
2020-04-30,-0.5755,0.1986,-0.7741
2020-04-29,-0.5792,0.2445,-0.8237
2020-04-28,-0.7273,0.1576,-0.8849
2020-04-27,-0.8374,0.0869,-0.9243
2020-04-24,-0.8018,0.1442,-0.9460
2020-04-23,-0.6919,0.2902,-0.9820
2020-04-22,-0.6952,0.3594,-1.0546
2020-04-20,-0.7178,0.4266,-1.1444
2020-04-17,-0.7434,0.5077,-1.2511
2020-04-16,-0.8324,0.5456,-1.3780
2020-04-15,-0.8942,0.6202,-1.5144
2020-04-14,-1.0141,0.6554,-1.6694
2020-04-13,-1.2144,0.6189,-1.8333
2020-04-09,-1.4292,0.5588,-1.9880
2020-04-08,-1.6289,0.4988,-2.1277
2020-04-07,-1.8610,0.3913,-2.2524
2020-04-06,-2.0766,0.2737,-2.3502
2020-04-03,-2.2483,0.1703,-2.4186
2020-04-02,-2.2663,0.1949,-2.4612
2020-04-01,-2.3249,0.1851,-2.5099
2020-03-31,-2.3575,0.1987,-2.5562
2020-03-30,-2.4490,0.1569,-2.6059
2020-03-27,-2.5987,0.0464,-2.6451
2020-03-26,-2.6918,-0.0351,-2.6567
2020-03-25,-2.9057,-0.2578,-2.6479
2020-03-24,-3.0939,-0.5104,-2.5835
2020-03-23,-3.1484,-0.6925,-2.4559
2020-03-20,-2.9259,-0.6431,-2.2828
2020-03-19,-2.7447,-0.6227,-2.1220
2020-03-18,-2.6133,-0.6470,-1.9663
2020-03-17,-2.4020,-0.5975,-1.8045
2020-03-16,-2.3501,-0.6949,-1.6552
2020-03-13,-2.0886,-0.6071,-1.4814
2020-03-12,-2.0585,-0.7289,-1.3297
2020-03-11,-1.6524,-0.5050,-1.1474
2020-03-10,-1.4201,-0.3989,-1.0212
2020-03-09,-1.3065,-0.3850,-0.9215
2020-03-06,-1.0834,-0.2581,-0.8252
2020-03-05,-0.9735,-0.2128,-0.7607
2020-03-04,-0.8968,-0.1892,-0.7075
2020-03-03,-0.8784,-0.2182,-0.6602
2020-03-02,-0.8116,-0.2059,-0.6056
2020-02-28,-0.7904,-0.2363,-0.5542
2020-02-27,-0.7140,-0.2189,-0.4951
2020-02-21,-0.5542,-0.1138,-0.4404
2020-02-20,-0.5125,-0.1006,-0.4119
2020-02-19,-0.4750,-0.0882,-0.3868
2020-02-18,-0.4637,-0.0989,-0.3647
2020-02-17,-0.3999,-0.0599,-0.3400
2020-02-14,-0.3303,-0.0053,-0.3250
2020-02-13,-0.2616,0.0621,-0.3237
2020-02-12,-0.2396,0.0996,-0.3392
2020-02-11,-0.2682,0.0959,-0.3641
2020-02-10,-0.3434,0.0447,-0.3881
2020-02-07,-0.4065,-0.0073,-0.3993
2020-02-06,-0.4479,-0.0505,-0.3974
2020-02-05,-0.4590,-0.0742,-0.3848
2020-02-04,-0.5027,-0.1364,-0.3663
2020-02-03,-0.4918,-0.1596,-0.3322
2020-01-31,-0.4708,-0.1785,-0.2923
2020-01-30,-0.4177,-0.1700,-0.2477
2020-01-29,-0.3956,-0.1905,-0.2052
2020-01-28,-0.3312,-0.1737,-0.1575
2020-01-27,-0.2886,-0.1745,-0.1141
2020-01-24,-0.2263,-0.1558,-0.0705
2020-01-23,-0.2166,-0.1851,-0.0315
2020-01-22,-0.2252,-0.2400,0.0148
2020-01-21,-0.1505,-0.2253,0.0748
2020-01-20,-0.0418,-0.1729,0.1311
2020-01-17,-0.0099,-0.1842,0.1743
2020-01-16,-0.0329,-0.2532,0.2203
2020-01-15,0.0133,-0.2704,0.2837
2020-01-14,0.1173,-0.2340,0.3513
2020-01-13,0.1919,-0.2178,0.4097
2020-01-10,0.2807,-0.1835,0.4642
2020-01-09,0.4242,-0.0859,0.5101
2020-01-08,0.5419,0.0103,0.5315
2020-01-07,0.6314,0.1025,0.5290
2020-01-06,0.6848,0.1814,0.5034
2020-01-03,0.6836,0.2256,0.4580
2020-01-02,0.6102,0.2086,0.4016
2019-12-30,0.5076,0.1582,0.3494
2019-12-27,0.4934,0.1835,0.3099
2019-12-26,0.4633,0.1993,0.2640
2019-12-23,0.4053,0.1911,0.2142
2019-12-20,0.3670,0.2006,0.1664
2019-12-19,0.3331,0.2168,0.1163
2019-12-18,0.2147,0.1526,0.0621
2019-12-17,0.1215,0.0976,0.0239
2019-12-16,0.0906,0.0911,-0.0005
2019-12-13,0.1082,0.1314,-0.0232
2019-12-12,0.0725,0.1286,-0.0561
2019-12-11,0.0315,0.1198,-0.0882
2019-12-10,0.0213,0.1395,-0.1182
2019-12-09,-0.0105,0.1426,-0.1531
2019-12-06,-0.0621,0.1266,-0.1887
2019-12-05,-0.1002,0.1202,-0.2204
2019-12-04,-0.1835,0.0669,-0.2504
2019-12-03,-0.2742,-0.0070,-0.2671
2019-12-02,-0.3054,-0.0400,-0.2654
2019-11-29,-0.3315,-0.0762,-0.2554
2019-11-28,-0.3397,-0.1034,-0.2363
2019-11-27,-0.3304,-0.1199,-0.2105
2019-11-26,-0.3378,-0.1573,-0.1805
2019-11-25,-0.2914,-0.1502,-0.1412
2019-11-22,-0.2946,-0.1909,-0.1036
2019-11-21,-0.3101,-0.2542,-0.0559
2019-11-19,-0.2745,-0.2821,0.0077
2019-11-18,-0.2074,-0.2856,0.0782
2019-11-14,-0.1244,-0.2740,0.1496
2019-11-13,-0.0370,-0.2551,0.2181
2019-11-12,0.0622,-0.2197,0.2818
2019-11-11,0.1555,-0.1813,0.3368
2019-11-08,0.2426,-0.1395,0.3821
2019-11-07,0.3429,-0.0740,0.4169
2019-11-06,0.3716,-0.0639,0.4355
2019-11-05,0.4110,-0.0404,0.4514
2019-11-04,0.4379,-0.0236,0.4615
2019-11-01,0.5092,0.0418,0.4674
2019-10-31,0.5948,0.1378,0.4570
2019-10-30,0.6675,0.2450,0.4225
2019-10-29,0.6118,0.2506,0.3613
2019-10-28,0.5476,0.2490,0.2986
2019-10-25,0.4104,0.1741,0.2364
2019-10-24,0.3488,0.1559,0.1929
2019-10-23,0.3076,0.1537,0.1539
2019-10-22,0.2469,0.1315,0.1154
2019-10-21,0.1936,0.1110,0.0826
2019-10-18,0.2125,0.1576,0.0548
2019-10-17,0.2557,0.2403,0.0154
2019-10-16,0.1952,0.2399,-0.0447
2019-10-15,0.0596,0.1642,-0.1046
2019-10-14,-0.0375,0.1081,-0.1457
2019-10-11,-0.1351,0.0377,-0.1727
2019-10-10,-0.2131,-0.0310,-0.1821
2019-10-09,-0.2745,-0.1001,-0.1744
2019-10-08,-0.3137,-0.1644,-0.1493
2019-10-07,-0.2740,-0.1657,-0.1083
2019-10-04,-0.2221,-0.1553,-0.0668
2019-10-03,-0.1720,-0.1440,-0.0280
2019-10-02,-0.0751,-0.0831,0.0080
2019-10-01,0.0580,0.0292,0.0288
2019-09-30,0.1058,0.0843,0.0215
2019-09-27,0.1227,0.1223,0.0004
2019-09-26,0.0888,0.1190,-0.0302
2019-09-25,0.0424,0.1023,-0.0599
2019-09-24,0.0279,0.1134,-0.0855
2019-09-23,0.0293,0.1432,-0.1138
2019-09-20,-0.0100,0.1397,-0.1496
