time,MACD,MACD_Hist,MACD_Signal
2020-04-30,0.2720,0.4159,-0.1439
2020-04-29,0.2688,0.5167,-0.2479
2020-04-28,0.1753,0.5524,-0.3770
2020-04-27,0.0606,0.5757,-0.5151
2020-04-24,-0.1122,0.5469,-0.6591
2020-04-23,-0.1265,0.6693,-0.7958
2020-04-22,-0.2406,0.7225,-0.9631
2020-04-20,-0.3766,0.7672,-1.1438
2020-04-17,-0.4908,0.8448,-1.3355
2020-04-16,-0.6426,0.9041,-1.5467
2020-04-15,-0.8495,0.9233,-1.7728
2020-04-14,-1.0787,0.9248,-2.0036
2020-04-13,-1.3363,0.8985,-2.2348
2020-04-09,-1.5398,0.9196,-2.4594
2020-04-08,-1.7994,0.8899,-2.6893
2020-04-07,-2.0395,0.8723,-2.9118
2020-04-06,-2.3296,0.8003,-3.1299
2020-04-03,-2.6811,0.6488,-3.3299
2020-04-02,-2.8444,0.6477,-3.4921
2020-04-01,-3.1123,0.5417,-3.6541
2020-03-31,-3.3438,0.4457,-3.7895
2020-03-30,-3.5377,0.3632,-3.9009
2020-03-27,-3.6747,0.3171,-3.9917
2020-03-26,-3.8327,0.2383,-4.0710
2020-03-25,-4.0906,0.0400,-4.1306
2020-03-24,-4.3542,-0.2136,-4.1406
2020-03-23,-4.5387,-0.4515,-4.0872
2020-03-20,-4.6054,-0.6311,-3.9743
2020-03-19,-4.6357,-0.8192,-3.8165
2020-03-18,-4.6833,-1.0716,-3.6117
2020-03-17,-4.4836,-1.1398,-3.3438
2020-03-16,-4.2897,-1.2308,-3.0589
2020-03-13,-3.8780,-1.1268,-2.7512
2020-03-12,-3.6259,-1.1565,-2.4695
2020-03-11,-3.1253,-0.9449,-2.1804
2020-03-10,-2.7717,-0.8276,-1.9441
2020-03-09,-2.5184,-0.7811,-1.7373
2020-03-06,-2.0728,-0.5309,-1.5420
2020-03-05,-1.7907,-0.3815,-1.4093
2020-03-04,-1.6581,-0.3442,-1.3139
2020-03-03,-1.5726,-0.3447,-1.2278
2020-03-02,-1.3887,-0.2470,-1.1417
2020-02-28,-1.3425,-0.2626,-1.0799
2020-02-27,-1.1459,-0.1316,-1.0143
2020-02-21,-0.9281,0.0533,-0.9814
2020-02-20,-0.9249,0.0698,-0.9947
2020-02-19,-0.9398,0.0723,-1.0121
2020-02-18,-0.9942,0.0361,-1.0302
2020-02-17,-1.0175,0.0218,-1.0392
2020-02-14,-1.0477,-0.0030,-1.0447
2020-02-13,-1.0608,-0.0169,-1.0439
2020-02-12,-1.1060,-0.0663,-1.0397
2020-02-11,-1.1394,-0.1162,-1.0231
2020-02-10,-1.1298,-0.1357,-0.9941
2020-02-07,-1.0949,-0.1348,-0.9601
2020-02-06,-1.1059,-0.1794,-0.9264
2020-02-05,-1.1353,-0.2537,-0.8816
2020-02-04,-1.1787,-0.3606,-0.8182
2020-02-03,-1.2282,-0.5002,-0.7280
2020-01-31,-1.2114,-0.6085,-0.6030
