time,RSI
2020-05-04,46.1930
2020-04-30,53.8890
2020-04-29,63.3947
2020-04-28,62.9792
2020-04-27,65.3643
2020-04-24,52.2896
2020-04-23,62.4179
2020-04-22,62.0039
2020-04-20,58.3571
2020-04-17,59.6203
2020-04-16,61.6530
2020-04-15,60.4391
2020-04-14,59.4412
2020-04-13,53.6858
2020-04-09,55.1765
2020-04-08,51.6625
2020-04-07,52.4137
2020-04-06,53.2172
2020-04-03,39.8214
2020-04-02,44.5144
2020-04-01,40.4298
2020-03-31,37.0406
2020-03-30,33.2271
2020-03-27,34.3907
2020-03-26,38.0559
2020-03-25,37.7301
2020-03-24,33.1413
2020-03-23,27.5641
2020-03-20,27.8122
2020-03-19,29.2953
2020-03-18,19.5675
2020-03-17,21.2977
2020-03-16,15.9004
2020-03-13,19.8749
2020-03-12,12.3263
2020-03-11,15.8482
2020-03-10,19.4493
2020-03-09,13.0676
2020-03-06,17.7547
2020-03-05,23.9429
2020-03-04,27.6329
2020-03-03,22.4581
2020-03-02,30.2952
2020-02-28,15.2301
2020-02-27,16.5936
2020-02-21,31.0350
2020-02-20,34.0508
2020-02-19,39.1922
2020-02-18,33.3420
2020-02-17,34.8000
2020-02-14,33.0432
2020-02-13,36.8899
2020-02-12,35.6353
2020-02-11,30.1690
2020-02-10,29.2419
2020-02-07,33.9788
2020-02-06,36.3240
2020-02-05,37.9992
2020-02-04,38.8045
2020-02-03,31.5662
2020-01-31,16.7469
2020-01-30,16.9084
2020-01-29,18.5158
2020-01-28,19.3780
2020-01-27,20.7850
2020-01-24,30.5196
2020-01-23,38.5190
2020-01-22,46.8318
2020-01-21,44.4170
2020-01-20,52.1990
2020-01-17,48.2506
2020-01-16,49.7294
2020-01-15,57.6850
2020-01-14,58.8140
2020-01-13,60.8230
2020-01-10,57.7022
2020-01-09,64.0832
2020-01-08,61.5580
2020-01-07,48.1320
2020-01-06,53.2118
2020-01-03,58.2005
2020-01-02,57.6207
2019-12-30,50.6355
2019-12-27,51.0813
2019-12-26,50.4929
2019-12-23,43.9165
2019-12-20,46.3010
2019-12-19,41.8344
2019-12-18,41.4359
2019-12-17,34.3510
2019-12-16,41.5194
2019-12-13,32.4963
2019-12-12,44.7736
2019-12-11,48.7013
2019-12-10,60.5968
2019-12-09,61.3295
2019-12-06,62.0043
2019-12-05,56.8807
2019-12-04,58.0550
2019-12-03,52.7921
2019-12-02,59.7660
2019-11-29,61.9027
2019-11-28,58.9690
2019-11-27,63.5971
2019-11-26,65.5824
2019-11-25,61.4282
2019-11-22,43.4417
2019-11-21,38.1753
2019-11-19,36.6208
2019-11-18,33.0876
2019-11-14,29.0174
2019-11-13,28.1571
2019-11-12,29.5864
2019-11-11,37.7684
2019-11-08,35.3607
2019-11-07,46.4661
