time,MACD,MACD_Hist,MACD_Signal
2020-05-06,-1.1278,-0.7906,-0.3372
2020-05-05,-0.7716,-0.6321,-0.1395
2020-05-04,-0.4321,-0.4506,0.0185
2020-05-01,0.1288,-0.0023,0.1311
2020-04-30,0.5211,0.3893,0.1317
2020-04-29,0.4541,0.4197,0.0344
2020-04-28,-0.0126,0.0580,-0.0705
2020-04-27,-0.1397,-0.0547,-0.0850
2020-04-24,-0.2735,-0.2022,-0.0713
2020-04-23,-0.3222,-0.3014,-0.0208
2020-04-22,-0.2645,-0.3191,0.0545
2020-04-21,0.0440,-0.0903,0.1343
2020-04-20,0.5176,0.3607,0.1569
2020-04-17,0.6309,0.5641,0.0667
2020-04-16,0.5932,0.6675,-0.0743
2020-04-15,0.8501,1.0913,-0.2412
2020-04-14,1.3378,1.8518,-0.5140
2020-04-13,1.4367,2.4137,-0.9770
2020-04-09,1.7803,3.3607,-1.5804
2020-04-08,1.0842,3.5048,-2.4206
2020-04-07,-0.0613,3.2354,-3.2968
2020-04-06,-0.9646,3.1410,-4.1056
2020-04-03,-1.9518,2.9391,-4.8909
2020-04-02,-2.5969,3.0287,-5.6256
2020-04-01,-3.5934,2.7894,-6.3828
2020-03-31,-4.2641,2.8161,-7.0802
2020-03-30,-5.5357,2.2485,-7.7842
2020-03-27,-6.6373,1.7089,-8.3463
2020-03-26,-7.3085,1.4650,-8.7735
2020-03-25,-8.5740,0.5657,-9.1398
2020-03-24,-9.4710,-0.1898,-9.2812
2020-03-23,-10.1390,-0.9053,-9.2338
2020-03-20,-9.8779,-0.8705,-9.0075
2020-03-19,-9.7727,-0.9828,-8.7898
2020-03-18,-10.2608,-1.7167,-8.5441
2020-03-17,-10.4403,-2.3254,-8.1150
2020-03-16,-10.5258,-2.9922,-7.5336
2020-03-13,-9.7904,-3.0048,-6.7856
2020-03-12,-9.3437,-3.3094,-6.0343
2020-03-11,-7.8862,-2.6792,-5.2070
2020-03-10,-6.7696,-2.2324,-4.5372
2020-03-09,-5.8364,-1.8573,-3.9791
2020-03-06,-4.3140,-0.7992,-3.5148
2020-03-05,-4.0737,-0.7587,-3.3150
2020-03-04,-3.7647,-0.6394,-3.1253
2020-03-03,-3.8685,-0.9030,-2.9655
2020-03-02,-3.6371,-0.8974,-2.7397
2020-02-28,-3.6168,-1.1014,-2.5154
2020-02-27,-3.1962,-0.9561,-2.2400
2020-02-26,-2.5140,-0.5130,-2.0010
2020-02-25,-2.1138,-0.2410,-1.8728
2020-02-24,-1.6486,0.1639,-1.8125
2020-02-21,-1.3537,0.4998,-1.8535
2020-02-20,-1.4707,0.5077,-1.9784
2020-02-19,-1.5701,0.5352,-2.1054
2020-02-18,-1.6671,0.5721,-2.2392
2020-02-14,-1.7381,0.6441,-2.3822
2020-02-13,-1.9470,0.5962,-2.5432
2020-02-12,-2.3615,0.3308,-2.6923
2020-02-11,-2.8429,-0.0680,-2.7749
2020-02-10,-3.0699,-0.3119,-2.7579
2020-02-07,-3.1245,-0.4445,-2.6800
2020-02-06,-3.0520,-0.4832,-2.5688
2020-02-05,-3.3102,-0.8622,-2.4480
2020-02-04,-3.6109,-1.3785,-2.2325
2020-02-03,-3.5421,-1.6542,-1.8879
2020-01-31,-3.0219,-1.5476,-1.4743
2020-01-30,-2.4749,-1.3875,-1.0874
2020-01-29,-2.1500,-1.4095,-0.7405
2020-01-28,-1.7458,-1.3576,-0.3882
2020-01-27,-1.3022,-1.2534,-0.0488
2020-01-24,-0.6143,-0.8789,0.2646
2020-01-23,-0.2008,-0.6850,0.4843
2020-01-22,0.0887,-0.5669,0.6556
2020-01-21,0.4690,-0.3283,0.7973
2020-01-17,0.6198,-0.2595,0.8793
2020-01-16,0.6067,-0.3375,0.9442
2020-01-15,0.5720,-0.4566,1.0286
2020-01-14,0.7536,-0.3891,1.1427
2020-01-13,0.8615,-0.3786,1.2400
2020-01-10,0.9723,-0.3624,1.3347
2020-01-09,1.1698,-0.2554,1.4253
2020-01-08,1.2848,-0.2043,1.4891
2020-01-07,1.3752,-0.1650,1.5402
