time,RSI
2020-05-06,40.4471
2020-05-05,42.2315
2020-05-04,39.9430
2020-05-01,44.1202
2020-04-30,52.7638
2020-04-29,59.8211
2020-04-28,52.7045
2020-04-27,52.2744
2020-04-24,50.4660
2020-04-23,48.7639
2020-04-22,45.3700
2020-04-21,44.2125
2020-04-20,49.9381
2020-04-17,52.1118
2020-04-16,48.4531
2020-04-15,46.4321
2020-04-14,51.7843
2020-04-13,49.2978
2020-04-09,62.8802
2020-04-08,66.4671
2020-04-07,61.9503
2020-04-06,60.6533
2020-04-03,55.3595
2020-04-02,57.8781
2020-04-01,52.8511
2020-03-31,58.2999
2020-03-30,54.3930
2020-03-27,48.0499
2020-03-26,53.4492
2020-03-25,47.3096
2020-03-24,43.4774
2020-03-23,30.5154
2020-03-20,33.1466
2020-03-19,39.4448
2020-03-18,35.1791
2020-03-17,35.2409
2020-03-16,25.1948
2020-03-13,28.8965
2020-03-12,15.6903
2020-03-11,19.3933
2020-03-10,22.7125
2020-03-09,17.4040
2020-03-06,31.2420
2020-03-05,31.9811
2020-03-04,40.3014
2020-03-03,31.3632
2020-03-02,36.6253
2020-02-28,24.7719
2020-02-27,20.9294
2020-02-26,27.3950
2020-02-25,28.5922
2020-02-24,34.2931
2020-02-21,47.9830
2020-02-20,46.9236
2020-02-19,46.6793
2020-02-18,45.7807
2020-02-14,49.5664
2020-02-13,54.5473
2020-02-12,54.2363
2020-02-11,45.4503
2020-02-10,39.7218
2020-02-07,36.6816
2020-02-06,45.0298
2020-02-05,45.4860
2020-02-04,32.8140
2020-02-03,16.1126
2020-01-31,17.7944
2020-01-30,23.3836
2020-01-29,24.0778
2020-01-28,25.6846
2020-01-27,20.6719
2020-01-24,28.6907
2020-01-23,34.9008
2020-01-22,34.2523
2020-01-21,45.1032
2020-01-17,54.3997
2020-01-16,54.8744
2020-01-15,43.5439
2020-01-14,48.8740
2020-01-13,49.5627
2020-01-10,46.2000
2020-01-09,51.4829
2020-01-08,53.1997
2020-01-07,47.6832
2020-01-06,56.7619
2020-01-03,57.2626
2020-01-02,68.6520
2019-12-31,58.5287
2019-12-30,57.8409
2019-12-27,62.2554
2019-12-26,62.0496
2019-12-24,59.6048
2019-12-23,64.7820
2019-12-20,62.0792
2019-12-19,53.2195
2019-12-18,64.3653
2019-12-17,61.7934
2019-12-16,58.1308
2019-12-13,58.9874
2019-12-12,65.3612
2019-12-11,55.8021
2019-12-10,50.8390
2019-12-09,50.6625
2019-12-06,50.2201
2019-12-05,43.2706
2019-12-04,39.0026
2019-12-03,38.7349
2019-12-02,47.8718
2019-11-29,54.9980
2019-11-27,59.3075
2019-11-26,61.1029
2019-11-25,62.5080
2019-11-22,55.4042
2019-11-21,53.7910
2019-11-20,47.7746
2019-11-19,53.4222
2019-11-18,54.8639
2019-11-15,61.0883
2019-11-14,56.2292
2019-11-13,60.0165
2019-11-12,67.1931
2019-11-11,74.3752
2019-11-08,75.0713
2019-11-07,73.4648
2019-11-06,71.2618
2019-11-05,74.4839
2019-11-04,76.4277
2019-11-01,73.6984
2019-10-31,63.1167
2019-10-30,73.1766
2019-10-29,77.5102
2019-10-28,75.8597
2019-10-25,75.4381
2019-10-24,65.8841
2019-10-23,72.2977
2019-10-22,69.3212
2019-10-21,66.4506
2019-10-18,63.2265
2019-10-17,68.5297
2019-10-16,64.8631
2019-10-15,68.0515
2019-10-14,62.8694
2019-10-11,62.9387
2019-10-10,48.2814
2019-10-09,35.1414
2019-10-08,27.6597
2019-10-07,32.9685
2019-10-04,35.0673
2019-10-03,29.9897
2019-10-02,29.5933
2019-10-01,34.9602
2019-09-30,47.6845
2019-09-27,48.8210
2019-09-26,48.0247
2019-09-25,48.7760
2019-09-24,46.6593
2019-09-23,54.6210
2019-09-20,53.8629
2019-09-19,60.7483
2019-09-18,64.3359
2019-09-17,68.5550
2019-09-16,72.3598
2019-09-13,74.7605
2019-09-12,72.0736
2019-09-11,76.9395
2019-09-10,73.5859
2019-09-09,69.2105
2019-09-06,60.3673
2019-09-05,61.3785
2019-09-04,51.5882
2019-09-03,44.8987
2019-08-30,50.9260
2019-08-29,46.9221
2019-08-28,35.7625
2019-08-27,28.9221
2019-08-26,31.0106
2019-08-23,29.4229
2019-08-22,37.7387
2019-08-21,36.8580
2019-08-20,32.7401
2019-08-19,34.1078
2019-08-16,30.5905
2019-08-15,26.0850
2019-08-14,25.9384
2019-08-13,31.2381
2019-08-12,22.6684
2019-08-09,26.0643
2019-08-08,30.0908
2019-08-07,25.2065
2019-08-06,26.9854
2019-08-05,25.4185
2019-08-02,29.2103
2019-08-01,32.6200
2019-07-31,42.2459
2019-07-30,45.4091
2019-07-29,49.3308
2019-07-26,44.9684
2019-07-25,49.4194
2019-07-24,41.2299
2019-07-23,60.8238
2019-07-22,51.1751
2019-07-19,55.4280
2019-07-18,50.4074
2019-07-17,53.8281
2019-07-16,71.2297
2019-07-15,74.7918
2019-07-12,71.8424
2019-07-11,55.8684
2019-07-10,47.8859
2019-07-09,60.1196
2019-07-08,65.1098
2019-07-05,71.4148
2019-07-03,72.3853
2019-07-02,74.7629
2019-07-01,81.7324
2019-06-28,81.0762
2019-06-27,79.3769
2019-06-26,78.6111
2019-06-25,75.2014
2019-06-24,80.4947
2019-06-21,79.5526
2019-06-20,79.0596
2019-06-19,72.0021
2019-06-18,71.1919
2019-06-17,59.9909
2019-06-14,59.5679
2019-06-13,59.3097
2019-06-12,59.0351
2019-06-11,59.9718
2019-06-10,54.4005
2019-06-07,49.1009
2019-06-06,44.2241
2019-06-05,42.9834
2019-06-04,38.2194
2019-06-03,31.0947
2019-05-31,26.6209
2019-05-30,30.9983
2019-05-29,29.1386
2019-05-28,29.3562
2019-05-24,31.9101
2019-05-23,29.2019
2019-05-22,31.4917
2019-05-21,34.0620
2019-05-20,23.9320
2019-05-17,24.3733
2019-05-16,30.2256
2019-05-15,31.4434
2019-05-14,31.7269
2019-05-13,23.8397
2019-05-10,33.5484
2019-05-09,32.9791
2019-05-08,34.4002
2019-05-07,37.7585
2019-05-06,44.8356
2019-05-03,51.2736
2019-05-02,37.6446
2019-05-01,46.6386
2019-04-30,51.3437
2019-04-29,49.9113
2019-04-26,49.9444
2019-04-25,39.4737
2019-04-24,44.0491
2019-04-23,61.2093
2019-04-22,63.0074
2019-04-18,68.0447
2019-04-17,66.5207
2019-04-16,64.7900
2019-04-15,60.1408
2019-04-12,64.2135
2019-04-11,57.9238
2019-04-10,53.7131
2019-04-09,49.7257
2019-04-08,64.4109
2019-04-05,67.1901
2019-04-04,66.6383
2019-04-03,64.6122
2019-04-02,68.6216
2019-04-01,68.8697
2019-03-29,58.0347
2019-03-28,47.1920
2019-03-27,42.1471
2019-03-26,44.2272
2019-03-25,42.3879
2019-03-22,35.7096
2019-03-21,49.4587
2019-03-20,44.7748
2019-03-19,49.2332
2019-03-18,49.0328
2019-03-15,43.2709
2019-03-14,46.6570
2019-03-13,45.9479
2019-03-12,42.2379
2019-03-11,43.9134
2019-03-08,37.6999
2019-03-07,41.0738
2019-03-06,46.2942
2019-03-05,53.2218
2019-03-04,57.2613
2019-03-01,55.0271
2019-02-28,54.7123
2019-02-27,61.3739
2019-02-26,58.0938
2019-02-25,69.4769
2019-02-22,64.4932
2019-02-21,65.1950
2019-02-20,70.1044
2019-02-19,61.9772
2019-02-15,63.3519
2019-02-14,55.3795
