time,SMA
2020-05-06,114.4210
2020-05-05,115.1335
2020-05-04,115.7095
2020-05-01,116.0570
2020-04-30,116.3500
2020-04-29,116.0985
2020-04-28,115.8975
2020-04-27,115.7100
2020-04-24,115.2220
2020-04-23,115.0450
2020-04-22,114.6330
2020-04-21,114.1680
2020-04-20,113.2680
2020-04-17,112.3130
2020-04-16,111.6485
2020-04-15,110.9935
2020-04-14,110.4270
2020-04-13,109.2735
2020-04-09,108.5485
2020-04-08,106.9100
2020-04-07,105.5745
2020-04-06,104.8030
2020-04-03,103.9850
2020-04-02,104.3220
2020-04-01,104.5835
2020-03-31,105.3860
2020-03-30,105.8030
2020-03-27,106.5975
2020-03-26,107.5375
2020-03-25,108.1760
2020-03-24,109.3550
2020-03-23,110.7380
2020-03-20,112.7540
2020-03-19,114.8395
2020-03-18,116.5355
2020-03-17,118.3725
2020-03-16,120.1915
2020-03-13,122.4205
2020-03-12,124.4245
2020-03-11,126.7910
2020-03-10,128.5660
2020-03-09,129.9575
2020-03-06,131.4225
2020-03-05,132.2145
2020-03-04,132.9880
2020-03-03,133.2935
2020-03-02,133.5630
2020-02-28,133.7505
2020-02-27,134.3070
2020-02-26,134.9325
2020-02-25,135.3570
2020-02-24,135.6935
2020-02-21,136.1040
2020-02-20,136.3810
2020-02-19,136.6660
2020-02-18,137.1155
2020-02-14,137.6755
2020-02-13,138.1695
2020-02-12,138.4620
2020-02-11,138.8165
2020-02-10,139.3480
2020-02-07,139.9385
2020-02-06,140.6355
2020-02-05,141.1570
2020-02-04,141.6040
2020-02-03,142.3455
2020-01-31,143.2790
2020-01-30,144.2380
2020-01-29,144.8535
2020-01-28,145.4405
2020-01-27,146.0175
2020-01-24,146.6420
2020-01-23,146.9970
2020-01-22,147.2845
2020-01-21,147.5315
2020-01-17,147.4900
2020-01-16,147.4570
2020-01-15,147.3820
2020-01-14,147.3715
2020-01-13,147.3140
2020-01-10,147.3120
2020-01-09,147.2055
2020-01-08,146.9835
2020-01-07,146.7410
2020-01-06,146.5580
2020-01-03,146.1935
2020-01-02,145.7775
2019-12-31,145.2540
2019-12-30,145.0180
2019-12-27,144.8785
2019-12-26,144.7490
2019-12-24,144.6425
2019-12-23,144.5895
2019-12-20,144.3585
