time,MACD,MACD_Hist,MACD_Signal
2020-04-30,-0.2888,0.0180,-0.3068
2020-04-29,-0.2868,0.0245,-0.3113
2020-04-28,-0.2973,0.0202,-0.3175
2020-04-27,-0.3013,0.0212,-0.3225
2020-04-24,-0.2949,0.0329,-0.3278
2020-04-23,-0.2794,0.0566,-0.3360
2020-04-22,-0.2739,0.0762,-0.3502
2020-04-20,-0.2782,0.0911,-0.3692
2020-04-17,-0.2785,0.1135,-0.3920
2020-04-16,-0.2882,0.1322,-0.4203
2020-04-15,-0.3054,0.1480,-0.4534
2020-04-14,-0.3424,0.1480,-0.4904
2020-04-13,-0.3866,0.1408,-0.5274
2020-04-09,-0.4497,0.1129,-0.5626
2020-04-08,-0.5114,0.0794,-0.5908
2020-04-07,-0.6020,0.0086,-0.6107
2020-04-06,-0.6164,-0.0035,-0.6128
2020-04-03,-0.6196,-0.0076,-0.6119
2020-04-02,-0.6075,0.0026,-0.6100
2020-04-01,-0.6087,0.0020,-0.6107
2020-03-31,-0.6065,0.0046,-0.6112
2020-03-30,-0.6112,0.0011,-0.6123
2020-03-27,-0.6408,-0.0282,-0.6126
2020-03-26,-0.6541,-0.0485,-0.6056
2020-03-25,-0.7012,-0.1077,-0.5934
2020-03-24,-0.7511,-0.1846,-0.5665
2020-03-23,-0.7072,-0.1868,-0.5203
2020-03-20,-0.6500,-0.1763,-0.4736
2020-03-19,-0.5970,-0.1675,-0.4296
2020-03-18,-0.5432,-0.1555,-0.3877
2020-03-17,-0.5113,-0.1625,-0.3488
2020-03-16,-0.5010,-0.1928,-0.3082
2020-03-13,-0.4336,-0.1736,-0.2600
2020-03-12,-0.4095,-0.1928,-0.2166
2020-03-11,-0.2730,-0.1045,-0.1684
2020-03-10,-0.2230,-0.0808,-0.1423
2020-03-09,-0.1958,-0.0737,-0.1221
2020-03-06,-0.1256,-0.0220,-0.1036
2020-03-05,-0.0892,0.0090,-0.0982
2020-03-04,-0.0740,0.0264,-0.1004
2020-03-03,-0.1034,0.0037,-0.1070
2020-03-02,-0.1221,-0.0141,-0.1079
2020-02-28,-0.1319,-0.0275,-0.1044
2020-02-27,-0.1192,-0.0217,-0.0975
2020-02-21,-0.0646,0.0275,-0.0921
2020-02-20,-0.0509,0.0481,-0.0990
2020-02-19,-0.0480,0.0630,-0.1110
2020-02-18,-0.0690,0.0577,-0.1267
