time,RSI
2020-04-30,36.4799
2020-04-29,40.9594
2020-04-28,38.9758
2020-04-27,36.2784
2020-04-24,35.1731
2020-04-23,38.8081
2020-04-22,42.0688
2020-04-20,41.7753
2020-04-17,44.4078
2020-04-16,46.2227
2020-04-15,50.1142
2020-04-14,50.5171
2020-04-13,52.8099
2020-04-09,50.8002
2020-04-08,54.0823
2020-04-07,36.3587
2020-04-06,34.8668
2020-04-03,33.2232
2020-04-02,36.1559
2020-04-01,36.7396
2020-03-31,38.5313
2020-03-30,42.2390
2020-03-27,39.7950
2020-03-26,44.1682
2020-03-25,44.1682
2020-03-24,28.7106
2020-03-23,29.4047
2020-03-20,31.6218
2020-03-19,33.3380
2020-03-18,36.9474
2020-03-17,40.2451
2020-03-16,33.6155
2020-03-13,39.3364
2020-03-12,21.8214
2020-03-11,32.7696
2020-03-10,38.0937
2020-03-09,29.6536
2020-03-06,37.3971
2020-03-05,43.4480
2020-03-04,55.9166
2020-03-03,51.5776
2020-03-02,48.3478
2020-02-28,41.6320
2020-02-27,28.5445
2020-02-21,41.6049
2020-02-20,46.7628
2020-02-19,57.4455
2020-02-18,55.6207
2020-02-17,49.3673
2020-02-14,51.4045
2020-02-13,47.9232
2020-02-12,52.4304
2020-02-11,45.0683
2020-02-10,49.0214
2020-02-07,53.6410
2020-02-06,54.0228
2020-02-05,41.6974
2020-02-04,38.0755
2020-02-03,44.2623
2020-01-31,40.3360
2020-01-30,40.9124
2020-01-29,35.5222
2020-01-28,43.4867
2020-01-27,31.5855
2020-01-24,31.5855
2020-01-23,34.4023
2020-01-22,35.3480
2020-01-21,22.9589
2020-01-20,25.4957
2020-01-17,28.9504
2020-01-16,30.3917
2020-01-15,29.0288
2020-01-14,33.3368
2020-01-13,30.8167
2020-01-10,29.6194
2020-01-09,27.7437
2020-01-08,36.0430
2020-01-07,40.0906
2020-01-06,46.3344
2020-01-03,52.8117
2020-01-02,56.5377
2019-12-30,50.8651
2019-12-27,56.5072
2019-12-26,62.3670
2019-12-23,58.2244
2019-12-20,56.7107
2019-12-19,58.9536
2019-12-18,65.6279
2019-12-17,67.3433
2019-12-16,58.3233
2019-12-13,77.0639
2019-12-12,69.6530
2019-12-11,65.7178
2019-12-10,61.1882
2019-12-09,63.1920
2019-12-06,61.1902
2019-12-05,61.6211
2019-12-04,48.5883
2019-12-03,54.8778
2019-12-02,52.6724
2019-11-29,53.8569
2019-11-28,51.9102
