timestamp,open,high,low,close,volume
2020-04-30,4.1600,4.2100,4.0600,4.0600,23941200
2020-04-29,4.1100,4.3400,4.0500,4.2300,36591400
2020-04-28,4.2400,4.4500,4.1500,4.1800,28103700
2020-04-27,4.1400,4.2300,3.9800,4.1100,26555000
2020-04-24,4.2200,4.2200,3.8400,4.0800,27190100
2020-04-23,4.5000,4.5000,4.2500,4.2600,20247000
2020-04-22,4.4100,4.4800,4.3400,4.4100,18760300
2020-04-20,4.4000,4.5300,4.3200,4.4000,17149200
2020-04-17,4.7600,4.7700,4.4500,4.5300,15815300
2020-04-16,4.8800,4.9800,4.5600,4.6200,16381900
2020-04-15,4.7300,4.8900,4.6600,4.8100,11030600
2020-04-14,5.0700,5.1900,4.8300,4.8300,20295100
2020-04-13,4.8200,5.0300,4.6600,4.9500,10899000
2020-04-09,5.1000,5.1200,4.6000,4.8300,27231500
2020-04-08,4.1400,5.0300,4.1100,5.0200,30849400
2020-04-07,4.2000,4.4400,4.1100,4.1100,18355600
2020-04-06,4.2100,4.2700,3.9800,4.0500,15095900
2020-04-03,4.2200,4.2400,3.9400,3.9800,11434900
2020-04-02,4.3600,4.3800,4.1600,4.2300,10908100
2020-04-01,4.2900,4.4500,4.0800,4.2800,15741900
2020-03-31,4.7900,4.8900,4.3700,4.4400,13354900
2020-03-30,4.6500,4.7900,4.4700,4.7600,13250100
2020-03-27,4.6600,4.8900,4.6100,4.6100,16877700
2020-03-26,4.8900,5.2000,4.7100,5.0000,20021500
2020-03-25,4.0900,5.0000,4.0700,5.0000,24830300
2020-03-24,4.3500,4.4500,4.0500,4.0500,26292000
2020-03-23,4.4500,4.5300,3.9700,4.1400,26103100
2020-03-20,4.8300,5.0300,4.3100,4.4300,37975300
2020-03-19,5.0200,5.0400,4.5200,4.6500,32336400
2020-03-18,5.1300,5.4700,4.8600,5.0900,22620700
2020-03-17,5.1500,5.6800,5.1100,5.4600,20855800
2020-03-16,5.0000,5.3700,4.7200,5.0000,19500500
2020-03-13,5.2300,5.6700,4.8500,5.6700,22433400
2020-03-12,5.5000,5.5400,4.6600,4.6900,19570100
2020-03-11,6.1800,6.2300,5.5300,5.9500,19452200
2020-03-10,6.3900,6.4600,5.9700,6.3400,22233700
2020-03-09,5.9200,6.3600,5.9200,6.0200,19446500
2020-03-06,6.7300,6.7900,6.4600,6.5600,21518800
2020-03-05,7.3400,7.3400,6.7900,6.8800,16359700
2020-03-04,7.3200,7.4700,7.2200,7.3700,14157500
2020-03-03,7.1300,7.4700,7.0200,7.2000,22445000
2020-03-02,6.9000,7.1200,6.6700,7.0800,22526000
2020-02-28,6.5000,6.8500,6.3800,6.8500,20697100
2020-02-27,6.8100,6.9400,6.4900,6.4900,20713500
2020-02-21,7.1700,7.1800,6.9400,7.0500,10748500
2020-02-20,7.5000,7.5100,7.2000,7.2000,10908500
2020-02-19,7.3600,7.4700,7.3200,7.4500,10200300
2020-02-18,7.2400,7.4000,7.2000,7.4000,6942200
2020-02-17,7.3200,7.4200,7.2200,7.2400,9116000
