time,MACD,MACD_Hist,MACD_Signal
2020-05-05,-0.2306,0.0850,-0.3155
2020-05-04,-0.2431,0.0936,-0.3368
2020-04-30,-0.2403,0.1198,-0.3602
2020-04-29,-0.2618,0.1283,-0.3901
2020-04-28,-0.3098,0.1124,-0.4222
2020-04-27,-0.3300,0.1203,-0.4503
2020-04-24,-0.2919,0.1885,-0.4804
2020-04-23,-0.2318,0.2957,-0.5275
2020-04-22,-0.2638,0.3376,-0.6014
2020-04-20,-0.3303,0.3555,-0.6858
2020-04-17,-0.4022,0.3725,-0.7747
2020-04-16,-0.4964,0.3715,-0.8679
2020-04-15,-0.6062,0.3545,-0.9607
2020-04-14,-0.7315,0.3179,-1.0494
2020-04-13,-0.8696,0.2593,-1.1288
2020-04-09,-0.9863,0.2073,-1.1936
2020-04-08,-1.0894,0.1560,-1.2455
2020-04-07,-1.1746,0.1099,-1.2845
2020-04-06,-1.2459,0.0660,-1.3119
2020-04-03,-1.3015,0.0269,-1.3284
2020-04-02,-1.2975,0.0377,-1.3352
2020-04-01,-1.3000,0.0446,-1.3446
2020-03-31,-1.3067,0.0491,-1.3558
2020-03-30,-1.3451,0.0230,-1.3680
2020-03-27,-1.3949,-0.0211,-1.3738
2020-03-26,-1.4493,-0.0808,-1.3685
2020-03-25,-1.5772,-0.2289,-1.3483
2020-03-24,-1.6228,-0.3317,-1.2911
2020-03-23,-1.5891,-0.3810,-1.2081
2020-03-20,-1.4976,-0.3847,-1.1129
2020-03-19,-1.4353,-0.4186,-1.0167
2020-03-18,-1.3900,-0.4780,-0.9120
2020-03-17,-1.2854,-0.4929,-0.7925
2020-03-16,-1.2086,-0.5393,-0.6693
2020-03-13,-1.0319,-0.4974,-0.5345
2020-03-12,-0.9115,-0.5013,-0.4101
2020-03-11,-0.6112,-0.3264,-0.2848
2020-03-10,-0.4429,-0.2397,-0.2032
2020-03-09,-0.3491,-0.2058,-0.1433
2020-03-06,-0.1895,-0.0977,-0.0919
2020-03-05,-0.1247,-0.0573,-0.0674
2020-03-04,-0.1083,-0.0552,-0.0531
2020-03-03,-0.1592,-0.1199,-0.0393
2020-03-02,-0.1546,-0.1452,-0.0093
2020-02-28,-0.1434,-0.1704,0.0270
2020-02-27,-0.0833,-0.1528,0.0695
2020-02-21,0.0212,-0.0866,0.1078
2020-02-20,0.0259,-0.1035,0.1294
2020-02-19,0.0682,-0.0871,0.1553
2020-02-18,0.0825,-0.0946,0.1771
2020-02-17,0.0913,-0.1094,0.2007
2020-02-14,0.1003,-0.1277,0.2280
2020-02-13,0.1358,-0.1241,0.2600
2020-02-12,0.1832,-0.1078,0.2910
2020-02-11,0.2105,-0.1075,0.3179
2020-02-10,0.2351,-0.1097,0.3448
2020-02-07,0.3161,-0.0562,0.3722
2020-02-06,0.3588,-0.0275,0.3863
2020-02-05,0.3572,-0.0360,0.3932
2020-02-04,0.3204,-0.0817,0.4021
2020-02-03,0.3299,-0.0926,0.4226
2020-01-31,0.3566,-0.0891,0.4457
2020-01-30,0.4089,-0.0591,0.4680
2020-01-29,0.4453,-0.0375,0.4828
2020-01-28,0.4628,-0.0293,0.4921
2020-01-27,0.4693,-0.0301,0.4995
2020-01-24,0.4993,-0.0077,0.5070
2020-01-23,0.5079,-0.0011,0.5089
2020-01-22,0.5277,0.0185,0.5092
2020-01-21,0.5688,0.0643,0.5046
2020-01-20,0.5957,0.1072,0.4885
2020-01-17,0.6020,0.1403,0.4617
2020-01-16,0.5778,0.1512,0.4266
2020-01-15,0.5528,0.1640,0.3889
2020-01-14,0.5220,0.1742,0.3479
2020-01-13,0.4650,0.1607,0.3043
2020-01-10,0.4017,0.1375,0.2642
2020-01-09,0.3578,0.1280,0.2298
2020-01-08,0.3190,0.1212,0.1978
2020-01-07,0.2526,0.0852,0.1675
2020-01-06,0.2050,0.0588,0.1462
2020-01-03,0.1931,0.0616,0.1315
2020-01-02,0.1944,0.0783,0.1161
2019-12-30,0.1780,0.0816,0.0965
2019-12-27,0.1637,0.0876,0.0761
2019-12-26,0.1532,0.0991,0.0542
2019-12-23,0.1376,0.1082,0.0294
2019-12-20,0.1147,0.1123,0.0024
2019-12-19,0.0888,0.1145,-0.0257
2019-12-18,0.0504,0.1048,-0.0543
2019-12-17,0.0130,0.0935,-0.0805
2019-12-16,-0.0280,0.0759,-0.1039
2019-12-13,-0.0706,0.0523,-0.1229
2019-12-12,-0.0854,0.0506,-0.1359
2019-12-11,-0.1019,0.0467,-0.1486
2019-12-10,-0.1195,0.0408,-0.1603
2019-12-09,-0.1137,0.0568,-0.1705
2019-12-06,-0.1190,0.0657,-0.1847
2019-12-05,-0.1382,0.0629,-0.2011
2019-12-04,-0.1668,0.0500,-0.2168
2019-12-03,-0.1806,0.0487,-0.2293
2019-12-02,-0.1894,0.0520,-0.2415
2019-11-29,-0.2142,0.0403,-0.2545
2019-11-28,-0.2499,0.0146,-0.2646
2019-11-27,-0.2684,-0.0002,-0.2682
2019-11-26,-0.2718,-0.0036,-0.2682
2019-11-25,-0.2752,-0.0079,-0.2673
2019-11-22,-0.2868,-0.0215,-0.2653
2019-11-21,-0.3075,-0.0476,-0.2599
2019-11-19,-0.2990,-0.0510,-0.2480
2019-11-18,-0.2788,-0.0435,-0.2353
2019-11-14,-0.2539,-0.0295,-0.2244
2019-11-13,-0.2470,-0.0300,-0.2170
2019-11-12,-0.2315,-0.0220,-0.2095
2019-11-11,-0.2155,-0.0115,-0.2040
2019-11-08,-0.2144,-0.0132,-0.2012
2019-11-07,-0.2047,-0.0069,-0.1979
2019-11-06,-0.2057,-0.0095,-0.1962
2019-11-05,-0.1917,0.0020,-0.1938
2019-11-04,-0.1844,0.0099,-0.1943
2019-11-01,-0.1896,0.0071,-0.1967
2019-10-31,-0.1945,0.0040,-0.1985
2019-10-30,-0.2194,-0.0198,-0.1995
2019-10-29,-0.2377,-0.0431,-0.1946
2019-10-28,-0.2281,-0.0443,-0.1838
2019-10-25,-0.2125,-0.0398,-0.1727
2019-10-24,-0.1794,-0.0166,-0.1628
2019-10-23,-0.1681,-0.0095,-0.1586
2019-10-22,-0.1594,-0.0032,-0.1563
2019-10-21,-0.1592,-0.0037,-0.1555
2019-10-18,-0.1566,-0.0021,-0.1545
2019-10-17,-0.1459,0.0081,-0.1540
2019-10-16,-0.1577,-0.0017,-0.1560
2019-10-15,-0.1623,-0.0067,-0.1556
2019-10-14,-0.1718,-0.0179,-0.1539
2019-10-11,-0.1785,-0.0290,-0.1495
2019-10-10,-0.1844,-0.0422,-0.1422
2019-10-09,-0.1689,-0.0373,-0.1316
2019-10-08,-0.1599,-0.0376,-0.1223
2019-10-07,-0.1471,-0.0342,-0.1129
2019-10-04,-0.1256,-0.0212,-0.1044
2019-10-03,-0.1146,-0.0156,-0.0991
2019-10-02,-0.0969,-0.0018,-0.0952
2019-10-01,-0.0882,0.0065,-0.0947
2019-09-30,-0.1175,-0.0211,-0.0964
2019-09-27,-0.1359,-0.0448,-0.0911
2019-09-26,-0.1339,-0.0541,-0.0799
2019-09-25,-0.1295,-0.0632,-0.0664
2019-09-24,-0.1017,-0.0511,-0.0506
2019-09-23,-0.0799,-0.0421,-0.0378
2019-09-20,-0.0662,-0.0389,-0.0273
2019-09-19,-0.0569,-0.0393,-0.0176
2019-09-18,-0.0503,-0.0426,-0.0078
2019-09-17,-0.0361,-0.0390,0.0029
2019-09-16,-0.0297,-0.0423,0.0126
2019-09-13,0.0105,-0.0127,0.0232
2019-09-12,0.0291,0.0027,0.0264
2019-09-11,0.0198,-0.0059,0.0257
2019-09-10,0.0097,-0.0174,0.0271
2019-09-09,0.0303,-0.0012,0.0315
2019-09-06,0.0490,0.0172,0.0318
2019-09-05,0.0477,0.0202,0.0275
2019-09-04,0.0341,0.0117,0.0225
2019-09-03,0.0296,0.0100,0.0195
2019-09-02,0.0315,0.0144,0.0170
2019-08-30,0.0039,-0.0095,0.0134
2019-08-29,-0.0171,-0.0329,0.0158
2019-08-28,-0.0131,-0.0371,0.0240
2019-08-27,0.0371,0.0038,0.0333
2019-08-26,0.0557,0.0234,0.0323
2019-08-23,0.0878,0.0613,0.0265
2019-08-22,0.1072,0.0960,0.0112
2019-08-21,0.0835,0.0963,-0.0128
2019-08-20,0.0164,0.0533,-0.0369
2019-08-19,-0.0063,0.0439,-0.0503
2019-08-16,-0.0342,0.0270,-0.0612
2019-08-15,-0.0480,0.0200,-0.0680
2019-08-14,-0.0210,0.0520,-0.0730
2019-08-13,-0.0260,0.0599,-0.0860
2019-08-12,-0.0667,0.0343,-0.1010
2019-08-09,-0.0860,0.0236,-0.1095
2019-08-08,-0.1165,-0.0011,-0.1154
2019-08-07,-0.1436,-0.0285,-0.1152
2019-08-06,-0.1252,-0.0172,-0.1080
2019-08-05,-0.1508,-0.0471,-0.1037
2019-08-02,-0.1365,-0.0446,-0.0920
2019-08-01,-0.1468,-0.0660,-0.0808
2019-07-31,-0.1588,-0.0945,-0.0643
2019-07-30,-0.1484,-0.1078,-0.0407
2019-07-29,-0.1371,-0.1234,-0.0137
2019-07-26,-0.1074,-0.1245,0.0171
2019-07-25,-0.0740,-0.1222,0.0482
2019-07-24,-0.0262,-0.1050,0.0788
2019-07-23,0.0188,-0.0862,0.1050
2019-07-22,0.0424,-0.0842,0.1266
2019-07-19,0.0852,-0.0624,0.1476
2019-07-18,0.1314,-0.0318,0.1632
2019-07-17,0.1518,-0.0193,0.1712
2019-07-16,0.1625,-0.0136,0.1760
2019-07-15,0.1828,0.0034,0.1794
2019-07-12,0.2092,0.0307,0.1786
2019-07-11,0.2144,0.0435,0.1709
2019-07-10,0.2006,0.0406,0.1600
2019-07-08,0.1688,0.0190,0.1499
2019-07-05,0.1554,0.0103,0.1451
2019-07-04,0.1431,0.0005,0.1426
2019-07-03,0.1304,-0.0120,0.1424
2019-07-02,0.1276,-0.0178,0.1454
2019-07-01,0.1364,-0.0135,0.1499
2019-06-28,0.1192,-0.0341,0.1532
2019-06-27,0.1067,-0.0551,0.1618
2019-06-26,0.1085,-0.0670,0.1755
2019-06-25,0.1428,-0.0494,0.1923
2019-06-24,0.1785,-0.0262,0.2047
2019-06-21,0.1827,-0.0285,0.2112
2019-06-19,0.1885,-0.0298,0.2183
2019-06-18,0.2074,-0.0183,0.2258
2019-06-17,0.2295,-0.0008,0.2303
2019-06-14,0.2422,0.0117,0.2305
2019-06-13,0.2732,0.0456,0.2276
2019-06-12,0.2833,0.0671,0.2162
2019-06-11,0.3094,0.1100,0.1995
2019-06-10,0.2985,0.1266,0.1720
2019-06-07,0.3109,0.1705,0.1403
2019-06-06,0.2762,0.1785,0.0977
2019-06-05,0.2178,0.1648,0.0531
2019-06-04,0.1910,0.1792,0.0119
2019-06-03,0.1388,0.1717,-0.0329
2019-05-31,0.0904,0.1663,-0.0758
2019-05-30,0.0213,0.1387,-0.1174
2019-05-29,-0.0510,0.1011,-0.1521
2019-05-28,-0.1119,0.0654,-0.1774
2019-05-27,-0.1575,0.0362,-0.1937
2019-05-24,-0.1839,0.0188,-0.2028
2019-05-23,-0.1936,0.0139,-0.2075
2019-05-22,-0.2265,-0.0155,-0.2110
2019-05-21,-0.2744,-0.0673,-0.2071
2019-05-20,-0.3386,-0.1484,-0.1903
2019-05-17,-0.3455,-0.1923,-0.1532
2019-05-16,-0.2768,-0.1718,-0.1051
2019-05-15,-0.2066,-0.1445,-0.0621
2019-05-14,-0.1527,-0.1267,-0.0260
2019-05-13,-0.1122,-0.1178,0.0057
2019-05-10,-0.0436,-0.0787,0.0351
2019-05-09,-0.0114,-0.0662,0.0548
2019-05-08,0.0187,-0.0526,0.0713
2019-05-07,0.0487,-0.0358,0.0845
2019-05-06,0.0923,-0.0011,0.0934
2019-05-03,0.1365,0.0428,0.0937
2019-05-02,0.1441,0.0611,0.0830
2019-04-30,0.1232,0.0555,0.0677
2019-04-29,0.0957,0.0419,0.0538
2019-04-26,0.0888,0.0454,0.0434
2019-04-25,0.0736,0.0416,0.0320
2019-04-24,0.0500,0.0284,0.0216
2019-04-23,0.0436,0.0291,0.0145
2019-04-22,0.0135,0.0063,0.0072
2019-04-18,-0.0058,-0.0115,0.0057
2019-04-17,-0.0080,-0.0165,0.0085
2019-04-16,0.0209,0.0082,0.0127
2019-04-15,0.0300,0.0194,0.0106
2019-04-12,0.0381,0.0323,0.0058
2019-04-11,0.0550,0.0573,-0.0023
2019-04-10,0.0300,0.0466,-0.0166
2019-04-09,-0.0238,0.0045,-0.0283
2019-04-08,-0.0310,-0.0016,-0.0294
2019-04-05,-0.0682,-0.0392,-0.0290
2019-04-04,-0.0842,-0.0650,-0.0192
2019-04-03,-0.0962,-0.0933,-0.0029
2019-04-02,-0.0806,-0.1010,0.0204
2019-04-01,-0.0555,-0.1012,0.0457
2019-03-29,-0.0471,-0.1180,0.0709
2019-03-28,-0.0367,-0.1371,0.1005
2019-03-27,0.0057,-0.1290,0.1347
2019-03-26,0.0953,-0.0717,0.1670
2019-03-25,0.1075,-0.0774,0.1849
2019-03-22,0.1337,-0.0706,0.2043
2019-03-21,0.2018,-0.0201,0.2219
2019-03-20,0.2482,0.0213,0.2269
2019-03-19,0.2753,0.0537,0.2216
2019-03-18,0.2651,0.0569,0.2082
2019-03-15,0.2432,0.0493,0.1940
2019-03-14,0.2280,0.0464,0.1816
2019-03-13,0.2155,0.0454,0.1701
2019-03-12,0.1881,0.0294,0.1587
2019-03-11,0.1597,0.0084,0.1514
2019-03-08,0.1476,-0.0017,0.1493
2019-03-07,0.1554,0.0057,0.1497
2019-03-01,0.1967,0.0484,0.1483
2019-02-28,0.2170,0.0809,0.1362
2019-02-27,0.2052,0.0893,0.1159
2019-02-26,0.1576,0.0640,0.0936
2019-02-25,0.1292,0.0516,0.0776
2019-02-22,0.1002,0.0355,0.0647
2019-02-21,0.0831,0.0273,0.0559
2019-02-20,0.0754,0.0264,0.0490
2019-02-19,0.0594,0.0169,0.0424
2019-02-18,0.0319,-0.0063,0.0382
2019-02-15,0.0025,-0.0373,0.0398
2019-02-14,-0.0198,-0.0689,0.0491
2019-02-13,-0.0399,-0.1062,0.0663
2019-02-12,-0.0424,-0.1353,0.0929
2019-02-11,-0.0227,-0.1495,0.1267
2019-02-08,0.0221,-0.1420,0.1641
2019-02-07,0.0475,-0.1521,0.1996
2019-02-06,0.0913,-0.1463,0.2376
2019-02-05,0.1613,-0.1129,0.2742
2019-02-04,0.1943,-0.1082,0.3024
2019-02-01,0.2396,-0.0899,0.3295
2019-01-31,0.2828,-0.0691,0.3520
2019-01-30,0.3196,-0.0496,0.3692
2019-01-29,0.3467,-0.0350,0.3816
2019-01-28,0.3680,-0.0224,0.3904
2019-01-24,0.3909,-0.0051,0.3960
2019-01-23,0.3716,-0.0256,0.3972
2019-01-22,0.3682,-0.0355,0.4036
2019-01-21,0.3746,-0.0379,0.4125
2019-01-18,0.3744,-0.0476,0.4220
2019-01-17,0.3911,-0.0428,0.4339
