time,RSI
2020-04-30,49.4132
2020-04-29,53.0473
2020-04-28,47.8717
2020-04-27,37.9550
2020-04-24,36.6458
2020-04-23,52.2326
2020-04-22,58.0957
2020-04-20,56.8944
2020-04-17,58.4012
2020-04-16,58.0260
2020-04-15,57.3334
2020-04-14,56.1391
2020-04-13,50.9744
2020-04-09,47.2037
2020-04-08,43.4131
2020-04-07,40.8657
2020-04-06,38.7566
2020-04-03,31.6592
2020-04-02,33.3011
2020-04-01,34.6704
2020-03-31,37.7157
2020-03-30,39.0003
2020-03-27,39.6691
2020-03-26,44.5441
2020-03-25,36.1202
2020-03-24,29.1411
2020-03-23,26.4424
2020-03-20,29.4732
2020-03-19,31.8379
2020-03-18,29.3827
2020-03-17,32.3694
2020-03-16,26.9511
2020-03-13,31.4044
2020-03-12,17.8400
2020-03-11,25.4450
2020-03-10,32.5379
2020-03-09,27.5972
2020-03-06,37.7769
2020-03-05,44.9735
2020-03-04,55.1314
2020-03-03,44.8560
2020-03-02,44.3345
2020-02-28,36.5998
2020-02-27,31.4138
2020-02-21,48.8376
2020-02-20,40.3266
2020-02-19,47.8958
2020-02-18,49.6620
2020-02-17,49.8688
2020-02-14,44.6842
2020-02-13,43.8479
2020-02-12,48.8309
2020-02-11,50.0248
2020-02-10,40.2599
2020-02-07,49.4593
2020-02-06,60.8323
2020-02-05,69.1301
2020-02-04,58.6197
2020-02-03,54.1729
2020-01-31,48.0961
2020-01-30,54.9375
2020-01-29,62.2417
2020-01-28,65.4454
2020-01-27,59.6269
2020-01-24,67.6865
2020-01-23,64.5501
2020-01-22,59.4593
2020-01-21,65.7393
2020-01-20,73.5536
2020-01-17,84.4962
2020-01-16,83.1205
2020-01-15,82.2070
2020-01-14,86.9103
2020-01-13,85.7350
2020-01-10,81.8947
2020-01-09,79.2629
2020-01-08,85.3537
2020-01-07,80.9658
2020-01-06,70.9939
2020-01-03,64.8130
2020-01-02,76.3769
2019-12-30,73.8582
2019-12-27,70.7384
2019-12-26,70.7384
2019-12-23,71.4289
2019-12-20,70.1163
2019-12-19,72.5150
2019-12-18,69.7178
2019-12-17,68.0086
2019-12-16,65.7731
2019-12-13,53.3986
2019-12-12,52.9962
2019-12-11,52.2539
2019-12-10,41.4328
