time,MACD,MACD_Hist,MACD_Signal
2020-05-04,2.9529,0.9188,2.0341
2020-05-01,2.8733,1.0690,1.8044
2020-04-30,2.9336,1.3965,1.5371
2020-04-29,2.7072,1.5192,1.1880
2020-04-28,2.1121,1.3039,0.8082
2020-04-27,1.8014,1.3191,0.4823
2020-04-24,1.3989,1.2464,0.1525
2020-04-23,1.1398,1.2989,-0.1591
2020-04-22,0.8139,1.2978,-0.4839
2020-04-21,0.6264,1.4347,-0.8083
2020-04-20,0.6630,1.8300,-1.1670
2020-04-17,0.5036,2.1280,-1.6245
2020-04-16,-0.0738,2.0827,-2.1565
2020-04-15,-0.0785,2.5986,-2.6772
2020-04-14,-0.3380,2.9888,-3.3268
2020-04-13,-0.8801,3.1939,-4.0740
2020-04-09,-1.5898,3.2827,-4.8725
2020-04-08,-2.4114,3.2818,-5.6932
2020-04-07,-3.5950,2.9186,-6.5136
2020-04-06,-4.5383,2.7049,-7.2432
2020-04-03,-5.6223,2.2972,-7.9195
2020-04-02,-6.3864,2.1074,-8.4938
2020-04-01,-7.3717,1.6490,-9.0206
2020-03-31,-7.7523,1.6806,-9.4329
2020-03-30,-8.5224,1.3306,-9.8530
2020-03-27,-9.3294,0.8563,-10.1857
2020-03-26,-9.9011,0.4987,-10.3998
2020-03-25,-11.2605,-0.7360,-10.5244
2020-03-24,-12.1078,-1.7674,-10.3404
2020-03-23,-12.7363,-2.8378,-9.8986
2020-03-20,-12.0979,-2.9088,-9.1891
2020-03-19,-11.6334,-3.1715,-8.4619
2020-03-18,-10.6677,-2.9986,-7.6691
2020-03-17,-9.0417,-2.1223,-6.9194
2020-03-16,-8.4272,-2.0383,-6.3888
2020-03-13,-7.4195,-1.5403,-5.8793
2020-03-12,-7.4224,-1.9282,-5.4942
2020-03-11,-6.5891,-1.5770,-5.0121
2020-03-10,-6.1190,-1.5011,-4.6179
2020-03-09,-5.6285,-1.3858,-4.2426
2020-03-06,-4.4817,-0.5855,-3.8962
2020-03-05,-4.4444,-0.6947,-3.7498
2020-03-04,-4.5226,-0.9465,-3.5761
2020-03-03,-4.6931,-1.3536,-3.3395
2020-03-02,-4.4209,-1.4198,-3.0011
2020-02-28,-4.2331,-1.5870,-2.6461
2020-02-27,-3.6010,-1.3517,-2.2494
2020-02-26,-2.8223,-0.9108,-1.9114
2020-02-25,-2.1853,-0.5016,-1.6837
2020-02-24,-1.6125,-0.0541,-1.5583
2020-02-21,-1.2651,0.2797,-1.5448
2020-02-20,-1.2412,0.3736,-1.6147
2020-02-19,-1.2740,0.4341,-1.7081
2020-02-18,-1.3920,0.4246,-1.8167
2020-02-14,-1.4716,0.4512,-1.9228
2020-02-13,-1.5354,0.5002,-2.0356
2020-02-12,-1.7554,0.4053,-2.1607
2020-02-11,-2.0493,0.2127,-2.2620
2020-02-10,-2.3102,0.0050,-2.3152
2020-02-07,-2.4650,-0.1485,-2.3164
2020-02-06,-2.5401,-0.2608,-2.2793
2020-02-05,-2.6551,-0.4410,-2.2141
2020-02-04,-2.8436,-0.7398,-2.1038
2020-02-03,-2.6937,-0.7748,-1.9189
2020-01-31,-2.4051,-0.6800,-1.7252
2020-01-30,-2.0894,-0.5342,-1.5552
2020-01-29,-2.0897,-0.6681,-1.4216
2020-01-28,-1.9549,-0.7002,-1.2546
2020-01-27,-1.8307,-0.7511,-1.0795
2020-01-24,-1.5712,-0.6795,-0.8918
2020-01-23,-1.3659,-0.6440,-0.7219
2020-01-22,-1.2112,-0.6503,-0.5609
2020-01-21,-0.9757,-0.5774,-0.3983
2020-01-17,-0.7028,-0.4488,-0.2540
2020-01-16,-0.5753,-0.4336,-0.1418
2020-01-15,-0.5376,-0.5043,-0.0334
