time,RSI
2020-05-06,55.7827
2020-05-05,62.5071
2020-05-04,60.3085
2020-05-01,57.1923
2020-04-30,62.8793
2020-04-29,69.2191
2020-04-28,63.2191
2020-04-27,62.9430
2020-04-24,59.2248
2020-04-23,58.9364
2020-04-22,55.7722
2020-04-21,51.8069
2020-04-20,54.8580
2020-04-17,60.8769
2020-04-16,51.2823
2020-04-15,55.5515
2020-04-14,59.3205
2020-04-13,59.8375
2020-04-09,59.1974
2020-04-08,61.6593
2020-04-07,56.7549
2020-04-06,56.2271
2020-04-03,50.8481
2020-04-02,51.9471
2020-04-01,43.7584
2020-03-31,47.5180
2020-03-30,46.9819
2020-03-27,43.7686
2020-03-26,50.3535
2020-03-25,43.1524
2020-03-24,40.1642
2020-03-23,23.8291
2020-03-20,26.5660
2020-03-19,23.5072
2020-03-18,19.9982
2020-03-17,27.6198
2020-03-16,26.0134
2020-03-13,35.9707
2020-03-12,21.9362
2020-03-11,26.9661
2020-03-10,28.6702
2020-03-09,18.4138
2020-03-06,32.8744
2020-03-05,36.1343
2020-03-04,38.6030
2020-03-03,24.2036
2020-03-02,27.2614
2020-02-28,12.5769
2020-02-27,13.1581
2020-02-26,16.5681
2020-02-25,19.7070
2020-02-24,26.4679
2020-02-21,39.6181
2020-02-20,43.2131
2020-02-19,47.7459
2020-02-18,44.9519
2020-02-14,44.0909
2020-02-13,51.2090
2020-02-12,53.0633
2020-02-11,49.4662
2020-02-10,42.7053
2020-02-07,38.2549
2020-02-06,40.0674
2020-02-05,42.6814
2020-02-04,23.0685
2020-02-03,18.9191
2020-01-31,20.4142
2020-01-30,31.5190
2020-01-29,22.3245
2020-01-28,24.4783
2020-01-27,17.5063
2020-01-24,20.9951
2020-01-23,24.8040
2020-01-22,22.7869
2020-01-21,23.9733
2020-01-17,32.3726
2020-01-16,39.5739
2020-01-15,31.6331
2020-01-14,32.4927
2020-01-13,34.2675
2020-01-10,32.2316
2020-01-09,37.2866
2020-01-08,38.2451
2020-01-07,45.8363
2020-01-06,57.4592
2020-01-03,61.1762
2020-01-02,65.0561
2019-12-31,60.0626
2019-12-30,56.0032
2019-12-27,59.7286
2019-12-26,62.2116
2019-12-24,60.9453
2019-12-23,60.8999
2019-12-20,58.0497
2019-12-19,50.2698
2019-12-18,52.6511
2019-12-17,52.9197
2019-12-16,56.8897
2019-12-13,50.7662
2019-12-12,55.0380
2019-12-11,41.6178
2019-12-10,50.3141
2019-12-09,46.7552
2019-12-06,50.6874
2019-12-05,39.9285
2019-12-04,42.9939
2019-12-03,35.2989
2019-12-02,39.4528
2019-11-29,41.0286
2019-11-27,45.7090
2019-11-26,43.9963
2019-11-25,46.7959
2019-11-22,47.9597
2019-11-21,48.5685
2019-11-20,41.7740
2019-11-19,37.1210
2019-11-18,44.7081
2019-11-15,54.7271
