time,SMA
2020-05-06,87.1490
2020-05-05,86.6925
2020-05-04,86.0675
2020-05-01,85.2510
2020-04-30,84.5850
2020-04-29,83.4130
2020-04-28,82.3050
2020-04-27,81.4070
2020-04-24,80.3605
2020-04-23,79.8290
2020-04-22,78.9525
2020-04-21,78.0580
2020-04-20,76.6870
2020-04-17,75.4780
2020-04-16,73.9890
2020-04-15,72.7420
2020-04-14,72.1520
2020-04-13,71.4065
2020-04-09,71.3320
2020-04-08,70.9295
2020-04-07,70.7820
2020-04-06,70.9850
2020-04-03,70.9990
2020-04-02,72.0095
2020-04-01,73.0630
2020-03-31,74.5615
2020-03-30,75.6580
2020-03-27,76.8900
2020-03-26,78.1180
2020-03-25,79.0055
2020-03-24,80.4440
2020-03-23,82.1520
2020-03-20,84.6765
2020-03-19,87.1575
2020-03-18,89.7785
2020-03-17,92.5630
2020-03-16,94.5405
2020-03-13,96.5595
2020-03-12,97.9715
2020-03-11,99.7605
2020-03-10,101.1695
2020-03-09,102.4100
2020-03-06,103.8235
2020-03-05,104.5320
2020-03-04,105.1865
2020-03-03,105.6025
2020-03-02,106.1970
2020-02-28,106.7245
2020-02-27,107.6275
2020-02-26,108.4395
2020-02-25,109.0935
2020-02-24,109.5775
2020-02-21,109.9345
2020-02-20,110.1390
2020-02-19,110.2935
2020-02-18,110.4220
2020-02-14,110.6890
2020-02-13,111.0295
2020-02-12,111.2530
2020-02-11,111.4660
2020-02-10,111.7385
2020-02-07,112.0710
2020-02-06,112.4995
2020-02-05,112.9100
2020-02-04,113.3490
2020-02-03,114.0365
2020-01-31,114.7730
2020-01-30,115.4875
2020-01-29,115.9430
2020-01-28,116.4170
2020-01-27,116.8760
2020-01-24,117.3865
2020-01-23,117.8110
2020-01-22,118.1725
2020-01-21,118.5115
2020-01-17,118.7525
2020-01-16,118.9010
2020-01-15,118.9865
2020-01-14,119.1480
2020-01-13,119.2310
2020-01-10,119.3385
2020-01-09,119.3280
2020-01-08,119.3470
2020-01-07,119.3270
2020-01-06,119.2745
2020-01-03,119.0610
2020-01-02,118.8575
2019-12-31,118.5805
2019-12-30,118.3950
2019-12-27,118.2590
2019-12-26,118.1475
2019-12-24,118.0070
2019-12-23,117.9090
2019-12-20,117.8240
2019-12-19,117.7785
2019-12-18,117.7390
2019-12-17,117.6340
2019-12-16,117.6315
2019-12-13,117.6955
2019-12-12,117.8955
2019-12-11,118.0690
2019-12-10,118.3055
2019-12-09,118.4515
2019-12-06,118.6330
2019-12-05,118.8270
2019-12-04,119.0055
2019-12-03,119.2555
2019-12-02,119.5395
2019-11-29,119.5100
2019-11-27,119.4605
2019-11-26,119.3750
2019-11-25,119.3920
2019-11-22,119.3970
2019-11-21,119.3990
2019-11-20,119.3395
2019-11-19,119.3715
2019-11-18,119.4390
2019-11-15,119.3420
2019-11-14,119.0470
2019-11-13,118.7165
2019-11-12,118.3580
2019-11-11,118.1255
2019-11-08,117.8940
2019-11-07,117.6550
2019-11-06,117.2900
2019-11-05,116.9520
2019-11-04,116.4405
2019-11-01,116.0250
2019-10-31,115.9070
2019-10-30,115.7575
2019-10-29,115.5540
2019-10-28,115.4480
2019-10-25,115.4540
2019-10-24,115.4505
2019-10-23,115.5795
2019-10-22,115.8560
2019-10-21,116.1530
2019-10-18,116.5675
2019-10-17,117.0465
2019-10-16,117.4620
2019-10-15,117.9155
2019-10-14,118.2945
2019-10-11,118.6915
2019-10-10,118.9590
2019-10-09,119.3005
2019-10-08,119.7075
2019-10-07,120.2145
2019-10-04,120.5210
2019-10-03,120.7415
2019-10-02,120.9660
2019-10-01,121.2140
2019-09-30,121.2270
2019-09-27,121.1830
2019-09-26,121.1290
2019-09-25,120.9625
2019-09-24,120.5785
2019-09-23,120.1785
2019-09-20,119.6925
2019-09-19,119.3630
2019-09-18,119.0740
2019-09-17,118.6715
2019-09-16,118.3425
2019-09-13,117.9270
2019-09-12,117.6995
2019-09-11,117.5155
2019-09-10,117.5710
2019-09-09,117.5560
2019-09-06,117.7075
2019-09-05,117.9560
2019-09-04,118.0290
2019-09-03,118.1355
2019-08-30,118.2590
2019-08-29,118.4095
2019-08-28,118.5705
2019-08-27,118.8845
2019-08-26,119.3100
2019-08-23,119.7345
2019-08-22,120.1615
2019-08-21,120.5565
2019-08-20,120.9895
2019-08-19,121.4740
2019-08-16,121.8740
2019-08-15,122.3355
2019-08-14,122.7220
2019-08-13,123.0420
2019-08-12,123.1605
2019-08-09,123.3690
2019-08-08,123.5470
2019-08-07,123.6570
2019-08-06,123.9740
2019-08-05,124.1725
2019-08-02,124.4155
2019-08-01,124.5560
2019-07-31,124.6865
2019-07-30,124.6775
2019-07-29,124.7025
2019-07-26,124.7130
2019-07-25,124.6825
2019-07-24,124.5975
2019-07-23,124.4525
2019-07-22,124.4070
2019-07-19,124.3880
2019-07-18,124.3500
2019-07-17,124.2605
2019-07-16,124.2000
2019-07-15,124.0315
2019-07-12,123.7860
2019-07-11,123.5325
2019-07-10,123.2705
2019-07-09,123.0570
2019-07-08,123.0040
2019-07-05,122.8980
2019-07-03,122.7550
2019-07-02,122.4700
2019-07-01,122.1885
2019-06-28,121.7460
2019-06-27,121.2165
2019-06-26,120.8300
2019-06-25,120.4720
2019-06-24,120.2055
2019-06-21,119.8955
2019-06-20,119.5425
2019-06-19,119.3570
2019-06-18,119.2795
2019-06-17,119.1750
2019-06-14,119.1315
2019-06-13,119.1310
2019-06-12,119.1925
2019-06-11,119.2650
2019-06-10,119.2285
2019-06-07,119.2135
2019-06-06,119.1990
2019-06-05,119.0400
2019-06-04,119.0710
2019-06-03,119.1260
2019-05-31,119.1900
2019-05-30,119.3165
2019-05-29,119.4380
2019-05-28,119.6025
2019-05-24,119.5730
2019-05-23,119.4925
2019-05-22,119.4940
2019-05-21,119.3795
2019-05-20,119.4135
2019-05-17,119.4665
2019-05-16,119.4335
2019-05-15,119.4070
2019-05-14,119.3585
2019-05-13,119.2835
2019-05-10,119.2495
2019-05-09,119.4495
2019-05-08,119.6645
2019-05-07,120.0665
2019-05-06,120.4870
2019-05-03,120.8880
2019-05-02,121.2645
2019-05-01,121.6400
2019-04-30,121.9960
2019-04-29,122.2400
2019-04-26,122.5130
2019-04-25,122.8090
2019-04-24,123.0535
2019-04-23,123.3460
2019-04-22,123.3895
2019-04-18,123.4490
2019-04-17,123.7490
2019-04-16,123.9700
2019-04-15,124.1755
2019-04-12,124.4625
2019-04-11,124.7400
2019-04-10,124.6705
2019-04-09,124.6295
2019-04-08,124.5475
2019-04-05,124.3945
2019-04-04,124.1545
2019-04-03,124.0115
2019-04-02,123.9935
2019-04-01,123.9115
2019-03-29,123.7705
2019-03-28,123.7130
2019-03-27,123.5410
2019-03-26,123.4055
2019-03-25,123.1960
2019-03-22,123.0325
2019-03-21,122.8475
