time,MACD,MACD_Hist,MACD_Signal
2020-04-30,-0.1005,0.2686,-0.3690
2020-04-29,-0.1229,0.3133,-0.4362
2020-04-28,-0.2220,0.2925,-0.5145
2020-04-27,-0.2964,0.2913,-0.5876
2020-04-24,-0.3198,0.3407,-0.6605
2020-04-23,-0.3053,0.4403,-0.7456
2020-04-22,-0.3843,0.4714,-0.8557
2020-04-20,-0.4560,0.5176,-0.9736
2020-04-17,-0.5562,0.5467,-1.1029
2020-04-16,-0.7218,0.5178,-1.2396
2020-04-15,-0.8494,0.5197,-1.3691
2020-04-14,-0.9724,0.5266,-1.4990
2020-04-13,-1.1407,0.4899,-1.6306
2020-04-09,-1.3053,0.4478,-1.7531
2020-04-08,-1.4425,0.4226,-1.8651
2020-04-07,-1.6322,0.3385,-1.9707
2020-04-06,-1.7763,0.2790,-2.0554
2020-04-03,-1.8713,0.2539,-2.1251
2020-04-02,-1.9276,0.2610,-2.1886
2020-04-01,-2.0437,0.2102,-2.2538
2020-03-31,-2.1143,0.1921,-2.3064
2020-03-30,-2.2226,0.1318,-2.3544
2020-03-27,-2.3009,0.0864,-2.3874
2020-03-26,-2.4000,0.0089,-2.4090
2020-03-25,-2.5762,-0.1650,-2.4112
2020-03-24,-2.7217,-0.3518,-2.3700
2020-03-23,-2.7661,-0.4841,-2.2820
2020-03-20,-2.6930,-0.5320,-2.1610
2020-03-19,-2.6225,-0.5946,-2.0280
2020-03-18,-2.5291,-0.6498,-1.8793
2020-03-17,-2.3649,-0.6480,-1.7169
2020-03-16,-2.2543,-0.6994,-1.5549
2020-03-13,-2.0671,-0.6871,-1.3801
2020-03-12,-1.9774,-0.7691,-1.2083
2020-03-11,-1.6457,-0.6297,-1.0160
2020-03-10,-1.4112,-0.5526,-0.8586
2020-03-09,-1.2593,-0.5389,-0.7205
2020-03-06,-0.9362,-0.3505,-0.5857
2020-03-05,-0.8054,-0.3073,-0.4981
2020-03-04,-0.7572,-0.3359,-0.4213
2020-03-03,-0.7762,-0.4388,-0.3373
2020-03-02,-0.7005,-0.4729,-0.2276
2020-02-28,-0.5786,-0.4692,-0.1094
2020-02-27,-0.3758,-0.3837,0.0079
2020-02-21,-0.1277,-0.2316,0.1038
2020-02-20,-0.0140,-0.1757,0.1617
2020-02-19,0.0877,-0.1180,0.2056
2020-02-18,0.1245,-0.1107,0.2351
2020-02-17,0.1605,-0.1024,0.2628
2020-02-14,0.1858,-0.1027,0.2884
2020-02-13,0.2357,-0.0784,0.3141
2020-02-12,0.2268,-0.1069,0.3337
2020-02-11,0.2019,-0.1585,0.3604
2020-02-10,0.1866,-0.2134,0.4000
2020-02-07,0.2824,-0.1710,0.4534
2020-02-06,0.3680,-0.1281,0.4961
2020-02-05,0.3712,-0.1570,0.5281
2020-02-04,0.3535,-0.2139,0.5674
