time,MACD,MACD_Hist,MACD_Signal
2020-05-04,29.6466,10.5909,19.0557
2020-05-01,28.1632,11.7552,16.4080
2020-04-30,26.4905,13.0213,13.4692
2020-04-29,21.1142,10.9004,10.2138
2020-04-28,14.6761,7.1874,7.4887
2020-04-27,17.2222,11.5303,5.6919
2020-04-24,15.9238,13.1145,2.8093
2020-04-23,13.6856,14.1549,-0.4693
2020-04-22,10.9353,14.9433,-4.0080
2020-04-21,8.5996,16.3435,-7.7439
2020-04-20,10.2656,22.0954,-11.8297
2020-04-17,7.1243,24.4779,-17.3536
2020-04-16,1.3170,24.7901,-23.4731
2020-04-15,-4.1004,25.5702,-29.6706
2020-04-14,-10.8536,25.2095,-36.0631
2020-04-13,-20.0035,22.3620,-42.3655
2020-04-09,-26.1302,21.8258,-47.9560
2020-04-08,-32.9480,20.4645,-53.4124
2020-04-07,-41.0515,17.4770,-58.5285
2020-04-06,-48.3772,14.5206,-62.8978
2020-04-03,-57.0656,9.4623,-66.5280
2020-04-02,-58.2592,10.6343,-68.8935
2020-04-01,-61.2730,10.2791,-71.5521
2020-03-31,-62.6788,11.4431,-74.1219
2020-03-30,-69.3844,7.5983,-76.9827
2020-03-27,-75.3058,3.5765,-78.8823
2020-03-26,-78.0917,1.6847,-79.7764
2020-03-25,-85.7085,-5.5109,-80.1976
2020-03-24,-88.1499,-9.3300,-78.8198
2020-03-23,-93.2389,-16.7515,-76.4873
2020-03-20,-90.4525,-18.1531,-72.2994
2020-03-19,-87.1791,-19.4179,-67.7611
2020-03-18,-86.1080,-23.2013,-62.9067
2020-03-17,-81.6058,-24.4995,-57.1063
2020-03-16,-77.0142,-26.0328,-50.9815
2020-03-13,-66.4220,-21.9487,-44.4733
2020-03-12,-65.7225,-26.7364,-38.9861
2020-03-11,-53.2011,-20.8991,-32.3020
2020-03-10,-46.6781,-19.6009,-27.0772
2020-03-09,-44.2897,-22.1127,-22.1770
2020-03-06,-33.9961,-17.3473,-16.6488
2020-03-05,-28.7988,-16.4869,-12.3120
2020-03-04,-23.8469,-15.6566,-8.1903
2020-03-03,-24.0502,-19.7741,-4.2761
2020-03-02,-19.3648,-20.0322,0.6674
2020-02-28,-17.9617,-23.6372,5.6755
2020-02-27,-10.8410,-22.4258,11.5848
2020-02-26,0.5678,-16.6234,17.1912
2020-02-25,7.4759,-13.8711,21.3470
2020-02-24,16.6660,-8.1488,24.8148
2020-02-21,24.7792,-2.0728,26.8520
2020-02-20,28.3067,0.9365,27.3702
2020-02-19,29.0333,1.8972,27.1361
2020-02-18,28.6689,2.0071,26.6618
2020-02-14,28.5015,2.3414,26.1600
2020-02-13,27.7643,2.1896,25.5747
2020-02-12,27.0386,2.0113,25.0273
2020-02-11,25.3514,0.8270,24.5244
2020-02-10,23.7946,-0.5231,24.3177
2020-02-07,21.4725,-2.9760,24.4485
2020-02-06,21.1949,-3.9975,25.1924
2020-02-05,20.8378,-5.3541,26.1918
2020-02-04,22.9298,-4.6006,27.5303
2020-02-03,25.3845,-3.2960,28.6805
2020-01-31,24.1907,-5.3138,29.5045
2020-01-30,27.5802,-3.2528,30.8329
2020-01-29,29.3049,-2.3412,31.6461
2020-01-28,30.7959,-1.4355,32.2314
2020-01-27,32.8691,0.2788,32.5903
2020-01-24,36.9371,4.4166,32.5206
2020-01-23,38.2515,6.8350,31.4164
2020-01-22,37.3424,7.6347,29.7077
2020-01-21,35.7102,7.9112,27.7990
2020-01-17,33.2653,7.4441,25.8212
2020-01-16,30.0692,6.1090,23.9602
2020-01-15,28.4735,6.0406,22.4329
2020-01-14,27.2955,6.3727,20.9228
2020-01-13,26.2420,6.9123,19.3296
2020-01-10,23.6654,6.0638,17.6016
2020-01-09,20.9998,4.9142,16.0856
2020-01-08,18.3001,3.4431,14.8570
2020-01-07,16.1674,2.1711,13.9963
2020-01-06,14.3280,0.8745,13.4535
2020-01-03,11.6833,-1.5516,13.2349
2020-01-02,11.5537,-2.0691,13.6228
2019-12-31,10.5371,-3.6029,14.1400
2019-12-30,12.1764,-2.8643,15.0407
2019-12-27,14.1813,-1.5755,15.7568
2019-12-26,14.9303,-1.2204,16.1507
2019-12-24,14.8028,-1.6531,16.4558
2019-12-23,16.1392,-0.7299,16.8691
2019-12-20,17.0727,0.0211,17.0515
2019-12-19,17.9394,0.8931,17.0463
2019-12-18,18.1280,1.3050,16.8230
2019-12-17,18.4533,1.9566,16.4967
2019-12-16,18.3455,2.3379,16.0076
2019-12-13,17.3250,1.9019,15.4231
2019-12-12,17.1288,2.1812,14.9476
2019-12-11,16.3808,1.9786,14.4023
2019-12-10,15.7224,1.8148,13.9077
2019-12-09,14.6900,1.2360,13.4540
2019-12-06,13.2705,0.1256,13.1450
2019-12-05,11.5651,-1.5485,13.1136
2019-12-04,10.4919,-3.0088,13.5007
2019-12-03,9.7423,-4.5106,14.2529
2019-12-02,11.2157,-4.1649,15.3805
2019-11-29,13.4789,-2.9429,16.4218
2019-11-27,14.6402,-2.5173,17.1575
2019-11-26,15.0919,-2.6950,17.7868
2019-11-25,15.3918,-3.0687,18.4606
2019-11-22,16.2493,-2.9784,19.2277
