time,RSI
2020-05-04,61.1953
2020-05-01,60.3391
2020-04-30,66.3057
2020-04-29,65.5202
2020-04-28,49.6628
2020-04-27,59.2675
2020-04-24,60.1178
2020-04-23,59.6622
2020-04-22,57.7663
2020-04-21,50.2346
2020-04-20,60.6804
2020-04-17,64.6876
2020-04-16,62.0031
2020-04-15,61.8712
2020-04-14,63.2060
2020-04-13,56.7940
2020-04-09,55.9775
2020-04-08,55.8337
2020-04-07,53.0275
2020-04-06,53.0798
2020-04-03,41.8602
2020-04-02,44.3197
2020-04-01,42.2970
2020-03-31,48.2209
2020-03-30,46.3294
2020-03-27,42.0251
2020-03-26,46.7997
2020-03-25,39.6329
2020-03-24,42.4066
2020-03-23,31.9739
2020-03-20,33.0611
2020-03-19,36.0831
2020-03-18,33.7374
2020-03-17,35.1829
2020-03-16,31.0847
2020-03-13,39.7107
2020-03-12,25.2603
2020-03-11,31.8471
2020-03-10,37.5439
2020-03-09,25.5926
2020-03-06,32.8148
2020-03-05,35.0302
2020-03-04,43.7192
2020-03-03,33.8418
2020-03-02,40.6272
2020-02-28,26.8588
2020-02-27,19.7087
2020-02-26,28.6065
2020-02-25,26.7312
2020-02-24,32.0376
2020-02-21,48.7218
2020-02-20,64.4289
2020-02-19,69.6524
2020-02-18,67.7160
2020-02-14,68.3140
2020-02-13,66.8154
2020-02-12,68.5478
2020-02-11,66.4946
2020-02-10,66.4718
2020-02-07,59.8763
2020-02-06,59.1394
2020-02-05,51.6858
2020-02-04,51.3550
2020-02-03,64.7214
2020-01-31,48.7507
2020-01-30,58.7548
2020-01-29,60.1901
2020-01-28,58.1903
2020-01-27,51.4417
2020-01-24,69.0893
2020-01-23,85.0479
2020-01-22,84.9379
2020-01-21,84.7140
2020-01-17,84.1658
2020-01-16,79.4117
2020-01-15,76.6643
2020-01-14,74.6368
2020-01-13,80.9929
2020-01-10,79.1771
2020-01-09,77.1278
2020-01-08,73.4426
2020-01-07,70.4043
2020-01-06,70.9834
2020-01-03,59.3904
2020-01-02,63.9924
2019-12-31,47.4005
2019-12-30,46.7603
2019-12-27,58.1631
2019-12-26,65.9883
2019-12-24,55.2709
2019-12-23,60.6652
2019-12-20,61.4317
2019-12-19,68.0903
2019-12-18,66.3497
2019-12-17,68.8194
2019-12-16,74.8907
2019-12-13,69.5619
2019-12-12,72.0801
