time,SMA
2020-05-06,1278.2500
2020-05-05,1270.2105
2020-05-04,1262.0010
2020-05-01,1250.5550
2020-04-30,1240.5665
2020-04-29,1228.4145
2020-04-28,1219.4810
2020-04-27,1215.1385
2020-04-24,1206.8800
2020-04-23,1201.0020
2020-04-22,1192.3110
2020-04-21,1185.8735
2020-04-20,1177.8875
2020-04-17,1168.1730
2020-04-16,1159.7750
2020-04-15,1151.4415
2020-04-14,1144.3080
2020-04-13,1135.0630
2020-04-09,1135.1715
2020-04-08,1130.3445
2020-04-07,1130.6010
2020-04-06,1135.2950
2020-04-03,1136.7270
2020-04-02,1146.7535
2020-04-01,1156.6635
2020-03-31,1170.7085
2020-03-30,1179.6375
2020-03-27,1191.7520
2020-03-26,1203.1830
2020-03-25,1211.0000
2020-03-24,1225.5345
2020-03-23,1238.2340
2020-03-20,1256.4825
2020-03-19,1277.1220
2020-03-18,1297.2650
2020-03-17,1318.7595
2020-03-16,1338.7530
2020-03-13,1360.5735
2020-03-12,1375.3200
2020-03-11,1395.4880
2020-03-10,1410.1570
2020-03-09,1421.5715
2020-03-06,1434.7550
2020-03-05,1443.6460
2020-03-04,1450.1055
2020-03-03,1453.1330
2020-03-02,1460.3605
2020-02-28,1462.6165
2020-02-27,1468.4420
2020-02-26,1475.4690
2020-02-25,1478.4380
2020-02-24,1480.7105
2020-02-21,1482.9665
2020-02-20,1483.0435
2020-02-19,1481.4335
2020-02-18,1479.3190
2020-02-14,1477.3550
2020-02-13,1473.9030
2020-02-12,1470.1300
2020-02-11,1465.7605
2020-02-10,1462.2825
2020-02-07,1458.3350
2020-02-06,1455.3650
2020-02-05,1451.7695
2020-02-04,1449.0250
2020-02-03,1446.3820
2020-01-31,1440.1180
2020-01-30,1436.7750
2020-01-29,1430.8340
2020-01-28,1424.7095
2020-01-27,1419.6760
2020-01-24,1416.0010
2020-01-23,1409.8435
2020-01-22,1402.9530
2020-01-21,1396.1350
2020-01-17,1389.7170
2020-01-16,1383.3285
2020-01-15,1378.4995
2020-01-14,1374.5980
2020-01-13,1370.4455
2020-01-10,1365.9975
2020-01-09,1361.7620
2020-01-08,1358.0035
2020-01-07,1354.9655
2020-01-06,1352.3295
2020-01-03,1349.0255
2020-01-02,1347.0195
2019-12-31,1343.4150
2019-12-30,1341.0600
2019-12-27,1339.5010
2019-12-26,1337.5560
2019-12-24,1335.2135
2019-12-23,1333.3700
2019-12-20,1330.6950
2019-12-19,1328.2830
2019-12-18,1325.6335
2019-12-17,1323.7755
2019-12-16,1322.0545
2019-12-13,1320.7395
2019-12-12,1318.9210
2019-12-11,1316.3075
2019-12-10,1313.9965
2019-12-09,1311.7230
2019-12-06,1310.1135
2019-12-05,1308.5255
2019-12-04,1306.7090
2019-12-03,1305.2835
2019-12-02,1305.0880
2019-11-29,1304.2790
2019-11-27,1302.0365
2019-11-26,1299.4515
2019-11-25,1296.9050
2019-11-22,1296.0705
2019-11-21,1294.5600
2019-11-20,1292.5420
2019-11-19,1290.3460
2019-11-18,1286.7130
2019-11-15,1282.9855
2019-11-14,1278.5165
2019-11-13,1275.5970
2019-11-12,1272.8790
2019-11-11,1270.0895
2019-11-08,1265.9870
2019-11-07,1261.1910
2019-11-06,1256.1815
2019-11-05,1251.7070
2019-11-04,1246.5620
2019-11-01,1242.3775
2019-10-31,1239.1405
2019-10-30,1235.5265
2019-10-29,1231.2935
2019-10-28,1228.4175
2019-10-25,1224.8675
2019-10-24,1222.8655
2019-10-23,1221.8855
2019-10-22,1221.2550
2019-10-21,1220.0530
2019-10-18,1219.4470
2019-10-17,1218.6690
2019-10-16,1217.9510
2019-10-15,1217.3895
2019-10-14,1216.6965
2019-10-11,1217.4045
2019-10-10,1218.6100
2019-10-09,1219.8890
2019-10-08,1220.7820
2019-10-07,1221.6255
2019-10-04,1221.4620
2019-10-03,1221.2585
2019-10-02,1222.4360
2019-10-01,1222.6750
2019-09-30,1220.8395
2019-09-27,1219.2945
2019-09-26,1217.6825
2019-09-25,1214.1640
2019-09-24,1210.2300
2019-09-23,1207.7365
2019-09-20,1203.5995
2019-09-19,1201.5795
2019-09-18,1199.2065
2019-09-17,1196.7205
2019-09-16,1195.1855
2019-09-13,1192.5005
2019-09-12,1188.8855
