time,MACD,MACD_Hist,MACD_Signal
2020-05-04,2.0553,0.4312,1.6241
2020-05-01,2.3041,0.7878,1.5163
2020-04-30,2.5687,1.2494,1.3194
2020-04-29,2.4934,1.4864,1.0070
2020-04-28,2.0424,1.4070,0.6354
2020-04-27,1.6834,1.3998,0.2837
2020-04-24,1.2364,1.3027,-0.0663
2020-04-23,0.7700,1.1619,-0.3919
2020-04-22,0.5066,1.1890,-0.6824
2020-04-21,0.3708,1.3505,-0.9797
2020-04-20,0.4517,1.7690,-1.3173
2020-04-17,0.1768,1.9363,-1.7596
2020-04-16,-0.1472,2.0964,-2.2437
2020-04-15,-0.1116,2.6562,-2.7678
2020-04-14,-0.3659,3.0659,-3.4318
2020-04-13,-1.2167,2.9816,-4.1983
2020-04-09,-2.0038,2.9398,-4.9437
2020-04-08,-3.0150,2.6636,-5.6786
2020-04-07,-4.0368,2.3077,-6.3445
2020-04-06,-4.8394,2.0821,-6.9215
2020-04-03,-5.7811,1.6609,-7.4420
2020-04-02,-6.0355,1.8217,-7.8572
2020-04-01,-6.6452,1.6674,-8.3126
2020-03-31,-6.8319,1.8976,-8.7295
2020-03-30,-7.5603,1.6436,-9.2039
2020-03-27,-8.5836,1.0312,-9.6148
2020-03-26,-9.2661,0.6065,-9.8726
2020-03-25,-10.4971,-0.4729,-10.0242
2020-03-24,-11.1990,-1.2930,-9.9060
2020-03-23,-11.8942,-2.3115,-9.5827
2020-03-20,-11.5180,-2.5132,-9.0049
2020-03-19,-10.9336,-2.5570,-8.3766
2020-03-18,-10.5325,-2.7952,-7.7373
2020-03-17,-10.1943,-3.1557,-7.0385
2020-03-16,-9.9299,-3.6803,-6.2496
2020-03-13,-8.6772,-3.3477,-5.3295
2020-03-12,-7.8553,-3.3628,-4.4926
2020-03-11,-6.1687,-2.5168,-3.6519
2020-03-10,-5.4697,-2.4470,-3.0227
2020-03-09,-5.1904,-2.7795,-2.4109
2020-03-06,-4.0497,-2.3337,-1.7161
2020-03-05,-3.5450,-2.4123,-1.1326
2020-03-04,-3.0345,-2.5049,-0.5296
2020-03-03,-2.8142,-2.9109,0.0967
2020-03-02,-1.9505,-2.7748,0.8244
2020-02-28,-1.3695,-2.8876,1.5181
2020-02-27,-0.1855,-2.4254,2.2400
2020-02-26,1.0271,-1.8193,2.8463
2020-02-25,1.8837,-1.4174,3.3012
2020-02-24,2.7502,-0.9054,3.6555
2020-02-21,3.3354,-0.5464,3.8819
2020-02-20,3.6868,-0.3317,4.0185
2020-02-19,3.9411,-0.1603,4.1014
2020-02-18,4.2450,0.1035,4.1415
2020-02-14,4.5467,0.4311,4.1156
2020-02-13,4.9063,0.8985,4.0078
2020-02-12,4.9265,1.1433,3.7832
2020-02-11,4.7787,1.2813,3.4974
2020-02-10,4.7069,1.5299,3.1770
2020-02-07,4.4501,1.6556,2.7946
2020-02-06,4.1614,1.7808,2.3807
2020-02-05,3.3914,1.4559,1.9355
2020-02-04,2.4030,0.8315,1.5715
2020-02-03,1.8415,0.4779,1.3636
2020-01-31,1.3874,0.1432,1.2442
2020-01-30,1.0461,-0.1623,1.2084
2020-01-29,1.3039,0.0550,1.2489
2020-01-28,1.5204,0.2852,1.2352
2020-01-27,1.5852,0.4213,1.1639
2020-01-24,1.7395,0.6810,1.0586
2020-01-23,1.7137,0.8254,0.8883
2020-01-22,1.4206,0.7386,0.6820
2020-01-21,0.9220,0.4246,0.4973
2020-01-17,0.7527,0.3615,0.3911
2020-01-16,0.6133,0.3125,0.3008
2020-01-15,0.4600,0.2374,0.2226
2020-01-14,0.3961,0.2329,0.1633
2020-01-13,0.3903,0.2853,0.1051
2020-01-10,0.2978,0.2641,0.0338
2020-01-09,0.1663,0.1985,-0.0323
2020-01-08,-0.0092,0.0727,-0.0819
2020-01-07,-0.0874,0.0127,-0.1001
2020-01-06,-0.0718,0.0314,-0.1032
2020-01-03,-0.0418,0.0693,-0.1111
2020-01-02,-0.0274,0.1010,-0.1284
2019-12-31,-0.1185,0.0352,-0.1537
2019-12-30,-0.0925,0.0700,-0.1625
2019-12-27,0.0672,0.2472,-0.1800
2019-12-26,0.0197,0.2614,-0.2418
2019-12-24,-0.0047,0.3024,-0.3071
2019-12-23,-0.0429,0.3398,-0.3827
2019-12-20,-0.1490,0.3187,-0.4677
2019-12-19,-0.2863,0.2610,-0.5473
2019-12-18,-0.3526,0.2600,-0.6126
2019-12-17,-0.4168,0.2608,-0.6776
2019-12-16,-0.4733,0.2695,-0.7428
2019-12-13,-0.5294,0.2807,-0.8101
2019-12-12,-0.6014,0.2789,-0.8803
2019-12-11,-0.7976,0.1524,-0.9500
2019-12-10,-0.8776,0.1105,-0.9881
2019-12-09,-0.9822,0.0335,-1.0158
2019-12-06,-1.1025,-0.0783,-1.0242
2019-12-05,-1.1687,-0.1641,-1.0046
2019-12-04,-1.1028,-0.1392,-0.9636
2019-12-03,-1.0107,-0.0820,-0.9288
2019-12-02,-0.8918,0.0165,-0.9083
2019-11-29,-0.8075,0.1049,-0.9124
2019-11-27,-0.8449,0.0937,-0.9386
2019-11-26,-0.8111,0.1509,-0.9620
2019-11-25,-0.8906,0.1091,-0.9998
2019-11-22,-1.0688,-0.0417,-1.0270
2019-11-21,-1.1146,-0.0980,-1.0166
2019-11-20,-1.1060,-0.1139,-0.9921
2019-11-19,-1.0138,-0.0501,-0.9637
2019-11-18,-1.0157,-0.0646,-0.9511
2019-11-15,-0.9820,-0.0470,-0.9350
2019-11-14,-0.9339,-0.0106,-0.9232
2019-11-13,-0.8181,0.1024,-0.9206
2019-11-12,-0.7074,0.2388,-0.9462
2019-11-11,-0.6687,0.3371,-1.0059
2019-11-08,-0.5975,0.4927,-1.0902
2019-11-07,-0.7158,0.4976,-1.2133
2019-11-06,-0.8644,0.4733,-1.3377
2019-11-05,-1.1526,0.3035,-1.4561
2019-11-04,-1.4130,0.1189,-1.5319
2019-11-01,-1.7025,-0.1408,-1.5617
2019-10-31,-1.8292,-0.3028,-1.5265
2019-10-30,-1.7812,-0.3304,-1.4508
2019-10-29,-1.8487,-0.4805,-1.3682
2019-10-28,-1.7624,-0.5144,-1.2480
2019-10-25,-1.8455,-0.7261,-1.1194
2019-10-24,-1.8708,-0.9328,-0.9379
2019-10-23,-1.7363,-1.0316,-0.7047
2019-10-22,-1.5710,-1.1242,-0.4468
2019-10-21,-1.2944,-1.1286,-0.1658
2019-10-18,-0.7820,-0.8984,0.1164
2019-10-17,-0.2704,-0.6114,0.3410
2019-10-16,0.3693,-0.1246,0.4938
2019-10-15,0.3810,-0.1439,0.5250
2019-10-14,0.2999,-0.2611,0.5610
2019-10-11,0.2897,-0.3365,0.6262
2019-10-10,0.1992,-0.5112,0.7104
2019-10-09,0.2468,-0.5914,0.8382
2019-10-08,0.4525,-0.5335,0.9860
2019-10-07,0.8399,-0.2795,1.1194
