time,RSI
2020-05-06,54.2154
2020-05-05,53.0025
2020-05-04,51.2287
2020-05-01,51.5987
2020-04-30,59.0542
2020-04-29,66.3758
2020-04-28,63.2011
2020-04-27,62.7432
2020-04-24,61.2557
2020-04-23,56.9068
2020-04-22,54.0999
2020-04-21,50.4705
2020-04-20,56.1946
2020-04-17,55.8365
2020-04-16,50.3001
2020-04-15,54.4416
2020-04-14,62.6256
2020-04-13,59.7460
2020-04-09,60.2761
2020-04-08,58.1671
2020-04-07,53.8243
2020-04-06,53.7050
2020-04-03,44.6002
2020-04-02,48.2893
2020-04-01,42.6170
2020-03-31,48.2975
2020-03-30,50.3854
2020-03-27,45.1578
2020-03-26,49.8459
2020-03-25,41.9951
2020-03-24,41.5624
2020-03-23,27.4671
2020-03-20,27.8167
2020-03-19,30.6165
2020-03-18,32.5273
2020-03-17,34.3929
2020-03-16,24.9301
2020-03-13,29.4023
2020-03-12,22.1155
2020-03-11,30.4614
2020-03-10,35.9361
2020-03-09,23.2254
2020-03-06,31.1545
2020-03-05,33.0156
2020-03-04,38.2993
2020-03-03,26.1883
2020-03-02,31.9102
2020-02-28,19.7883
2020-02-27,22.3415
2020-02-26,30.2114
2020-02-25,33.3305
2020-02-24,42.9386
2020-02-21,52.8432
2020-02-20,57.6900
2020-02-19,56.7588
2020-02-18,57.5184
2020-02-14,56.6482
2020-02-13,67.9544
2020-02-12,71.5128
2020-02-11,68.8240
2020-02-10,71.9990
2020-02-07,70.6925
2020-02-06,82.0017
2020-02-05,81.6628
2020-02-04,74.3703
2020-02-03,70.1706
2020-01-31,65.6385
2020-01-30,45.0486
2020-01-29,48.5064
2020-01-28,56.3808
2020-01-27,52.9432
2020-01-24,62.1369
2020-01-23,76.3440
2020-01-22,83.9741
2020-01-21,72.5472
2020-01-17,68.9123
2020-01-16,67.4227
2020-01-15,60.3813
2020-01-14,55.2620
2020-01-13,62.3292
2020-01-10,63.1681
2020-01-09,63.5961
2020-01-08,55.9064
2020-01-07,48.1925
2020-01-06,47.5286
2020-01-03,49.0367
2020-01-02,56.2676
2019-12-31,47.3372
2019-12-30,37.0207
2019-12-27,57.1850
2019-12-26,53.8762
2019-12-24,54.6148
2019-12-23,60.7150
2019-12-20,61.1464
2019-12-19,53.4883
2019-12-18,52.2549
2019-12-17,50.7665
2019-12-16,50.1034
2019-12-13,50.6491
2019-12-12,58.6229
2019-12-11,48.3348
2019-12-10,49.3977
2019-12-09,49.4629
2019-12-06,44.8747
2019-12-05,34.9233
2019-12-04,35.2733
2019-12-03,35.7980
2019-12-02,38.9680
2019-11-29,46.1357
2019-11-27,41.8878
2019-11-26,48.5812
2019-11-25,53.7328
2019-11-22,43.7975
2019-11-21,40.2557
2019-11-20,35.5788
2019-11-19,41.6277
2019-11-18,40.1713
2019-11-15,40.5617
2019-11-14,38.1579
2019-11-13,39.9006
2019-11-12,44.0917
2019-11-11,43.5144
2019-11-08,52.1581
2019-11-07,52.5090
2019-11-06,57.2308
2019-11-05,54.2046
2019-11-04,53.4721
2019-11-01,45.8970
2019-10-31,38.2916
2019-10-30,42.8718
2019-10-29,36.4340
2019-10-28,42.9894
2019-10-25,40.6190
2019-10-24,34.2601
2019-10-23,35.0239
2019-10-22,33.2082
2019-10-21,27.1917
2019-10-18,29.8386
2019-10-17,30.1358
2019-10-16,51.4252
2019-10-15,55.4202
2019-10-14,51.7839
2019-10-11,54.8011
2019-10-10,48.7125
2019-10-09,42.4646
2019-10-08,36.2932
2019-10-07,46.3527
2019-10-04,54.3468
2019-10-03,49.9391
2019-10-02,48.4142
2019-10-01,57.8884
2019-09-30,68.6977
2019-09-27,60.4690
2019-09-26,62.5742
2019-09-25,61.0384
2019-09-24,54.6874
2019-09-23,56.8866
2019-09-20,56.1128
2019-09-19,61.8438
2019-09-18,59.2676
2019-09-17,59.2015
2019-09-16,60.4375
2019-09-13,65.6828
2019-09-12,65.5698
2019-09-11,65.5289
2019-09-10,71.0293
2019-09-09,66.7903
2019-09-06,62.7228
2019-09-05,64.1154
2019-09-04,53.2574
2019-09-03,46.2722
2019-08-30,50.6613
2019-08-29,48.6694
2019-08-28,41.7690
2019-08-27,35.9577
2019-08-26,31.3840
2019-08-23,29.7774
2019-08-22,39.0942
2019-08-21,38.8404
2019-08-20,34.4505
2019-08-19,38.5105
2019-08-16,34.1265
2019-08-15,27.4330
2019-08-14,24.9333
2019-08-13,31.5641
2019-08-12,22.9528
2019-08-09,26.4253
2019-08-08,33.8675
2019-08-07,29.4054
2019-08-06,32.6497
2019-08-05,32.7099
2019-08-02,51.0041
2019-08-01,66.9439
2019-07-31,59.1615
2019-07-30,70.0849
2019-07-29,79.6924
2019-07-26,84.1837
2019-07-25,82.3773
2019-07-24,81.6784
2019-07-23,84.6148
2019-07-22,83.6473
2019-07-19,83.5601
2019-07-18,83.4940
2019-07-17,68.6019
2019-07-16,72.7439
2019-07-15,72.0506
2019-07-12,70.1640
2019-07-11,64.6026
2019-07-10,61.2671
2019-07-09,55.7056
2019-07-08,64.8165
2019-07-05,71.7119
2019-07-03,73.0943
2019-07-02,68.5999
2019-07-01,67.3350
2019-06-28,58.5925
2019-06-27,63.3724
2019-06-26,63.3724
2019-06-25,62.7370
2019-06-24,69.4462
2019-06-21,68.9940
2019-06-20,67.9995
2019-06-19,62.5295
2019-06-18,60.1020
2019-06-17,54.7072
2019-06-14,55.6545
2019-06-13,58.4317
2019-06-12,55.5169
2019-06-11,60.1210
2019-06-10,56.4819
2019-06-07,51.8040
2019-06-06,47.9670
2019-06-05,45.3443
2019-06-04,48.9982
2019-06-03,30.4085
2019-05-31,23.1034
2019-05-30,28.5377
2019-05-29,28.8214
2019-05-28,30.5774
2019-05-24,35.1305
2019-05-23,35.4174
2019-05-22,48.1591
2019-05-21,48.5561
2019-05-20,42.9240
2019-05-17,39.3281
2019-05-16,44.2171
2019-05-15,37.5930
2019-05-14,32.2611
2019-05-13,21.8403
2019-05-10,30.5758
2019-05-09,30.6324
2019-05-08,39.3417
2019-05-07,37.1657
2019-05-06,49.2740
2019-05-03,48.5584
2019-05-02,45.0139
2019-05-01,49.5279
2019-04-30,48.1282
2019-04-29,42.0430
2019-04-26,43.5116
2019-04-25,39.5657
2019-04-24,44.0820
2019-04-23,45.8297
2019-04-22,38.9374
2019-04-18,43.5729
2019-04-17,37.9392
2019-04-16,68.2506
2019-04-15,62.7413
2019-04-12,66.5108
2019-04-11,64.0485
2019-04-10,60.5694
2019-04-09,55.9788
2019-04-08,65.6553
2019-04-05,65.1899
2019-04-04,63.1470
2019-04-03,69.3766
2019-04-02,67.2194
2019-04-01,69.3119
2019-03-29,61.3765
2019-03-28,55.8678
2019-03-27,52.3424
2019-03-26,58.3925
2019-03-25,53.2291
2019-03-22,54.8187
2019-03-21,68.3596
2019-03-20,60.1730
2019-03-19,67.8109
2019-03-18,66.6109
2019-03-15,63.1683
2019-03-14,60.1329
2019-03-13,59.0411
2019-03-12,57.7741
