time,MACD,MACD_Hist,MACD_Signal
2020-05-06,0.7726,-0.2070,0.9797
2020-05-05,0.8044,-0.2270,1.0314
2020-05-04,0.8770,-0.2112,1.0882
2020-05-01,1.0342,-0.1067,1.1410
2020-04-30,1.2729,0.1052,1.1677
2020-04-29,1.3034,0.1620,1.1414
2020-04-28,1.1381,0.0372,1.1009
2020-04-27,1.2211,0.1295,1.0915
2020-04-24,1.2359,0.1768,1.0592
2020-04-23,1.2583,0.2433,1.0150
2020-04-22,1.2910,0.3368,0.9541
2020-04-21,1.2059,0.3360,0.8699
2020-04-20,1.4606,0.6747,0.7859
2020-04-17,1.4774,0.8601,0.6173
2020-04-16,1.3571,0.9549,0.4022
2020-04-15,1.1401,0.9766,0.1635
2020-04-14,1.0420,1.1227,-0.0806
2020-04-13,0.7194,1.0807,-0.3613
2020-04-09,0.4968,1.1282,-0.6315
2020-04-08,0.3642,1.2777,-0.9135
2020-04-07,0.0023,1.2353,-1.2330
2020-04-06,-0.4005,1.1412,-1.5418
2020-04-03,-0.9119,0.9151,-1.8271
2020-04-02,-1.1136,0.9422,-2.0559
2020-04-01,-1.3772,0.9142,-2.2914
2020-03-31,-1.4422,1.0778,-2.5200
2020-03-30,-1.7321,1.0573,-2.7894
2020-03-27,-2.2165,0.8372,-3.0538
2020-03-26,-2.4849,0.7782,-3.2631
2020-03-25,-3.1140,0.3436,-3.4576
2020-03-24,-3.4360,0.1075,-3.5435
2020-03-23,-3.9130,-0.3426,-3.5704
2020-03-20,-4.1778,-0.6931,-3.4847
2020-03-19,-4.0732,-0.7617,-3.3115
2020-03-18,-3.8917,-0.7706,-3.1210
2020-03-17,-3.7734,-0.8450,-2.9284
2020-03-16,-3.8190,-1.1018,-2.7171
2020-03-13,-3.2647,-0.8230,-2.4417
2020-03-12,-3.5096,-1.2737,-2.2359
2020-03-11,-2.8660,-0.9485,-1.9175
2020-03-10,-2.6260,-0.9456,-1.6804
2020-03-09,-2.5176,-1.0736,-1.4440
2020-03-06,-2.0240,-0.8484,-1.1755
2020-03-05,-1.8654,-0.9020,-0.9634
2020-03-04,-1.7571,-1.0192,-0.7379
2020-03-03,-1.7684,-1.2853,-0.4832
2020-03-02,-1.4812,-1.3194,-0.1618
2020-02-28,-1.3181,-1.4861,0.1680
2020-02-27,-0.8199,-1.3594,0.5395
2020-02-26,-0.2037,-1.0830,0.8794
2020-02-25,0.1969,-0.9532,1.1502
2020-02-24,0.6972,-0.6913,1.3885
2020-02-21,1.1189,-0.4424,1.5613
2020-02-20,1.3781,-0.2938,1.6719
2020-02-19,1.5760,-0.1694,1.7453
2020-02-18,1.6366,-0.1511,1.7877
2020-02-14,1.7888,-0.0366,1.8255
2020-02-13,1.8421,0.0075,1.8346
2020-02-12,1.8661,0.0333,1.8327
2020-02-11,1.8674,0.0430,1.8244
2020-02-10,1.8471,0.0334,1.8137
2020-02-07,1.8981,0.0928,1.8053
2020-02-06,1.9733,0.1912,1.7821
2020-02-05,1.9316,0.1973,1.7343
2020-02-04,1.8248,0.1398,1.6850
2020-02-03,1.8535,0.2034,1.6500
2020-01-31,1.9689,0.3697,1.5992
2020-01-30,2.1375,0.6308,1.5067
2020-01-29,2.0631,0.7140,1.3490
2020-01-28,1.9522,0.7817,1.1705
2020-01-27,1.6826,0.7075,0.9751
2020-01-24,1.4789,0.6807,0.7982
2020-01-23,0.9144,0.2864,0.6280
2020-01-22,0.7049,0.1485,0.5565
2020-01-21,0.4874,-0.0320,0.5193
2020-01-17,0.4246,-0.1028,0.5273
2020-01-16,0.4350,-0.1181,0.5530
2020-01-15,0.4358,-0.1468,0.5825
2020-01-14,0.5038,-0.1154,0.6192
2020-01-13,0.5334,-0.1147,0.6481
2020-01-10,0.5472,-0.1296,0.6767
2020-01-09,0.6229,-0.0862,0.7091
2020-01-08,0.6739,-0.0568,0.7307
2020-01-07,0.7628,0.0179,0.7449
2020-01-06,0.8692,0.1288,0.7404
2020-01-03,0.8906,0.1824,0.7082
2020-01-02,0.8876,0.2250,0.6626
2019-12-31,0.7955,0.1892,0.6063
2019-12-30,0.7672,0.2082,0.5591
2019-12-27,0.7434,0.2363,0.5070
2019-12-26,0.6553,0.2073,0.4479
2019-12-24,0.5598,0.1637,0.3961
2019-12-23,0.4715,0.1163,0.3552
2019-12-20,0.3702,0.0441,0.3261
2019-12-19,0.2642,-0.0509,0.3151
2019-12-18,0.2257,-0.1021,0.3278
2019-12-17,0.2538,-0.0995,0.3533
2019-12-16,0.2728,-0.1054,0.3782
2019-12-13,0.2522,-0.1523,0.4045
2019-12-12,0.2132,-0.2294,0.4426
2019-12-11,0.1847,-0.3152,0.4999
2019-12-10,0.1946,-0.3842,0.5787
2019-12-09,0.2531,-0.4216,0.6748
2019-12-06,0.3303,-0.4498,0.7802
2019-12-05,0.3956,-0.4971,0.8926
2019-12-04,0.5474,-0.4695,1.0169
2019-12-03,0.7394,-0.3949,1.1343
2019-12-02,0.9685,-0.2645,1.2330
2019-11-29,1.0850,-0.2142,1.2991
2019-11-27,1.1782,-0.1745,1.3527
2019-11-26,1.2331,-0.1632,1.3963
2019-11-25,1.2457,-0.1915,1.4371
2019-11-22,1.2527,-0.2323,1.4850
2019-11-21,1.3656,-0.1775,1.5431
2019-11-20,1.4277,-0.1597,1.5874
2019-11-19,1.5189,-0.1085,1.6274
2019-11-18,1.5673,-0.0871,1.6545
2019-11-15,1.6165,-0.0597,1.6763
2019-11-14,1.6853,-0.0059,1.6912
2019-11-13,1.7639,0.0712,1.6927
2019-11-12,1.8304,0.1555,1.6749
2019-11-11,1.8571,0.2211,1.6360
2019-11-08,1.8489,0.2682,1.5807
2019-11-07,1.8196,0.3060,1.5136
2019-11-06,1.7782,0.3411,1.4372
2019-11-05,1.7453,0.3934,1.3519
2019-11-04,1.6831,0.4295,1.2535
2019-11-01,1.5730,0.4269,1.1461
2019-10-31,1.5216,0.4822,1.0394
2019-10-30,1.4319,0.5130,0.9189
2019-10-29,1.2894,0.4988,0.7906
2019-10-28,1.1153,0.4493,0.6659
2019-10-25,0.8340,0.2804,0.5536
2019-10-24,0.4934,0.0100,0.4835
2019-10-23,0.4823,0.0013,0.4810
2019-10-22,0.5129,0.0322,0.4807
2019-10-21,0.5150,0.0424,0.4726
2019-10-18,0.4980,0.0360,0.4620
2019-10-17,0.5475,0.0945,0.4530
2019-10-16,0.5518,0.1224,0.4294
2019-10-15,0.4896,0.0908,0.3988
2019-10-14,0.3823,0.0062,0.3761
2019-10-11,0.3426,-0.0319,0.3745
2019-10-10,0.2411,-0.1414,0.3825
2019-10-09,0.2078,-0.2100,0.4178
2019-10-08,0.2265,-0.2439,0.4704
2019-10-07,0.3239,-0.2074,0.5313
2019-10-04,0.3524,-0.2308,0.5832
2019-10-03,0.3531,-0.2878,0.6409
2019-10-02,0.4394,-0.2734,0.7128
2019-10-01,0.6085,-0.1727,0.7812
2019-09-30,0.6758,-0.1485,0.8244
