time,RSI
2020-05-04,48.7327
2020-05-01,47.1043
2020-04-30,54.6445
2020-04-29,61.0187
2020-04-28,52.6964
2020-04-27,55.2002
2020-04-24,54.6344
2020-04-23,54.0877
2020-04-22,57.0702
2020-04-21,47.9573
2020-04-20,56.0282
2020-04-17,59.8195
2020-04-16,61.1772
2020-04-15,57.2809
2020-04-14,62.5480
2020-04-13,58.8161
2020-04-09,55.6504
2020-04-08,60.5947
2020-04-07,59.5758
2020-04-06,59.6476
2020-04-03,52.2196
2020-04-02,52.6660
2020-04-01,48.1907
2020-03-31,52.2205
2020-03-30,54.7401
2020-03-27,49.7729
2020-03-26,55.3252
2020-03-25,48.3199
2020-03-24,50.2071
2020-03-23,45.4650
2020-03-20,38.4495
2020-03-19,38.5805
2020-03-18,40.4646
2020-03-17,43.2780
2020-03-16,34.1532
2020-03-13,46.1480
2020-03-12,24.5612
2020-03-11,32.6767
2020-03-10,36.8285
2020-03-09,25.3051
2020-03-06,34.1067
2020-03-05,36.9006
2020-03-04,41.3017
2020-03-03,29.3534
2020-03-02,34.5090
2020-02-28,19.1207
2020-02-27,19.6039
2020-02-26,27.2362
2020-02-25,27.4376
2020-02-24,33.0105
2020-02-21,43.0010
2020-02-20,48.7090
2020-02-19,59.3046
2020-02-18,54.0477
2020-02-14,62.5144
2020-02-13,63.8691
2020-02-12,64.0160
2020-02-11,63.8288
2020-02-10,60.0099
2020-02-07,58.5823
2020-02-06,64.5830
2020-02-05,66.0047
2020-02-04,60.0531
2020-02-03,56.2387
2020-01-31,54.3921
2020-01-30,67.7249
2020-01-29,67.3276
2020-01-28,72.9877
2020-01-27,69.1263
2020-01-24,88.7125
2020-01-23,78.6058
2020-01-22,76.4298
2020-01-21,64.3831
2020-01-17,55.4537
2020-01-16,56.2553
2020-01-15,48.1616
2020-01-14,54.3172
2020-01-13,56.4370
2020-01-10,49.1864
2020-01-09,53.6362
2020-01-08,49.8966
2020-01-07,49.4519
2020-01-06,61.7943
2020-01-03,64.2477
2020-01-02,76.0815
2019-12-31,69.2653
2019-12-30,67.3179
2019-12-27,75.9839
2019-12-26,74.3010
2019-12-24,71.4629
2019-12-23,70.1609
2019-12-20,68.1248
2019-12-19,59.2841
2019-12-18,49.1565
2019-12-17,51.0366
2019-12-16,57.0825
2019-12-13,58.4855
2019-12-12,55.8832
2019-12-11,50.2721
2019-12-10,43.8441
