time,SMA
2020-05-06,59.1415
2020-05-05,59.1025
2020-05-04,59.0865
2020-05-01,58.8935
2020-04-30,58.7375
2020-04-29,58.3325
2020-04-28,57.9485
2020-04-27,57.7855
2020-04-24,57.4305
2020-04-23,57.2445
2020-04-22,56.8555
2020-04-21,56.4705
2020-04-20,56.1315
2020-04-17,55.4640
2020-04-16,54.7430
2020-04-15,54.0840
2020-04-14,53.6445
2020-04-13,52.8420
2020-04-09,52.6285
2020-04-08,52.0485
2020-04-07,51.6825
2020-04-06,51.4615
2020-04-03,51.0825
2020-04-02,51.1645
2020-04-01,51.2950
2020-03-31,51.6350
2020-03-30,51.7275
2020-03-27,51.8620
2020-03-26,52.0195
2020-03-25,52.0340
2020-03-24,52.4535
2020-03-23,52.8200
2020-03-20,53.4290
2020-03-19,54.3545
2020-03-18,55.3300
2020-03-17,56.3050
2020-03-16,57.1080
2020-03-13,58.2410
2020-03-12,58.8915
2020-03-11,59.9875
2020-03-10,60.7750
2020-03-09,61.3955
2020-03-06,62.1540
2020-03-05,62.7200
2020-03-04,63.2390
2020-03-03,63.5780
2020-03-02,64.0005
2020-02-28,64.2880
2020-02-27,64.8355
2020-02-26,65.3605
2020-02-25,65.7435
2020-02-24,66.0415
2020-02-21,66.3770
2020-02-20,66.3260
2020-02-19,66.1900
2020-02-18,65.8620
2020-02-14,65.5350
2020-02-13,65.1545
2020-02-12,64.7295
2020-02-11,64.3280
2020-02-10,63.9370
2020-02-07,63.5645
2020-02-06,63.2285
2020-02-05,62.8225
2020-02-04,62.4020
2020-02-03,62.1255
2020-01-31,61.9095
2020-01-30,61.7550
2020-01-29,61.4240
2020-01-28,61.0885
2020-01-27,60.7270
2020-01-24,60.4335
2020-01-23,59.9805
2020-01-22,59.7760
2020-01-21,59.5870
2020-01-17,59.4575
2020-01-16,59.3360
2020-01-15,59.2180
2020-01-14,59.1560
2020-01-13,59.0740
2020-01-10,58.9720
2020-01-09,58.8785
2020-01-08,58.7430
2020-01-07,58.6210
2020-01-06,58.5150
2020-01-03,58.3225
2020-01-02,58.1185
2019-12-31,57.8800
2019-12-30,57.7705
2019-12-27,57.6920
2019-12-26,57.6135
2019-12-24,57.5675
2019-12-23,57.5375
2019-12-20,57.4565
2019-12-19,57.4200
2019-12-18,57.4170
2019-12-17,57.4760
2019-12-16,57.5235
2019-12-13,57.5365
2019-12-12,57.5375
2019-12-11,57.5545
2019-12-10,57.6110
2019-12-09,57.6990
2019-12-06,57.7860
2019-12-05,57.8480
2019-12-04,57.9240
2019-12-03,58.0005
2019-12-02,58.0775
2019-11-29,58.0200
2019-11-27,57.9440
2019-11-26,57.8485
2019-11-25,57.7205
2019-11-22,57.6180
2019-11-21,57.5605
2019-11-20,57.2610
2019-11-19,56.9520
2019-11-18,56.6350
2019-11-15,56.3290
2019-11-14,55.9990
2019-11-13,55.7015
2019-11-12,55.4293
2019-11-11,55.1518
2019-11-08,54.8163
2019-11-07,54.5073
2019-11-06,54.1603
2019-11-05,53.8043
2019-11-04,53.4130
2019-11-01,53.0635
2019-10-31,52.7840
2019-10-30,52.4590
2019-10-29,52.0985
2019-10-28,51.8195
2019-10-25,51.5580
2019-10-24,51.2740
2019-10-23,51.2085
2019-10-22,51.1735
2019-10-21,51.0640
2019-10-18,51.0025
2019-10-17,50.9705
2019-10-16,50.9560
2019-10-15,50.9208
2019-10-14,50.8858
2019-10-11,50.9138
2019-10-10,50.9363
2019-10-09,51.0313
2019-10-08,51.1468
2019-10-07,51.2515
2019-10-04,51.3000
2019-10-03,51.3000
2019-10-02,51.3035
2019-10-01,51.2800
2019-09-30,51.0910
2019-09-27,50.8850
2019-09-26,50.6895
2019-09-25,50.4330
2019-09-24,50.1715
2019-09-23,49.9585
2019-09-20,49.6615
2019-09-19,49.4645
2019-09-18,49.2435
2019-09-17,48.9865
2019-09-16,48.7505
2019-09-13,48.4655
2019-09-12,48.1235
2019-09-11,47.7665
2019-09-10,47.4690
2019-09-09,47.1580
2019-09-06,46.8775
2019-09-05,46.6900
2019-09-04,46.5215
2019-09-03,46.4235
2019-08-30,46.4230
2019-08-29,46.4865
2019-08-28,46.6180
2019-08-27,46.8560
2019-08-26,47.1515
2019-08-23,47.4990
2019-08-22,47.8305
2019-08-21,48.0995
2019-08-20,48.3880
2019-08-19,48.6455
2019-08-16,48.8515
2019-08-15,49.0400
2019-08-14,49.2520
2019-08-13,49.4280
2019-08-12,49.5445
2019-08-09,49.7705
2019-08-08,49.9675
2019-08-07,50.0390
2019-08-06,50.1130
2019-08-05,50.1525
2019-08-02,50.1950
2019-08-01,50.1650
2019-07-31,50.1160
2019-07-30,49.9945
2019-07-29,49.8120
2019-07-26,49.5800
2019-07-25,49.3735
2019-07-24,49.1750
2019-07-23,48.8715
2019-07-22,48.6655
2019-07-19,48.4710
2019-07-18,48.3170
2019-07-17,48.1735
2019-07-16,48.0725
2019-07-15,47.9205
2019-07-12,47.7240
2019-07-11,47.5630
2019-07-10,47.4490
2019-07-09,47.3810
2019-07-08,47.3335
2019-07-05,47.2440
2019-07-03,47.0950
2019-07-02,46.8965
2019-07-01,46.7300
2019-06-28,46.5005
2019-06-27,46.3090
2019-06-26,46.1725
2019-06-25,45.9745
2019-06-24,45.8105
2019-06-21,45.6575
2019-06-20,45.5110
2019-06-19,45.3515
2019-06-18,45.2210
2019-06-17,45.0305
2019-06-14,44.9685
2019-06-13,44.9355
2019-06-12,44.8815
2019-06-11,44.8240
2019-06-10,44.7195
2019-06-07,44.6895
2019-06-06,44.7190
2019-06-05,44.9260
2019-06-04,45.2225
2019-06-03,45.5440
2019-05-31,45.9585
2019-05-30,46.2840
2019-05-29,46.5855
2019-05-28,46.9260
2019-05-24,47.3030
2019-05-23,47.6960
2019-05-22,48.3500
2019-05-21,49.0860
2019-05-20,49.8020
2019-05-17,50.5650
2019-05-16,51.2450
2019-05-15,51.8965
2019-05-14,52.4510
2019-05-13,53.0065
2019-05-10,53.5895
2019-05-09,54.0695
2019-05-08,54.5260
2019-05-07,54.8300
2019-05-06,55.0900
2019-05-03,55.3090
2019-05-02,55.5175
2019-05-01,55.7640
2019-04-30,55.9440
2019-04-29,56.1175
2019-04-26,56.2470
2019-04-25,56.2810
2019-04-24,56.0585
2019-04-23,55.7945
2019-04-22,55.4945
2019-04-18,55.2165
2019-04-17,55.0240
2019-04-16,54.7870
2019-04-15,54.6600
2019-04-12,54.5510
2019-04-11,54.4465
2019-04-10,54.3285
2019-04-09,54.2595
2019-04-08,54.1720
2019-04-05,54.0555
2019-04-04,53.8995
2019-04-03,53.7335
2019-04-02,53.6070
2019-04-01,53.5730
2019-03-29,53.5445
2019-03-28,53.5245
2019-03-27,53.5170
2019-03-26,53.5210
2019-03-25,53.5105
2019-03-22,53.5265
2019-03-21,53.4880
2019-03-20,53.3265
2019-03-19,53.2050
2019-03-18,53.0665
2019-03-15,52.9445
2019-03-14,52.7685
2019-03-13,52.6200
2019-03-12,52.4020
2019-03-11,52.1620
2019-03-08,51.9365
2019-03-07,51.7740
2019-03-06,51.6390
2019-03-05,51.4920
2019-03-04,51.2690
2019-03-01,51.0085
2019-02-28,50.6995
2019-02-27,50.4285
2019-02-26,50.0935
2019-02-25,49.7675
2019-02-22,49.4645
2019-02-21,49.3280
2019-02-20,49.1545
2019-02-19,48.9985
2019-02-15,48.8880
2019-02-14,48.7285
2019-02-13,48.5945
2019-02-12,48.5010
2019-02-11,48.4180
2019-02-08,48.4260
2019-02-07,48.4120
2019-02-06,48.3510
2019-02-05,48.2430
2019-02-04,48.1145
2019-02-01,48.0145
2019-01-31,47.8025
2019-01-30,47.8005
2019-01-29,47.7700
2019-01-28,47.7805
2019-01-25,47.7630
2019-01-24,47.7205
2019-01-23,47.4120
2019-01-22,47.2570
2019-01-18,47.1205
2019-01-17,46.9395
2019-01-16,46.9030
2019-01-15,46.8505
2019-01-14,46.8135
2019-01-11,46.8105
2019-01-10,46.7555
2019-01-09,46.6965
2019-01-08,46.6565
2019-01-07,46.5815
2019-01-04,46.6280
2019-01-03,46.6545
2019-01-02,46.9365
2018-12-31,47.0480
2018-12-28,47.0865
2018-12-27,47.1920
2018-12-26,47.2775
2018-12-24,47.3405
2018-12-21,47.4880
2018-12-20,47.5975
2018-12-19,47.6900
2018-12-18,47.8115
2018-12-17,47.8660
2018-12-14,47.9175
2018-12-13,47.8790
2018-12-12,47.8340
2018-12-11,47.7750
2018-12-10,47.8115
2018-12-07,47.9005
2018-12-06,48.0245
2018-12-04,47.9685
2018-12-03,47.9795
2018-11-30,47.8285
2018-11-29,47.7740
2018-11-28,47.7330
2018-11-27,47.6780
2018-11-26,47.5445
2018-11-23,47.4565
2018-11-21,47.3450
2018-11-20,47.1145
2018-11-19,46.9700
2018-11-16,46.8205
2018-11-15,46.5790
2018-11-14,46.4220
2018-11-13,46.3620
2018-11-12,46.2895
2018-11-09,46.1835
2018-11-08,46.0220
2018-11-07,45.7840
2018-11-06,45.5880
2018-11-05,45.5530
2018-11-02,45.5060
2018-11-01,45.5020
2018-10-31,45.4975
2018-10-30,45.5915
2018-10-29,45.6085
2018-10-26,45.6610
2018-10-25,45.7410
2018-10-24,45.8195
2018-10-23,45.9835
2018-10-22,46.0540
2018-10-19,46.1490
2018-10-18,46.2820
2018-10-17,46.3935
2018-10-16,46.4065
2018-10-15,46.4145
2018-10-12,46.4590
2018-10-11,46.4920
2018-10-10,46.5590
2018-10-09,46.5655
2018-10-08,46.4845
2018-10-05,46.4480
2018-10-04,46.4190
2018-10-03,46.3755
2018-10-02,46.3235
2018-10-01,46.3165
2018-09-28,46.4155
2018-09-27,46.4630
2018-09-26,46.6065
2018-09-25,46.7500
2018-09-24,46.8720
2018-09-21,46.9095
2018-09-20,46.9255
2018-09-19,46.9180
2018-09-18,46.9915
2018-09-17,47.0115
2018-09-14,47.0955
2018-09-13,47.1770
2018-09-12,47.2715
2018-09-11,47.4310
2018-09-10,47.6070
2018-09-07,47.7345
2018-09-06,47.9190
2018-09-05,48.0540
2018-09-04,48.1530
2018-08-31,48.2200
2018-08-30,48.2800
2018-08-29,48.3420
2018-08-28,48.3450
2018-08-27,48.3215
2018-08-24,48.2885
2018-08-23,48.2895
2018-08-22,48.5485
2018-08-21,48.8175
2018-08-20,49.0455
2018-08-17,49.3360
2018-08-16,49.5765
2018-08-15,49.8170
2018-08-14,50.0300
2018-08-13,50.2115
2018-08-10,50.3895
2018-08-09,50.5580
2018-08-08,50.6685
2018-08-07,50.7305
2018-08-06,50.8535
2018-08-03,50.9815
2018-08-02,51.0685
2018-08-01,51.1320
2018-07-31,51.1650
2018-07-30,51.2700
2018-07-27,51.3710
2018-07-26,51.4495
2018-07-25,51.2795
2018-07-24,51.1415
2018-07-23,51.0680
2018-07-20,51.0775
2018-07-19,51.0915
2018-07-18,51.1655
2018-07-17,51.2260
2018-07-16,51.2995
2018-07-13,51.4545
2018-07-12,51.6205
2018-07-11,51.7545
2018-07-10,51.9355
2018-07-09,52.0535
2018-07-06,52.2130
2018-07-05,52.4385
2018-07-03,52.7525
2018-07-02,53.1055
2018-06-29,53.4370
2018-06-28,53.8055
2018-06-27,54.1030
2018-06-26,54.4490
2018-06-25,54.7315
2018-06-22,54.9680
2018-06-21,55.0805
2018-06-20,55.2315
2018-06-19,55.2810
2018-06-18,55.3505
2018-06-15,55.3645
2018-06-14,55.3495
2018-06-13,55.3045
2018-06-12,55.2490
2018-06-11,55.2530
2018-06-08,55.2605
2018-06-07,55.2570
2018-06-06,55.1800
2018-06-05,55.0100
2018-06-04,54.8500
2018-06-01,54.6475
2018-05-31,54.4075
2018-05-30,54.2630
2018-05-29,54.1455
2018-05-25,53.9605
2018-05-24,53.8250
2018-05-23,53.7400
2018-05-22,53.5485
2018-05-21,53.3985
2018-05-18,53.2375
2018-05-17,53.1390
2018-05-16,53.0095
2018-05-15,52.9580
2018-05-14,52.9390
2018-05-11,52.8140
2018-05-10,52.6735
2018-05-09,52.5605
2018-05-08,52.3985
2018-05-07,52.2805
2018-05-04,52.0915
2018-05-03,51.8920
2018-05-02,51.7970
2018-05-01,51.6810
2018-04-30,51.5020
2018-04-27,51.3670
2018-04-26,51.3345
2018-04-25,51.1620
2018-04-24,51.1525
2018-04-23,51.2040
2018-04-20,51.1170
2018-04-19,51.0820
2018-04-18,51.0490
2018-04-17,50.9460
2018-04-16,50.8105
2018-04-13,50.7490
2018-04-12,50.7000
2018-04-11,50.6570
2018-04-10,50.6910
2018-04-09,50.7035
2018-04-06,50.8355
2018-04-05,50.9330
2018-04-04,50.9800
2018-04-03,51.0160
2018-04-02,51.0160
2018-03-29,51.0190
2018-03-28,50.8070
2018-03-27,50.7915
2018-03-26,50.7275
2018-03-23,50.5590
2018-03-22,50.4775
2018-03-21,50.2260
2018-03-20,49.9450
2018-03-19,49.6835
2018-03-16,49.4200
2018-03-15,49.1575
2018-03-14,48.8825
2018-03-13,48.5125
2018-03-12,48.1650
2018-03-09,47.7865
2018-03-08,47.3145
2018-03-07,47.0375
2018-03-06,46.7170
2018-03-05,46.4075
2018-03-02,46.2275
2018-03-01,46.1610
2018-02-28,46.1760
2018-02-27,46.1510
2018-02-26,46.1545
2018-02-23,46.2030
2018-02-22,46.0815
2018-02-21,46.0670
2018-02-20,46.0730
2018-02-16,46.0445
2018-02-15,46.0075
2018-02-14,45.9355
2018-02-13,45.8860
2018-02-12,45.8200
2018-02-09,45.7405
2018-02-08,45.7135
2018-02-07,45.7010
2018-02-06,45.6220
2018-02-05,45.6135
2018-02-02,45.6245
2018-02-01,45.5385
2018-01-31,45.4190
2018-01-30,45.3545
2018-01-29,45.2230
2018-01-26,45.0350
2018-01-25,44.8365
