time,MACD,MACD_Hist,MACD_Signal
2020-05-04,-0.2011,0.0696,-0.2707
2020-04-30,-0.1914,0.0967,-0.2881
2020-04-29,-0.2068,0.1055,-0.3123
2020-04-28,-0.2499,0.0888,-0.3387
2020-04-27,-0.3033,0.0575,-0.3609
2020-04-24,-0.3050,0.0703,-0.3752
2020-04-23,-0.2752,0.1176,-0.3928
2020-04-22,-0.2780,0.1442,-0.4222
2020-04-20,-0.2897,0.1686,-0.4583
2020-04-17,-0.3014,0.1990,-0.5004
2020-04-16,-0.3294,0.2208,-0.5502
2020-04-15,-0.3480,0.2573,-0.6053
2020-04-14,-0.3953,0.2744,-0.6697
2020-04-13,-0.4804,0.2579,-0.7383
2020-04-09,-0.5708,0.2320,-0.8028
2020-04-08,-0.6525,0.2083,-0.8607
2020-04-07,-0.7553,0.1575,-0.9128
2020-04-06,-0.8400,0.1121,-0.9522
2020-04-03,-0.9094,0.0708,-0.9802
2020-04-02,-0.9237,0.0742,-0.9979
2020-04-01,-0.9550,0.0615,-1.0165
2020-03-31,-0.9698,0.0621,-1.0318
2020-03-30,-1.0265,0.0208,-1.0473
2020-03-27,-1.0890,-0.0365,-1.0526
2020-03-26,-1.1205,-0.0770,-1.0434
2020-03-25,-1.1931,-0.1689,-1.0242
2020-03-24,-1.2308,-0.2489,-0.9819
2020-03-23,-1.2061,-0.2864,-0.9197
2020-03-20,-1.1020,-0.2539,-0.8481
2020-03-19,-1.0325,-0.2479,-0.7846
2020-03-18,-0.9747,-0.2520,-0.7227
2020-03-17,-0.9182,-0.2585,-0.6597
2020-03-16,-0.8806,-0.2856,-0.5950
2020-03-13,-0.7750,-0.2514,-0.5236
2020-03-12,-0.7409,-0.2801,-0.4608
2020-03-11,-0.5920,-0.2013,-0.3908
2020-03-10,-0.5084,-0.1679,-0.3405
2020-03-09,-0.4614,-0.1630,-0.2985
2020-03-06,-0.3714,-0.1136,-0.2577
2020-03-05,-0.3254,-0.0960,-0.2293
2020-03-04,-0.2894,-0.0841,-0.2053
2020-03-03,-0.2769,-0.0926,-0.1843
2020-03-02,-0.2499,-0.0887,-0.1611
2020-02-28,-0.2300,-0.0911,-0.1389
2020-02-27,-0.1708,-0.0547,-0.1162
2020-02-21,-0.0785,0.0240,-0.1025
2020-02-20,-0.0553,0.0532,-0.1085
2020-02-19,-0.0696,0.0522,-0.1218
2020-02-18,-0.0960,0.0389,-0.1349
2020-02-17,-0.1130,0.0315,-0.1446
2020-02-14,-0.1138,0.0387,-0.1525
2020-02-13,-0.1131,0.0490,-0.1621
2020-02-12,-0.1279,0.0464,-0.1744
2020-02-11,-0.1653,0.0207,-0.1860
2020-02-10,-0.2015,-0.0103,-0.1912
2020-02-07,-0.2213,-0.0327,-0.1886
2020-02-06,-0.2169,-0.0365,-0.1804
2020-02-05,-0.2112,-0.0399,-0.1713
2020-02-04,-0.2141,-0.0528,-0.1613
2020-02-03,-0.2075,-0.0594,-0.1481
2020-01-31,-0.1930,-0.0598,-0.1332
2020-01-30,-0.1727,-0.0545,-0.1183
2020-01-29,-0.1668,-0.0621,-0.1047
2020-01-28,-0.1455,-0.0564,-0.0891
2020-01-27,-0.1305,-0.0555,-0.0750
2020-01-24,-0.1044,-0.0432,-0.0612
2020-01-23,-0.0991,-0.0487,-0.0504
2020-01-22,-0.1112,-0.0730,-0.0382
2020-01-21,-0.0985,-0.0786,-0.0199
2020-01-20,-0.0616,-0.0614,-0.0003
2020-01-17,-0.0452,-0.0603,0.0150
2020-01-16,-0.0429,-0.0730,0.0301
2020-01-15,-0.0282,-0.0766,0.0484
2020-01-14,-0.0059,-0.0734,0.0675
2020-01-13,0.0002,-0.0857,0.0859
2020-01-10,0.0233,-0.0840,0.1073
2020-01-09,0.0707,-0.0575,0.1283
2020-01-08,0.1211,-0.0215,0.1427
2020-01-07,0.1562,0.0081,0.1480
2020-01-06,0.1772,0.0312,0.1460
2020-01-03,0.1822,0.0440,0.1382
2020-01-02,0.1828,0.0556,0.1272
2019-12-30,0.1596,0.0463,0.1133
2019-12-27,0.1541,0.0524,0.1017
2019-12-26,0.1408,0.0521,0.0887
2019-12-23,0.1156,0.0400,0.0756
2019-12-20,0.1062,0.0406,0.0656
2019-12-19,0.1029,0.0474,0.0555
2019-12-18,0.0839,0.0403,0.0436
2019-12-17,0.0595,0.0259,0.0336
2019-12-16,0.0417,0.0146,0.0271
2019-12-13,0.0448,0.0214,0.0235
2019-12-12,0.0350,0.0169,0.0181
2019-12-11,0.0321,0.0182,0.0139
2019-12-10,0.0259,0.0165,0.0094
2019-12-09,0.0135,0.0082,0.0052
2019-12-06,-0.0046,-0.0077,0.0032
2019-12-05,-0.0051,-0.0102,0.0051
2019-12-04,-0.0190,-0.0267,0.0077
2019-12-03,-0.0425,-0.0569,0.0143
2019-12-02,-0.0394,-0.0680,0.0286
2019-11-29,-0.0378,-0.0834,0.0456
2019-11-28,-0.0262,-0.0926,0.0664
2019-11-27,-0.0088,-0.0984,0.0895
2019-11-26,0.0165,-0.0977,0.1141
2019-11-25,0.0648,-0.0737,0.1385
2019-11-22,0.0930,-0.0640,0.1570
2019-11-21,0.0940,-0.0789,0.1730
2019-11-19,0.1143,-0.0784,0.1927
2019-11-18,0.1477,-0.0646,0.2123
2019-11-14,0.1699,-0.0586,0.2285
2019-11-13,0.1927,-0.0504,0.2431
2019-11-12,0.2321,-0.0236,0.2557
2019-11-11,0.2557,-0.0058,0.2616
2019-11-08,0.2659,0.0028,0.2631
2019-11-07,0.2881,0.0258,0.2624
2019-11-06,0.2941,0.0382,0.2559
2019-11-05,0.2953,0.0490,0.2464
2019-11-04,0.2814,0.0473,0.2341
2019-11-01,0.2769,0.0546,0.2223
2019-10-31,0.2813,0.0727,0.2087
2019-10-30,0.2880,0.0975,0.1905
2019-10-29,0.2679,0.1018,0.1661
2019-10-28,0.2556,0.1149,0.1407
2019-10-25,0.2230,0.1111,0.1119
2019-10-24,0.1904,0.1062,0.0842
2019-10-23,0.1602,0.1026,0.0576
2019-10-22,0.1184,0.0864,0.0320
2019-10-21,0.0734,0.0630,0.0104
2019-10-18,0.0455,0.0509,-0.0054
2019-10-17,0.0285,0.0467,-0.0181
2019-10-16,-0.0016,0.0281,-0.0298
2019-10-15,-0.0422,-0.0054,-0.0368
2019-10-14,-0.0689,-0.0334,-0.0355
2019-10-11,-0.0999,-0.0728,-0.0271
2019-10-10,-0.1167,-0.1077,-0.0089
2019-10-09,-0.1089,-0.1269,0.0180
2019-10-08,-0.0872,-0.1369,0.0497
2019-10-07,-0.0389,-0.1228,0.0839
2019-10-04,0.0193,-0.0953,0.1146
2019-10-03,0.0596,-0.0788,0.1384
2019-10-02,0.1113,-0.0469,0.1582
2019-10-01,0.1603,-0.0096,0.1699
2019-09-30,0.1900,0.0177,0.1723
2019-09-27,0.2017,0.0339,0.1678
2019-09-26,0.1924,0.0330,0.1594
2019-09-25,0.1746,0.0235,0.1511
2019-09-24,0.1778,0.0326,0.1452
2019-09-23,0.1876,0.0505,0.1371
2019-09-20,0.1932,0.0687,0.1245
2019-09-19,0.1833,0.0760,0.1073
2019-09-18,0.1843,0.0960,0.0883
2019-09-17,0.1706,0.1063,0.0643
2019-09-16,0.1528,0.1151,0.0377
2019-09-13,0.1339,0.1249,0.0090
2019-09-12,0.1038,0.1260,-0.0223
2019-09-11,0.0689,0.1227,-0.0538
2019-09-10,0.0407,0.1251,-0.0845
2019-09-09,-0.0000,0.1157,-0.1157
2019-09-06,-0.0652,0.0795,-0.1447
2019-09-05,-0.1311,0.0335,-0.1646
2019-09-04,-0.1757,-0.0027,-0.1729
2019-09-03,-0.1852,-0.0130,-0.1722
2019-09-02,-0.1753,-0.0063,-0.1690
2019-08-30,-0.1795,-0.0121,-0.1674
2019-08-29,-0.1975,-0.0331,-0.1644
2019-08-28,-0.2146,-0.0585,-0.1561
2019-08-27,-0.2271,-0.0856,-0.1415
2019-08-26,-0.2215,-0.1014,-0.1201
2019-08-23,-0.1917,-0.0970,-0.0947
2019-08-22,-0.1561,-0.0856,-0.0705
2019-08-21,-0.1256,-0.0765,-0.0491
2019-08-20,-0.1052,-0.0753,-0.0299
2019-08-19,-0.0624,-0.0513,-0.0111
2019-08-16,-0.0262,-0.0280,0.0017
2019-08-15,-0.0021,-0.0108,0.0087
2019-08-14,-0.0007,-0.0121,0.0114
2019-08-13,0.0061,-0.0083,0.0145
2019-08-12,-0.0025,-0.0191,0.0165
2019-08-09,0.0190,-0.0023,0.0213
2019-08-08,-0.0006,-0.0225,0.0219
2019-08-07,-0.0317,-0.0592,0.0275
2019-08-06,-0.0578,-0.1001,0.0423
2019-08-05,-0.0565,-0.1239,0.0673
2019-08-02,-0.0134,-0.1117,0.0983
2019-08-01,0.0214,-0.1048,0.1262
2019-07-31,0.0564,-0.0960,0.1524
2019-07-30,0.1084,-0.0681,0.1764
2019-07-29,0.1416,-0.0518,0.1935
2019-07-26,0.1606,-0.0459,0.2064
2019-07-25,0.1804,-0.0375,0.2179
2019-07-24,0.2143,-0.0130,0.2273
2019-07-23,0.2137,-0.0168,0.2305
2019-07-22,0.2078,-0.0269,0.2347
2019-07-19,0.2043,-0.0371,0.2414
2019-07-18,0.2174,-0.0334,0.2507
2019-07-17,0.2145,-0.0445,0.2590
2019-07-16,0.2363,-0.0339,0.2702
2019-07-15,0.2647,-0.0140,0.2787
2019-07-12,0.2910,0.0088,0.2822
2019-07-11,0.3152,0.0352,0.2800
2019-07-10,0.3212,0.0500,0.2711
2019-07-08,0.3099,0.0513,0.2586
2019-07-05,0.2971,0.0513,0.2458
2019-07-04,0.2775,0.0445,0.2330
2019-07-03,0.2606,0.0387,0.2219
2019-07-02,0.2536,0.0414,0.2122
2019-07-01,0.2603,0.0584,0.2019
2019-06-28,0.2508,0.0635,0.1873
2019-06-27,0.2381,0.0667,0.1714
2019-06-26,0.2133,0.0586,0.1547
2019-06-25,0.1745,0.0345,0.1400
2019-06-24,0.1632,0.0318,0.1314
2019-06-21,0.1393,0.0158,0.1235
2019-06-19,0.1118,-0.0077,0.1195
2019-06-18,0.0975,-0.0239,0.1214
2019-06-17,0.0961,-0.0313,0.1274
2019-06-14,0.1164,-0.0188,0.1352
2019-06-13,0.1396,-0.0003,0.1399
2019-06-12,0.1631,0.0231,0.1400
2019-06-11,0.1744,0.0402,0.1342
2019-06-10,0.1802,0.0561,0.1241
2019-06-07,0.1880,0.0779,0.1101
2019-06-06,0.1760,0.0853,0.0907
2019-06-05,0.1692,0.0999,0.0693
2019-06-04,0.1723,0.1280,0.0444
2019-06-03,0.1433,0.1309,0.0124
2019-05-31,0.1072,0.1275,-0.0204
2019-05-30,0.0626,0.1148,-0.0522
2019-05-29,0.0109,0.0918,-0.0809
2019-05-28,-0.0380,0.0659,-0.1039
2019-05-27,-0.0703,0.0501,-0.1204
2019-05-24,-0.0809,0.0520,-0.1329
2019-05-23,-0.0903,0.0556,-0.1459
2019-05-22,-0.1141,0.0457,-0.1598
2019-05-21,-0.1470,0.0242,-0.1712
2019-05-20,-0.1939,-0.0166,-0.1773
2019-05-17,-0.2154,-0.0423,-0.1731
2019-05-16,-0.2030,-0.0404,-0.1626
2019-05-15,-0.1842,-0.0318,-0.1525
