time,RSI
2020-04-30,49.1401
2020-04-29,54.1487
2020-04-28,54.5491
2020-04-27,42.9770
2020-04-24,36.5407
2020-04-23,43.7899
2020-04-22,46.0315
2020-04-20,46.2089
2020-04-17,49.1043
2020-04-16,46.9943
2020-04-15,51.4758
2020-04-14,56.6888
2020-04-13,55.1913
2020-04-09,51.7813
2020-04-08,52.9416
2020-04-07,48.3876
2020-04-06,44.8173
2020-04-03,35.5589
2020-04-02,38.0486
2020-04-01,36.3517
2020-03-31,41.0424
2020-03-30,41.5151
2020-03-27,37.3598
2020-03-26,41.3234
2020-03-25,36.6616
2020-03-24,29.2816
2020-03-23,20.9969
2020-03-20,24.7691
2020-03-19,27.3174
2020-03-18,29.1785
2020-03-17,32.1692
2020-03-16,25.7578
2020-03-13,32.7154
2020-03-12,15.3085
2020-03-11,21.3480
2020-03-10,26.9337
2020-03-09,20.4017
2020-03-06,27.3983
2020-03-05,30.9292
2020-03-04,36.7740
2020-03-03,34.6720
2020-03-02,37.5621
2020-02-28,28.6396
2020-02-27,24.0832
2020-02-21,39.2133
2020-02-20,53.3270
2020-02-19,57.1112
2020-02-18,52.0022
2020-02-17,44.4601
2020-02-14,44.4601
2020-02-13,50.1740
2020-02-12,58.0769
2020-02-11,55.2204
2020-02-10,46.8984
2020-02-07,34.5172
2020-02-06,35.3737
2020-02-05,39.1637
2020-02-04,35.8319
2020-02-03,34.4472
2020-01-31,34.6717
2020-01-30,39.8076
2020-01-29,35.5087
2020-01-28,38.6724
2020-01-27,36.8643
2020-01-24,43.5697
2020-01-23,49.1147
2020-01-22,40.2121
2020-01-21,32.4380
2020-01-20,40.0932
2020-01-17,46.0936
2020-01-16,41.5344
2020-01-15,40.2950
2020-01-14,46.8501
2020-01-13,40.9560
2020-01-10,32.9222
2020-01-09,35.0694
2020-01-08,42.5652
2020-01-07,50.0543
2020-01-06,58.4247
2020-01-03,59.8469
2020-01-02,70.6872
2019-12-30,63.2747
2019-12-27,65.5706
2019-12-26,68.9478
2019-12-23,61.8795
2019-12-20,58.3218
2019-12-19,65.4707
2019-12-18,65.1752
2019-12-17,60.9657
2019-12-16,51.0828
2019-12-13,57.6512
2019-12-12,53.5130
2019-12-11,54.4711
2019-12-10,56.2850
2019-12-09,57.1413
2019-12-06,49.5417
2019-12-05,54.6999
2019-12-04,57.1726
2019-12-03,45.3047
2019-12-02,46.3893
2019-11-29,42.6845
2019-11-28,41.8811
2019-11-27,40.7603
2019-11-26,34.7171
2019-11-25,42.5258
2019-11-22,53.7458
2019-11-21,45.9703
2019-11-19,42.0231
2019-11-18,48.3859
2019-11-14,49.5103
2019-11-13,44.4781
2019-11-12,52.8684
2019-11-11,59.9486
2019-11-08,55.6006
2019-11-07,64.2992
2019-11-06,65.3211
2019-11-05,70.8989
2019-11-04,66.9767
2019-11-01,63.3118
2019-10-31,61.9546
2019-10-30,73.7384
2019-10-29,70.1148
2019-10-28,77.4719
2019-10-25,75.3205
2019-10-24,72.5701
2019-10-23,73.0938
2019-10-22,71.2250
2019-10-21,64.5832
2019-10-18,59.2175
2019-10-17,62.8243
2019-10-16,63.6972
2019-10-15,57.2878
2019-10-14,56.7147
2019-10-11,50.4284
2019-10-10,40.4153
2019-10-09,36.1137
2019-10-08,27.1164
2019-10-07,27.8598
2019-10-04,34.9805
2019-10-03,34.5241
2019-10-02,38.1383
2019-10-01,46.9935
2019-09-30,55.9586
2019-09-27,66.3618
2019-09-26,67.9869
2019-09-25,59.6965
2019-09-24,56.8212
2019-09-23,58.7059
2019-09-20,65.5552
2019-09-19,60.8579
2019-09-18,67.0279
2019-09-17,66.5187
2019-09-16,65.0620
2019-09-13,66.8060
2019-09-12,65.7739
2019-09-11,62.1750
2019-09-10,63.5910
2019-09-09,68.1293
2019-09-06,65.3936
2019-09-05,57.8663
2019-09-04,45.0814
2019-09-03,37.7392
2019-09-02,42.9012
2019-08-30,47.5194
2019-08-29,46.4824
2019-08-28,44.5088
2019-08-27,38.3723
2019-08-26,31.1380
2019-08-23,32.0285
2019-08-22,35.1000
2019-08-21,39.0669
2019-08-20,34.0347
2019-08-19,37.5720
2019-08-16,42.1357
2019-08-15,49.2298
2019-08-14,47.8678
2019-08-13,52.1486
2019-08-12,43.6045
2019-08-09,56.7034
2019-08-08,58.7760
2019-08-07,55.6121
2019-08-06,46.1740
2019-08-05,29.9179
2019-08-02,34.6234
2019-08-01,36.9789
2019-07-31,33.3515
2019-07-30,41.7277
2019-07-29,49.2723
2019-07-26,50.0479
2019-07-25,45.8267
2019-07-24,63.3458
2019-07-23,64.4546
2019-07-22,62.3803
2019-07-19,55.7386
2019-07-18,63.8556
2019-07-17,53.0981
2019-07-16,51.2319
2019-07-15,54.1400
2019-07-12,56.5474
2019-07-11,67.3247
2019-07-10,76.5114
