time,MACD,MACD_Hist,MACD_Signal
2020-04-30,-0.7052,0.2672,-0.9724
2020-04-29,-0.7639,0.2753,-1.0392
2020-04-28,-0.9183,0.1897,-1.1080
2020-04-27,-1.0705,0.0850,-1.1554
2020-04-24,-1.0679,0.1088,-1.1767
2020-04-23,-0.9789,0.2250,-1.2039
2020-04-22,-0.9701,0.2901,-1.2601
2020-04-20,-0.9773,0.3553,-1.3326
2020-04-17,-0.9999,0.4216,-1.4215
2020-04-16,-1.0731,0.4537,-1.5269
2020-04-15,-1.1093,0.5310,-1.6403
2020-04-14,-1.1994,0.5736,-1.7730
2020-04-13,-1.3886,0.5278,-1.9164
2020-04-09,-1.5794,0.4690,-2.0484
2020-04-08,-1.7490,0.4167,-2.1656
2020-04-07,-2.0092,0.2606,-2.2698
2020-04-06,-2.1920,0.1430,-2.3350
2020-04-03,-2.3099,0.0608,-2.3707
2020-04-02,-2.2721,0.1138,-2.3859
2020-04-01,-2.2763,0.1380,-2.4143
2020-03-31,-2.2384,0.2105,-2.4488
2020-03-30,-2.3295,0.1720,-2.5014
2020-03-27,-2.5157,0.0288,-2.5444
2020-03-26,-2.6007,-0.0491,-2.5516
2020-03-25,-2.8018,-0.2624,-2.5394
2020-03-24,-2.9514,-0.4777,-2.4738
2020-03-23,-2.9875,-0.6332,-2.3543
2020-03-20,-2.7886,-0.5925,-2.1960
2020-03-19,-2.6498,-0.6019,-2.0479
2020-03-18,-2.5156,-0.6182,-1.8974
2020-03-17,-2.3689,-0.6260,-1.7429
2020-03-16,-2.3253,-0.7389,-1.5864
2020-03-13,-2.0933,-0.6916,-1.4016
2020-03-12,-2.0121,-0.7834,-1.2287
2020-03-11,-1.6134,-0.5805,-1.0329
2020-03-10,-1.3428,-0.4551,-0.8877
2020-03-09,-1.2141,-0.4401,-0.7740
2020-03-06,-0.9619,-0.2979,-0.6639
2020-03-05,-0.8367,-0.2473,-0.5895
2020-03-04,-0.7310,-0.2034,-0.5276
2020-03-03,-0.6954,-0.2186,-0.4768
2020-03-02,-0.6093,-0.1872,-0.4221
2020-02-28,-0.5496,-0.1743,-0.3753
2020-02-27,-0.4777,-0.1459,-0.3318
2020-02-21,-0.2842,0.0111,-0.2953
2020-02-20,-0.1970,0.1011,-0.2981
2020-02-19,-0.2173,0.1061,-0.3233
2020-02-18,-0.2522,0.0976,-0.3498
2020-02-17,-0.2442,0.1300,-0.3742
2020-02-14,-0.2163,0.1905,-0.4067
2020-02-13,-0.2090,0.2454,-0.4544
2020-02-12,-0.2557,0.2600,-0.5157
2020-02-11,-0.3666,0.2141,-0.5807
2020-02-10,-0.5171,0.1172,-0.6342
2020-02-07,-0.6212,0.0424,-0.6635
