time,RSI
2020-04-30,48.4740
2020-04-29,54.3646
2020-04-28,52.5573
2020-04-27,40.3493
2020-04-24,34.4662
2020-04-23,40.5729
2020-04-22,42.4231
2020-04-20,43.9449
2020-04-17,47.2197
2020-04-16,44.5929
2020-04-15,47.6653
2020-04-14,52.6450
2020-04-13,51.1128
2020-04-09,48.6191
2020-04-08,51.8568
2020-04-07,46.2685
2020-04-06,42.0625
2020-04-03,33.3598
2020-04-02,36.0533
2020-04-01,35.4952
2020-03-31,40.9274
2020-03-30,44.6382
2020-03-27,39.0825
2020-03-26,43.4931
2020-03-25,40.4201
2020-03-24,35.0394
2020-03-23,23.9069
2020-03-20,27.1417
2020-03-19,28.9875
2020-03-18,30.3821
2020-03-17,34.7739
2020-03-16,27.1968
2020-03-13,33.1658
2020-03-12,14.9779
2020-03-11,19.7381
2020-03-10,26.6087
2020-03-09,19.0679
2020-03-06,26.3886
2020-03-05,29.6002
2020-03-04,36.1859
2020-03-03,32.4273
2020-03-02,36.1300
2020-02-28,36.9149
2020-02-27,25.6489
2020-02-21,35.5369
2020-02-20,49.6649
2020-02-19,51.3347
2020-02-18,44.6333
2020-02-17,42.5570
2020-02-14,45.9945
2020-02-13,53.2351
2020-02-12,61.3245
2020-02-11,63.5787
2020-02-10,55.2187
2020-02-07,47.3746
2020-02-06,40.2713
2020-02-05,41.2025
2020-02-04,37.9755
2020-02-03,33.7193
2020-01-31,32.4354
2020-01-30,37.5971
2020-01-29,29.9533
2020-01-28,34.0158
2020-01-27,34.0958
2020-01-24,40.4316
2020-01-23,42.9556
2020-01-22,31.0327
2020-01-21,27.6293
2020-01-20,32.9748
2020-01-17,39.6978
2020-01-16,35.7102
2020-01-15,34.5745
2020-01-14,38.3166
2020-01-13,38.3166
2020-01-10,31.9328
2020-01-09,34.0715
2020-01-08,39.5285
2020-01-07,44.9078
2020-01-06,54.6674
2020-01-03,62.6461
2020-01-02,69.1325
2019-12-30,60.5951
2019-12-27,64.0223
2019-12-26,65.6944
2019-12-23,60.4944
2019-12-20,56.9267
2019-12-19,59.1906
2019-12-18,57.4785
2019-12-17,52.9371
2019-12-16,46.9510
2019-12-13,56.9759
2019-12-12,48.3691
2019-12-11,48.4903
2019-12-10,53.5662
2019-12-09,60.7936
2019-12-06,53.3045
2019-12-05,63.6161
2019-12-04,64.4664
2019-12-03,48.8324
2019-12-02,48.6723
2019-11-29,40.6537
2019-11-28,36.9605
2019-11-27,38.0254
2019-11-26,34.6356
2019-11-25,42.0955
2019-11-22,48.7954
2019-11-21,45.0943
2019-11-19,39.1573
2019-11-18,43.7721
2019-11-14,45.7634
2019-11-13,42.3716
2019-11-12,46.4651
2019-11-11,54.6483
2019-11-08,52.7141
2019-11-07,60.7267
2019-11-06,58.4533
2019-11-05,66.3042
2019-11-04,60.2499
2019-11-01,58.9866
2019-10-31,57.7790
2019-10-30,67.2893
2019-10-29,65.4499
2019-10-28,76.5694
2019-10-25,73.4997
2019-10-24,71.9099
2019-10-23,70.7929
2019-10-22,67.2798
2019-10-21,57.5477
2019-10-18,50.7057
2019-10-17,56.7305
2019-10-16,60.0178
2019-10-15,54.4784
2019-10-14,55.6105
2019-10-11,48.7858
2019-10-10,42.8167
2019-10-09,39.2605
2019-10-08,30.8783
2019-10-07,31.9466
2019-10-04,37.0563
2019-10-03,34.6278
2019-10-02,34.4856
2019-10-01,42.2617
2019-09-30,51.2184
2019-09-27,58.0537
2019-09-26,60.2238
2019-09-25,48.7236
2019-09-24,42.7665
2019-09-23,47.2090
2019-09-20,48.5973
2019-09-19,47.4596
2019-09-18,54.5879
2019-09-17,55.9992
2019-09-16,54.7550
2019-09-13,62.5979
2019-09-12,58.5947
2019-09-11,56.6821
2019-09-10,58.4493
2019-09-09,66.6283
2019-09-06,60.5196
2019-09-05,49.4889
2019-09-04,36.2762
2019-09-03,32.3811
2019-09-02,38.2338
2019-08-30,43.0481
2019-08-29,44.7780
2019-08-28,42.2726
2019-08-27,36.8268
2019-08-26,30.7967
2019-08-23,30.8647
2019-08-22,33.4572
2019-08-21,37.3687
2019-08-20,34.0264
2019-08-19,36.5952
2019-08-16,37.6038
2019-08-15,42.1323
2019-08-14,42.8467
2019-08-13,48.7208
2019-08-12,42.5271
2019-08-09,55.9174
2019-08-08,58.9971
2019-08-07,57.4921
2019-08-06,45.7544
2019-08-05,32.4213
2019-08-02,36.1078
2019-08-01,35.4194
2019-07-31,34.6590
2019-07-30,41.6464
2019-07-29,54.4339
2019-07-26,52.8447
2019-07-25,45.4211
2019-07-24,60.6160
2019-07-23,61.0960
2019-07-22,57.4587
2019-07-19,50.2493
2019-07-18,65.9980
2019-07-17,52.6388
2019-07-16,54.6303
2019-07-15,52.3592
2019-07-12,54.1001
2019-07-11,68.1771
2019-07-10,69.3540
2019-07-08,71.5781
2019-07-05,73.7054
2019-07-04,70.4666
2019-07-03,66.6831
2019-07-02,59.8493
2019-07-01,62.2592
2019-06-28,65.5481
2019-06-27,65.4569
2019-06-26,69.6046
2019-06-25,62.2934
2019-06-24,70.3568
2019-06-21,71.8448
2019-06-19,65.2259
2019-06-18,59.3067
2019-06-17,46.0934
2019-06-14,46.7139
2019-06-13,46.5520
2019-06-12,56.0551
2019-06-11,59.5866
2019-06-10,57.5403
2019-06-07,65.2348
2019-06-06,61.3202
2019-06-05,57.0891
2019-06-04,70.1304
2019-06-03,71.4262
2019-05-31,70.7783
2019-05-30,72.2527
2019-05-29,69.6961
2019-05-28,64.4560
2019-05-27,54.0689
2019-05-24,52.4554
2019-05-23,60.4138
2019-05-22,61.5912
2019-05-21,61.3003
2019-05-20,45.9479
2019-05-17,29.4159
2019-05-16,27.9650
2019-05-15,32.0118
2019-05-14,29.7812
2019-05-13,31.1614
2019-05-10,36.3106
2019-05-09,37.9715
2019-05-08,42.7860
2019-05-07,36.2177
2019-05-06,40.3910
2019-05-03,50.9606
2019-05-02,56.9411
2019-04-30,53.8385
2019-04-29,49.1254
2019-04-26,53.5544
2019-04-25,52.4103
2019-04-24,44.5769
2019-04-23,43.7601
2019-04-22,36.7083
2019-04-18,37.6180
2019-04-17,29.9835
2019-04-16,34.3716
2019-04-15,34.6400
2019-04-12,34.8031
2019-04-11,37.5898
2019-04-10,44.8922
2019-04-09,45.4963
2019-04-08,47.3109
2019-04-05,49.2654
2019-04-04,41.7346
2019-04-03,35.8664
2019-04-02,37.9292
2019-04-01,41.8264
2019-03-29,43.8540
2019-03-28,40.6913
2019-03-27,25.8908
2019-03-26,32.3102
2019-03-25,27.3781
2019-03-22,26.6913
2019-03-21,32.2993
2019-03-20,36.4939
2019-03-19,43.6535
2019-03-18,52.1149
2019-03-15,51.4801
2019-03-14,51.5827
