time,MACD,MACD_Hist,MACD_Signal
2020-05-06,3.0421,-0.8194,3.8615
2020-05-05,3.4006,-0.6658,4.0664
2020-05-04,3.6641,-0.5687,4.2328
2020-05-01,4.0724,-0.3026,4.3750
2020-04-30,4.5323,0.0816,4.4507
2020-04-29,4.8752,0.4449,4.4303
2020-04-28,5.2215,0.9025,4.3190
2020-04-27,5.4705,1.3771,4.0934
2020-04-24,5.4135,1.6643,3.7492
2020-04-23,5.2039,1.8708,3.3331
2020-04-22,4.7946,1.9292,2.8654
2020-04-21,4.4589,2.0759,2.3831
2020-04-20,4.3027,2.4386,1.8641
2020-04-17,3.8381,2.5836,1.2544
2020-04-16,3.1536,2.5451,0.6085
2020-04-15,2.4733,2.5011,-0.0277
2020-04-14,1.7738,2.4268,-0.6530
2020-04-13,1.0210,2.2807,-1.2597
2020-04-09,0.6828,2.5127,-1.8299
2020-04-08,0.0925,2.5506,-2.4580
2020-04-07,-0.8689,2.2267,-3.0957
2020-04-06,-1.4950,2.1574,-3.6524
2020-04-03,-2.5044,1.6873,-4.1917
2020-04-02,-3.1873,1.4263,-4.6135
2020-04-01,-3.9086,1.0615,-4.9701
2020-03-31,-4.3305,0.9050,-5.2355
2020-03-30,-5.0423,0.4195,-5.4618
2020-03-27,-6.0688,-0.5022,-5.5666
2020-03-26,-6.2879,-0.8468,-5.4411
2020-03-25,-6.8232,-1.5938,-5.2294
2020-03-24,-6.6772,-1.8462,-4.8309
2020-03-23,-6.3713,-2.0019,-4.3694
2020-03-20,-5.0696,-1.2007,-3.8689
2020-03-19,-4.2254,-0.6566,-3.5687
2020-03-18,-3.8153,-0.4108,-3.4046
2020-03-17,-4.0419,-0.7400,-3.3019
2020-03-16,-4.4382,-1.3213,-3.1169
2020-03-13,-3.9163,-1.1297,-2.7866
2020-03-12,-3.9222,-1.4180,-2.5041
2020-03-11,-2.9685,-0.8189,-2.1496
2020-03-10,-2.3587,-0.4138,-1.9449
2020-03-09,-2.5480,-0.7065,-1.8415
2020-03-06,-2.2230,-0.5582,-1.6648
2020-03-05,-2.3451,-0.8199,-1.5253
2020-03-04,-2.4648,-1.1445,-1.3203
2020-03-03,-2.7314,-1.6972,-1.0342
2020-03-02,-2.2286,-1.6187,-0.6099
2020-02-28,-2.0055,-1.8003,-0.2052
2020-02-27,-1.1275,-1.3723,0.2449
2020-02-26,-0.4628,-1.0507,0.5879
2020-02-25,-0.0720,-0.9226,0.8506
2020-02-24,0.3290,-0.7522,1.0813
2020-02-21,0.7079,-0.5615,1.2693
2020-02-20,0.7718,-0.6379,1.4097
2020-02-19,1.0010,-0.5682,1.5692
2020-02-18,1.2209,-0.4904,1.7112
2020-02-14,1.4635,-0.3704,1.8338
2020-02-13,1.6510,-0.2754,1.9264
2020-02-12,1.8704,-0.1248,1.9953
2020-02-11,2.0215,-0.0050,2.0265
2020-02-10,2.0932,0.0655,2.0277
2020-02-07,2.1676,0.1563,2.0114
2020-02-06,2.2279,0.2557,1.9723
2020-02-05,2.1056,0.1972,1.9084
2020-02-04,1.8719,0.0128,1.8591
2020-02-03,1.7898,-0.0661,1.8559
2020-01-31,1.8045,-0.0679,1.8724
2020-01-30,1.9295,0.0401,1.8894
2020-01-29,1.9092,0.0299,1.8793
2020-01-28,1.8372,-0.0347,1.8719
2020-01-27,1.8245,-0.0561,1.8805
2020-01-24,1.8580,-0.0365,1.8945
2020-01-23,1.9176,0.0140,1.9037
2020-01-22,1.9445,0.0443,1.9002
2020-01-21,1.9789,0.0898,1.8891
2020-01-17,1.8902,0.0236,1.8666
2020-01-16,1.7597,-0.1010,1.8607
2020-01-15,1.6663,-0.2196,1.8860
2020-01-14,1.6441,-0.2968,1.9409
2020-01-13,1.6416,-0.3735,2.0151
2020-01-10,1.6981,-0.4104,2.1085
2020-01-09,1.8107,-0.4004,2.2110
2020-01-08,1.8944,-0.4168,2.3111
2020-01-07,2.0175,-0.3979,2.4153
2020-01-06,2.1432,-0.3716,2.5148
2020-01-03,2.3621,-0.2456,2.6077
2020-01-02,2.5888,-0.0803,2.6691
2019-12-31,2.6685,-0.0207,2.6892
2019-12-30,2.7415,0.0472,2.6943
2019-12-27,2.8529,0.1703,2.6825
2019-12-26,2.9077,0.2677,2.6400
2019-12-24,2.9272,0.3542,2.5730
2019-12-23,2.8994,0.4150,2.4845
2019-12-20,2.7698,0.3891,2.3807
2019-12-19,2.6028,0.3193,2.2835
2019-12-18,2.4240,0.2204,2.2036
2019-12-17,2.3806,0.2320,2.1485
2019-12-16,2.2528,0.1623,2.0905
2019-12-13,2.2371,0.1872,2.0499
2019-12-12,2.2263,0.2232,2.0031
2019-12-11,2.1842,0.2369,1.9474
2019-12-10,2.1354,0.2473,1.8881
2019-12-09,2.1428,0.3165,1.8263
2019-12-06,2.0692,0.3220,1.7472
2019-12-05,1.9574,0.2907,1.6667
2019-12-04,1.8696,0.2756,1.5940
2019-12-03,1.7488,0.2237,1.5251
2019-12-02,1.7951,0.3260,1.4692
2019-11-29,1.8078,0.4201,1.3877
2019-11-27,1.7845,0.5018,1.2826
2019-11-26,1.7022,0.5451,1.1572
2019-11-25,1.6316,0.6107,1.0209
2019-11-22,1.5167,0.6484,0.8682
2019-11-21,1.2573,0.5512,0.7061
2019-11-20,1.0739,0.5056,0.5683
2019-11-19,0.8752,0.4332,0.4419
