time,RSI
2020-05-06,51.1431
2020-05-05,55.2999
2020-05-04,52.2760
2020-05-01,52.3278
2020-04-30,56.7570
2020-04-29,57.2555
2020-04-28,59.9817
2020-04-27,67.2489
2020-04-24,68.7217
2020-04-23,70.3020
2020-04-22,67.7113
2020-04-21,63.9988
2020-04-20,68.2445
2020-04-17,68.9688
2020-04-16,66.8423
2020-04-15,64.9959
2020-04-14,63.5129
2020-04-13,57.2533
2020-04-09,59.3920
2020-04-08,62.3045
2020-04-07,56.8867
2020-04-06,59.9454
2020-04-03,54.5535
2020-04-02,53.5261
2020-04-01,49.1216
2020-03-31,51.4684
2020-03-30,53.3264
2020-03-27,43.7513
2020-03-26,46.7388
2020-03-25,38.8352
2020-03-24,38.5835
2020-03-23,28.9704
2020-03-20,34.2161
2020-03-19,39.4809
2020-03-18,46.6120
2020-03-17,48.2275
2020-03-16,36.7830
2020-03-13,43.3036
2020-03-12,29.3176
2020-03-11,34.8919
2020-03-10,47.3761
2020-03-09,36.5846
2020-03-06,45.6397
2020-03-05,45.5963
2020-03-04,48.1361
2020-03-03,29.0434
2020-03-02,35.6810
2020-02-28,13.4074
2020-02-27,18.1435
2020-02-26,26.3883
2020-02-25,28.9028
2020-02-24,32.5261
2020-02-21,50.8197
2020-02-20,38.7977
2020-02-19,42.1891
2020-02-18,43.3867
2020-02-14,49.6680
2020-02-13,49.4016
2020-02-12,56.0795
2020-02-11,62.9747
2020-02-10,62.3733
2020-02-07,62.5844
2020-02-06,75.0906
2020-02-05,79.0797
2020-02-04,72.1652
2020-02-03,66.1384
2020-01-31,58.8483
2020-01-30,75.6484
2020-01-29,78.0716
2020-01-28,73.6889
2020-01-27,69.7671
2020-01-24,67.2481
2020-01-23,69.8045
2020-01-22,68.3612
2020-01-21,81.0648
2020-01-17,80.7492
2020-01-16,77.4705
2020-01-15,72.2525
2020-01-14,69.6473
2020-01-13,64.6483
2020-01-10,60.0235
2020-01-09,63.9031
2020-01-08,60.9425
2020-01-07,61.1525
2020-01-06,55.0155
2020-01-03,56.6634
2020-01-02,75.8650
2019-12-31,75.4215
2019-12-30,72.8630
2019-12-27,78.6825
2019-12-26,79.7009
2019-12-24,80.8787
2019-12-23,86.7638
2019-12-20,86.0849
2019-12-19,84.7712
2019-12-18,79.4626
2019-12-17,83.9755
2019-12-16,78.7890
2019-12-13,77.2543
2019-12-12,77.1089
2019-12-11,75.8586
2019-12-10,72.0849
2019-12-09,77.7173
2019-12-06,77.3424
2019-12-05,74.7274
2019-12-04,74.1377
2019-12-03,65.0982
2019-12-02,66.9968
2019-11-29,68.1598
2019-11-27,70.3582
2019-11-26,68.3059
2019-11-25,68.3793
2019-11-22,74.8256
2019-11-21,70.1940
2019-11-20,68.5991
2019-11-19,64.8021
2019-11-18,64.8652
2019-11-15,65.4958
2019-11-14,49.5108
2019-11-13,51.1726
2019-11-12,51.5747
2019-11-11,54.6162
2019-11-08,59.7507
2019-11-07,53.7241
2019-11-06,51.7788
2019-11-05,49.5874
2019-11-04,48.8514
2019-11-01,52.3643
2019-10-31,55.4733
2019-10-30,58.4478
2019-10-29,46.4441
2019-10-28,46.6255
2019-10-25,43.6696
2019-10-24,40.6396
2019-10-23,47.0741
2019-10-22,44.7790
2019-10-21,40.8902
2019-10-18,39.8565
2019-10-17,68.3182
2019-10-16,65.7168
2019-10-15,58.5860
2019-10-14,50.0841
2019-10-11,52.8962
2019-10-10,41.9869
2019-10-09,42.6130
2019-10-08,54.6145
2019-10-07,62.6102
2019-10-04,65.8992
2019-10-03,55.5078
2019-10-02,60.9934
2019-10-01,49.9459
2019-09-30,45.7493
2019-09-27,39.9557
2019-09-26,41.2257
2019-09-25,54.5940
2019-09-24,59.1082
2019-09-23,60.6392
