time,SMA
2020-05-06,149.2225
2020-05-05,148.6925
2020-05-04,148.2055
2020-05-01,147.5005
2020-04-30,146.7435
2020-04-29,145.6820
2020-04-28,144.7265
2020-04-27,143.8075
2020-04-24,142.2510
2020-04-23,140.8365
2020-04-22,139.0310
2020-04-21,137.3405
2020-04-20,135.4135
2020-04-17,133.8245
2020-04-16,132.5760
2020-04-15,131.8405
2020-04-14,131.2870
2020-04-13,130.3420
2020-04-09,130.0680
2020-04-08,129.2770
2020-04-07,128.7040
2020-04-06,128.9120
2020-04-03,128.7460
2020-04-02,129.1390
2020-04-01,129.5820
2020-03-31,130.3155
2020-03-30,130.5385
2020-03-27,130.8890
2020-03-26,131.4550
2020-03-25,132.0825
2020-03-24,133.2965
2020-03-23,134.5700
2020-03-20,136.3085
2020-03-19,137.8105
2020-03-18,138.8765
2020-03-17,139.5755
2020-03-16,140.2030
2020-03-13,141.3530
2020-03-12,142.1430
2020-03-11,143.4270
2020-03-10,144.4365
2020-03-09,144.9475
2020-03-06,145.7200
2020-03-05,146.2950
2020-03-04,146.8940
2020-03-03,147.3000
2020-03-02,148.0290
2020-02-28,148.4715
2020-02-27,149.2655
2020-02-26,149.8365
2020-02-25,150.1275
2020-02-24,150.3325
2020-02-21,150.4530
2020-02-20,150.3830
2020-02-19,150.3770
2020-02-18,150.3935
2020-02-14,150.3950
2020-02-13,150.2985
2020-02-12,150.1445
2020-02-11,149.9160
2020-02-10,149.6015
2020-02-07,149.2615
2020-02-06,148.9365
2020-02-05,148.5080
2020-02-04,148.0575
2020-02-03,147.6825
2020-01-31,147.3880
2020-01-30,147.2430
2020-01-29,147.0185
2020-01-28,146.7565
2020-01-27,146.5690
2020-01-24,146.4230
2020-01-23,146.3035
2020-01-22,146.1990
2020-01-21,146.0895
2020-01-17,145.8935
2020-01-16,145.5945
2020-01-15,145.3625
2020-01-14,145.1015
2020-01-13,144.8445
2020-01-10,144.6265
2020-01-09,144.4225
2020-01-08,144.1525
2020-01-07,143.9295
2020-01-06,143.6995
2020-01-03,143.4725
2020-01-02,143.2275
2019-12-31,142.7870
2019-12-30,142.3615
2019-12-27,141.9710
2019-12-26,141.5710
2019-12-24,141.1380
2019-12-23,140.7005
2019-12-20,140.2820
2019-12-19,139.8010
2019-12-18,139.3305
2019-12-17,138.9120
2019-12-16,138.4755
2019-12-13,138.1330
2019-12-12,137.6120
2019-12-11,137.1085
2019-12-10,136.6270
2019-12-09,136.2265
2019-12-06,135.8515
2019-12-05,135.4040
2019-12-04,134.9740
2019-12-03,134.5260
2019-12-02,134.1795
2019-11-29,133.8715
2019-11-27,133.5990
2019-11-26,133.3535
2019-11-25,132.9512
2019-11-22,132.5512
2019-11-21,132.0652
2019-11-20,131.6182
2019-11-19,131.3162
2019-11-18,131.0352
2019-11-15,130.6947
2019-11-14,130.3327
2019-11-13,130.5932
2019-11-12,130.7882
2019-11-11,130.8627
2019-11-08,130.7997
2019-11-07,130.7162
2019-11-06,130.5977
2019-11-05,130.5107
2019-11-04,130.5817
2019-11-01,130.7282
2019-10-31,130.8512
2019-10-30,130.8087
2019-10-29,130.7667
2019-10-28,130.8100
2019-10-25,130.8200
2019-10-24,130.8325
2019-10-23,130.9000
2019-10-22,130.9545
2019-10-21,131.0720
2019-10-18,131.2580
2019-10-17,131.4555
2019-10-16,131.1525
2019-10-15,130.9145
2019-10-14,130.7560
2019-10-11,130.6970
2019-10-10,130.6695
