time,MACD,MACD_Hist,MACD_Signal
2020-04-30,-0.1998,0.7692,-0.9690
2020-04-29,-0.2153,0.9459,-1.1613
2020-04-28,-0.4439,0.9539,-1.3977
2020-04-27,-0.6935,0.9427,-1.6362
2020-04-24,-0.8431,1.0288,-1.8719
2020-04-23,-0.9211,1.2080,-2.1291
2020-04-22,-1.1884,1.2427,-2.4311
2020-04-20,-1.6630,1.0788,-2.7418
2020-04-17,-2.0481,0.9634,-3.0115
2020-04-16,-2.3571,0.8952,-3.2523
2020-04-15,-2.5288,0.9473,-3.4761
2020-04-14,-2.7214,0.9916,-3.7129
2020-04-13,-2.9592,1.0017,-3.9608
2020-04-09,-3.2176,0.9936,-4.2112
2020-04-08,-3.5556,0.9040,-4.4597
2020-04-07,-4.0545,0.6312,-4.6857
2020-04-06,-4.5559,0.2876,-4.8434
2020-04-03,-4.9005,0.0148,-4.9153
2020-04-02,-4.8831,0.0359,-4.9190
2020-04-01,-4.9101,0.0179,-4.9280
2020-03-31,-4.8843,0.0481,-4.9325
2020-03-30,-4.9138,0.0308,-4.9445
2020-03-27,-5.0967,-0.1445,-4.9522
2020-03-26,-5.2877,-0.3716,-4.9161
2020-03-25,-5.7284,-0.9052,-4.8232
2020-03-24,-6.0152,-1.4183,-4.5969
2020-03-23,-5.9057,-1.6635,-4.2423
2020-03-20,-5.3757,-1.5493,-3.8264
2020-03-19,-5.0701,-1.6310,-3.4391
2020-03-18,-4.8496,-1.8182,-3.0313
2020-03-17,-4.0089,-1.4321,-2.5768
2020-03-16,-3.5434,-1.3246,-2.2188
2020-03-13,-2.7307,-0.8431,-1.8876
2020-03-12,-2.6597,-0.9829,-1.6768
2020-03-11,-2.1669,-0.7358,-1.4311
2020-03-10,-1.9014,-0.6543,-1.2472
2020-03-09,-1.8567,-0.7731,-1.0836
2020-03-06,-1.3399,-0.4496,-0.8903
2020-03-05,-1.1474,-0.3695,-0.7779
2020-03-04,-0.9889,-0.3034,-0.6856
2020-03-03,-1.0523,-0.4425,-0.6097
2020-03-02,-0.9936,-0.4945,-0.4991
2020-02-28,-0.8706,-0.4951,-0.3755
2020-02-27,-0.7315,-0.4798,-0.2517
2020-02-21,-0.3143,-0.1825,-0.1318
2020-02-20,-0.2812,-0.1950,-0.0861
2020-02-19,-0.1869,-0.1496,-0.0374
2020-02-18,-0.1638,-0.1638,0.0000
2020-02-17,-0.1664,-0.2073,0.0409
2020-02-14,-0.2030,-0.2957,0.0928
2020-02-13,-0.1703,-0.3371,0.1667
2020-02-12,-0.2138,-0.4648,0.2510
2020-02-11,-0.1989,-0.5661,0.3672
2020-02-10,-0.1608,-0.6695,0.5087
2020-02-07,0.0460,-0.6300,0.6760
2020-02-06,0.2472,-0.5863,0.8335
2020-02-05,0.5361,-0.4441,0.9801
2020-02-04,0.6953,-0.3958,1.0911
2020-02-03,0.8478,-0.3424,1.1901
2020-01-31,1.0117,-0.2640,1.2757
2020-01-30,1.2397,-0.1020,1.3417
2020-01-29,1.3346,-0.0326,1.3672
2020-01-28,1.3549,-0.0204,1.3753
2020-01-27,1.3946,0.0142,1.3805
2020-01-24,1.5055,0.1286,1.3769
2020-01-23,1.4938,0.1491,1.3447
2020-01-22,1.3859,0.0784,1.3075
2020-01-21,1.3318,0.0439,1.2879
2020-01-20,1.3350,0.0581,1.2769
2020-01-17,1.2637,0.0014,1.2624
2020-01-16,1.1829,-0.0792,1.2620
2020-01-15,1.2162,-0.0656,1.2818
2020-01-14,1.2879,-0.0104,1.2982
2020-01-13,1.3219,0.0211,1.3008
2020-01-10,1.2709,-0.0247,1.2955
2020-01-09,1.3134,0.0117,1.3017
2020-01-08,1.3670,0.0682,1.2988
2020-01-07,1.3706,0.0889,1.2817
2020-01-06,1.3930,0.1335,1.2595
2020-01-03,1.3983,0.1722,1.2261
2020-01-02,1.3796,0.1966,1.1831
2019-12-30,1.2950,0.1611,1.1339
2019-12-27,1.3015,0.2079,1.0936
2019-12-26,1.3001,0.2584,1.0417
2019-12-23,1.2009,0.2238,0.9771
2019-12-20,1.1353,0.2141,0.9211
2019-12-19,1.0747,0.2071,0.8676
2019-12-18,0.9889,0.1730,0.8158
2019-12-17,0.9199,0.1473,0.7726
2019-12-16,0.9163,0.1805,0.7357
2019-12-13,0.8667,0.1761,0.6906
2019-12-12,0.8113,0.1647,0.6466
2019-12-11,0.7490,0.1437,0.6054
2019-12-10,0.7208,0.1513,0.5695
2019-12-09,0.7486,0.2170,0.5316
2019-12-06,0.7539,0.2765,0.4774
2019-12-05,0.6214,0.2131,0.4082
2019-12-04,0.5633,0.2084,0.3550
2019-12-03,0.4892,0.1864,0.3029
2019-12-02,0.4140,0.1577,0.2563
2019-11-29,0.3363,0.1195,0.2169
2019-11-28,0.2934,0.1064,0.1870
2019-11-27,0.2375,0.0771,0.1604
2019-11-26,0.2247,0.0836,0.1411
2019-11-25,0.2204,0.1002,0.1202
2019-11-22,0.1822,0.0870,0.0952
2019-11-21,0.1297,0.0563,0.0734
2019-11-19,0.0863,0.0270,0.0593
2019-11-18,0.0786,0.0259,0.0526
2019-11-14,0.0176,-0.0285,0.0461
2019-11-13,-0.1246,-0.1778,0.0532
2019-11-12,-0.0588,-0.1566,0.0977
2019-11-11,0.0035,-0.1334,0.1368
2019-11-08,-0.0229,-0.1931,0.1702
2019-11-07,0.1097,-0.1087,0.2184
2019-11-06,0.1481,-0.0975,0.2456
2019-11-05,0.1746,-0.0954,0.2700
2019-11-04,0.2944,0.0006,0.2938
2019-11-01,0.2873,-0.0064,0.2937
2019-10-31,0.2109,-0.0844,0.2953
2019-10-30,0.2040,-0.1124,0.3164
2019-10-29,0.2401,-0.1045,0.3445
2019-10-28,0.2897,-0.0809,0.3706
2019-10-25,0.3652,-0.0256,0.3909
2019-10-24,0.4104,0.0132,0.3973
2019-10-23,0.5874,0.1934,0.3940
2019-10-22,0.6194,0.2738,0.3456
2019-10-21,0.5678,0.2906,0.2772
2019-10-18,0.4753,0.2708,0.2045
2019-10-17,0.4308,0.2940,0.1368
2019-10-16,0.3199,0.2565,0.0633
2019-10-15,0.1675,0.1683,-0.0008
2019-10-14,0.0246,0.0675,-0.0429
2019-10-11,-0.1002,-0.0404,-0.0597
2019-10-10,-0.2131,-0.1635,-0.0496
2019-10-09,-0.1811,-0.1724,-0.0088
2019-10-08,-0.1723,-0.2066,0.0343
2019-10-07,-0.1065,-0.1925,0.0860
2019-10-04,-0.0190,-0.1531,0.1341
2019-10-03,0.0359,-0.1365,0.1724
2019-10-02,0.1238,-0.0827,0.2065
2019-10-01,0.2617,0.0346,0.2271
2019-09-30,0.2323,0.0138,0.2185
2019-09-27,0.1935,-0.0216,0.2151
2019-09-26,0.1706,-0.0499,0.2205
2019-09-25,0.1501,-0.0828,0.2329
2019-09-24,0.1828,-0.0708,0.2536
2019-09-23,0.2189,-0.0524,0.2713
2019-09-20,0.2669,-0.0175,0.2844
2019-09-19,0.2581,-0.0307,0.2888
2019-09-18,0.1861,-0.1104,0.2965
2019-09-17,0.1892,-0.1349,0.3241
2019-09-16,0.2178,-0.1399,0.3578
2019-09-13,0.3256,-0.0671,0.3928
2019-09-12,0.4483,0.0387,0.4096
2019-09-11,0.4445,0.0447,0.3999
2019-09-10,0.3600,-0.0287,0.3887
2019-09-09,0.4077,0.0119,0.3959
2019-09-06,0.4587,0.0657,0.3929
2019-09-05,0.4681,0.0916,0.3765
2019-09-04,0.4449,0.0913,0.3536
2019-09-03,0.3813,0.0505,0.3308
2019-09-02,0.3729,0.0548,0.3181
2019-08-30,0.2968,-0.0077,0.3044
2019-08-29,0.1739,-0.1325,0.3063
2019-08-28,0.0521,-0.2873,0.3395
2019-08-27,0.0558,-0.3555,0.4113
2019-08-26,0.1789,-0.3213,0.5002
2019-08-23,0.3731,-0.2074,0.5805
2019-08-22,0.5137,-0.1186,0.6323
2019-08-21,0.5829,-0.0791,0.6620
2019-08-20,0.5537,-0.1281,0.6818
2019-08-19,0.5929,-0.1208,0.7138
2019-08-16,0.6242,-0.1198,0.7440
2019-08-15,0.6388,-0.1352,0.7740
