time,MACD,MACD_Hist,MACD_Signal
2020-05-05,2.6439,0.7083,1.9356
2020-05-04,2.5496,0.7911,1.7585
2020-04-30,2.4197,0.8589,1.5607
2020-04-29,2.4172,1.0712,1.3460
2020-04-28,2.2851,1.2069,1.0782
2020-04-27,1.9632,1.1868,0.7765
2020-04-24,1.7580,1.2782,0.4798
2020-04-23,1.6863,1.5261,0.1602
2020-04-22,1.3575,1.5788,-0.2213
2020-04-20,0.8081,1.4241,-0.6160
2020-04-17,0.3059,1.2779,-0.9720
2020-04-16,0.0565,1.3480,-1.2915
2020-04-15,-0.3624,1.2661,-1.6285
2020-04-14,-0.7167,1.2284,-1.9450
2020-04-13,-1.0617,1.1905,-2.2521
2020-04-09,-1.3858,1.1639,-2.5498
2020-04-08,-1.7529,1.0878,-2.8407
2020-04-07,-2.2276,0.8851,-3.1127
2020-04-06,-2.6105,0.7234,-3.3340
2020-04-03,-2.8690,0.6459,-3.5148
2020-04-02,-2.8862,0.7901,-3.6763
2020-04-01,-2.9019,0.9719,-3.8738
2020-03-31,-3.0417,1.0751,-4.1168
2020-03-30,-3.3295,1.0561,-4.3856
2020-03-27,-3.9142,0.7354,-4.6496
2020-03-26,-4.3388,0.4946,-4.8334
2020-03-25,-5.0336,-0.0765,-4.9571
2020-03-24,-5.7331,-0.7951,-4.9380
2020-03-23,-6.2044,-1.4652,-4.7392
2020-03-20,-6.0571,-1.6842,-4.3729
2020-03-19,-5.8257,-1.8738,-3.9519
2020-03-18,-5.4354,-1.9520,-3.4834
2020-03-17,-4.6810,-1.6856,-2.9954
2020-03-16,-4.3384,-1.7644,-2.5740
2020-03-13,-3.6852,-1.5523,-2.1329
2020-03-12,-3.6054,-1.8605,-1.7448
2020-03-11,-2.6365,-1.3568,-1.2797
2020-03-10,-2.2860,-1.3455,-0.9405
2020-03-09,-2.2035,-1.5993,-0.6041
2020-03-06,-1.3910,-1.1867,-0.2043
2020-03-05,-0.8399,-0.9322,0.0924
2020-03-04,-0.3747,-0.7001,0.3254
2020-03-03,-0.2499,-0.7503,0.5004
2020-03-02,-0.1278,-0.8158,0.6880
2020-02-28,0.0606,-0.8314,0.8920
2020-02-27,0.5067,-0.5931,1.0998
2020-02-21,1.0963,-0.1518,1.2481
2020-02-20,1.2016,-0.0845,1.2860
2020-02-19,1.3094,0.0022,1.3072
2020-02-18,1.2935,-0.0132,1.3066
2020-02-17,1.2177,-0.0922,1.3099
2020-02-14,1.0391,-0.2938,1.3330
2020-02-13,1.0527,-0.3537,1.4064
2020-02-12,0.9814,-0.5135,1.4949
2020-02-11,0.9891,-0.6341,1.6232
2020-02-10,1.1546,-0.6272,1.7818
2020-02-07,1.5415,-0.3971,1.9386
2020-02-06,1.8245,-0.2134,2.0378
2020-02-05,1.9963,-0.0949,2.0912
2020-02-04,2.0368,-0.0781,2.1149
2020-02-03,2.0223,-0.1121,2.1344
2020-01-31,2.0894,-0.0731,2.1625
2020-01-30,2.2190,0.0382,2.1807
2020-01-29,2.2808,0.1096,2.1712
2020-01-28,2.2461,0.1024,2.1438
2020-01-27,2.1468,0.0287,2.1182
2020-01-24,2.3665,0.2556,2.1110
2020-01-23,2.3733,0.3262,2.0471
2020-01-22,2.3037,0.3381,1.9656
2020-01-21,2.2718,0.3908,1.8810
2020-01-20,2.1758,0.3925,1.7833
2020-01-17,2.0124,0.3272,1.6852
2020-01-16,1.9426,0.3392,1.6034
2020-01-15,1.9158,0.3973,1.5186
2020-01-14,1.8335,0.4142,1.4193
2020-01-13,1.6670,0.3513,1.3157
2020-01-10,1.4070,0.1790,1.2279
2020-01-09,1.3019,0.1188,1.1831
2020-01-08,1.1205,-0.0330,1.1535
2020-01-07,1.0548,-0.1069,1.1617
2020-01-06,1.1083,-0.0801,1.1884
2020-01-03,1.1463,-0.0622,1.2085
2020-01-02,1.1822,-0.0418,1.2240
2019-12-30,1.1660,-0.0685,1.2345
2019-12-27,1.2943,0.0427,1.2516
2019-12-26,1.3343,0.0934,1.2409
2019-12-23,1.3294,0.1119,1.2175
2019-12-20,1.3395,0.1499,1.1896
2019-12-19,1.3480,0.1960,1.1521
2019-12-18,1.3363,0.2332,1.1031
2019-12-17,1.3111,0.2663,1.0448
2019-12-16,1.3261,0.3479,0.9782
2019-12-13,1.1813,0.2900,0.8912
