time,RSI
2020-05-05,65.8161
2020-05-04,65.2874
2020-04-30,61.0599
2020-04-29,64.3896
2020-04-28,68.7153
2020-04-27,64.5359
2020-04-24,60.1158
2020-04-23,67.5903
2020-04-22,71.7385
2020-04-20,68.3922
2020-04-17,60.4776
2020-04-16,64.1179
2020-04-15,60.3477
2020-04-14,58.1626
2020-04-13,55.8824
2020-04-09,55.3066
2020-04-08,56.0921
2020-04-07,52.4236
2020-04-06,48.5103
2020-04-03,42.5220
2020-04-02,43.1158
2020-04-01,45.7266
2020-03-31,48.2225
2020-03-30,52.6969
2020-03-27,48.4048
2020-03-26,51.8578
2020-03-25,50.1676
2020-03-24,45.0175
2020-03-23,32.8447
2020-03-20,33.2959
2020-03-19,33.1079
2020-03-18,30.0201
2020-03-17,35.7982
2020-03-16,33.2317
2020-03-13,41.0369
2020-03-12,25.0549
2020-03-11,34.6482
2020-03-10,40.6857
2020-03-09,19.1991
2020-03-06,25.4089
2020-03-05,29.6863
2020-03-04,41.6358
2020-03-03,42.9720
2020-03-02,41.7092
2020-02-28,32.6232
2020-02-27,31.3422
2020-02-21,51.6301
2020-02-20,52.0704
2020-02-19,58.6762
2020-02-18,60.5621
2020-02-17,63.7912
2020-02-14,55.1899
2020-02-13,58.7804
2020-02-12,54.6904
2020-02-11,47.6581
2020-02-10,37.8297
2020-02-07,45.3278
2020-02-06,53.5966
2020-02-05,63.1173
2020-02-04,65.6892
2020-02-03,61.2258
2020-01-31,58.0532
2020-01-30,62.4641
2020-01-29,67.6878
2020-01-28,69.1369
2020-01-27,54.2820
2020-01-24,74.8088
2020-01-23,79.7768
2020-01-22,76.9219
2020-01-21,79.4161
2020-01-20,80.3757
2020-01-17,75.4891
2020-01-16,72.1188
2020-01-15,74.1817
2020-01-14,77.5769
2020-01-13,79.8006
2020-01-10,72.2324
2020-01-09,75.1525
2020-01-08,67.6214
2020-01-07,58.0269
2020-01-06,59.5081
2020-01-03,59.2406
2020-01-02,63.3869
2019-12-30,52.2424
2019-12-27,63.1792
2019-12-26,67.6330
2019-12-23,65.5053
2019-12-20,64.6079
2019-12-19,64.9118
2019-12-18,64.4604
2019-12-17,61.2168
2019-12-16,74.6039
2019-12-13,73.7677
2019-12-12,68.7795
2019-12-11,67.6637
2019-12-10,62.9985
2019-12-09,58.9160
2019-12-06,56.3132
