time,MACD,MACD_Hist,MACD_Signal
2020-05-04,2.3937,0.4649,1.9288
2020-05-01,2.6529,0.8402,1.8126
2020-04-30,2.9246,1.3221,1.6026
2020-04-29,2.8910,1.6189,1.2721
2020-04-28,2.3640,1.4967,0.8673
2020-04-27,1.5196,1.0265,0.4932
2020-04-24,0.8230,0.5864,0.2365
2020-04-23,0.5989,0.5089,0.0899
2020-04-22,0.5760,0.6133,-0.0373
2020-04-21,0.6118,0.8024,-0.1906
2020-04-20,0.8501,1.2413,-0.3912
2020-04-17,0.9342,1.6358,-0.7016
2020-04-16,0.7440,1.8545,-1.1105
2020-04-15,0.6491,2.2232,-1.5741
2020-04-14,0.4921,2.6221,-2.1299
2020-04-13,-0.2225,2.5630,-2.7854
2020-04-09,-0.7505,2.6757,-3.4262
2020-04-08,-1.5540,2.5411,-4.0951
2020-04-07,-2.6802,2.0502,-4.7304
2020-04-06,-3.6317,1.6112,-5.2429
2020-04-03,-4.3963,1.2495,-5.6457
2020-04-02,-4.6046,1.3535,-5.9581
2020-04-01,-5.2230,1.0735,-6.2965
2020-03-31,-5.4506,1.1143,-6.5649
2020-03-30,-6.0050,0.8384,-6.8435
2020-03-27,-6.7506,0.3025,-7.0531
2020-03-26,-7.1458,-0.0171,-7.1287
2020-03-25,-7.8456,-0.7212,-7.1244
2020-03-24,-8.1522,-1.2081,-6.9441
2020-03-23,-8.5452,-1.9032,-6.6421
2020-03-20,-7.4105,-1.2443,-6.1663
2020-03-19,-6.5692,-0.7140,-5.8552
2020-03-18,-6.6848,-1.0081,-5.6767
2020-03-17,-6.6852,-1.2605,-5.4247
2020-03-16,-6.3257,-1.2161,-5.1096
2020-03-13,-5.4155,-0.6100,-4.8055
2020-03-12,-5.2716,-0.6185,-4.6530
2020-03-11,-4.1864,0.3120,-4.4984
2020-03-10,-4.1313,0.4451,-4.5764
2020-03-09,-4.6179,0.0697,-4.6877
2020-03-06,-4.2311,0.4740,-4.7051
2020-03-05,-4.6522,0.1714,-4.8236
2020-03-04,-4.8939,-0.0274,-4.8665
2020-03-03,-5.3930,-0.5333,-4.8596
2020-03-02,-5.0616,-0.3353,-4.7263
2020-02-28,-5.3572,-0.7147,-4.6425
2020-02-27,-5.2716,-0.8078,-4.4638
2020-02-26,-5.1794,-0.9176,-4.2619
2020-02-25,-4.8642,-0.8318,-4.0325
2020-02-24,-4.1763,-0.3518,-3.8245
2020-02-21,-3.8180,-0.0814,-3.7366
2020-02-20,-3.7510,-0.0347,-3.7162
2020-02-19,-3.7769,-0.0693,-3.7076
2020-02-18,-3.8344,-0.1442,-3.6902
2020-02-14,-3.8052,-0.1511,-3.6542
2020-02-13,-3.9295,-0.3131,-3.6164
2020-02-12,-3.9038,-0.3656,-3.5381
2020-02-11,-4.2254,-0.7787,-3.4467
2020-02-10,-4.4370,-1.1850,-3.2521
2020-02-07,-4.4084,-1.4526,-2.9558
2020-02-06,-4.3007,-1.7080,-2.5927
2020-02-05,-4.3867,-2.2210,-2.1657
2020-02-04,-4.3757,-2.7653,-1.6104
2020-02-03,-3.7797,-2.8606,-0.9191
2020-01-31,-2.8979,-2.6939,-0.2039
2020-01-30,-1.9409,-2.4105,0.4696
2020-01-29,-1.0833,-2.1554,1.0722
2020-01-28,0.0791,-1.5320,1.6110
2020-01-27,1.1970,-0.7970,1.9940
2020-01-24,1.5832,-0.6101,2.1933
2020-01-23,1.7965,-0.5493,2.3458
2020-01-22,2.0843,-0.3988,2.4831
2020-01-21,2.3919,-0.1909,2.5828
2020-01-17,2.6112,-0.0194,2.6306
2020-01-16,2.6536,0.0182,2.6354
2020-01-15,2.7037,0.0728,2.6309
2020-01-14,2.8535,0.2409,2.6127
2020-01-13,2.8414,0.2890,2.5525
2020-01-10,2.8304,0.3502,2.4802
2020-01-09,2.8211,0.4284,2.3927
2020-01-08,2.6938,0.4082,2.2856
2020-01-07,2.5501,0.3666,2.1835
2020-01-06,2.6076,0.5158,2.0919
2020-01-03,2.5698,0.6069,1.9629
2020-01-02,2.5015,0.6903,1.8112
2019-12-31,2.2200,0.5814,1.6386
