time,RSI
2020-05-04,51.6441
2020-05-01,51.9903
2020-04-30,57.7767
2020-04-29,66.4821
2020-04-28,69.4100
2020-04-27,65.3856
2020-04-24,56.7949
2020-04-23,52.5386
2020-04-22,51.3760
2020-04-21,48.2379
2020-04-20,51.3084
2020-04-17,55.6702
2020-04-16,53.6890
2020-04-15,54.0514
2020-04-14,61.1677
2020-04-13,57.3745
2020-04-09,59.2981
2020-04-08,60.9095
2020-04-07,57.1030
2020-04-06,53.4812
2020-04-03,46.2438
2020-04-02,50.4562
2020-04-01,45.2605
2020-03-31,48.4942
2020-03-30,49.6597
2020-03-27,45.3338
2020-03-26,47.7463
2020-03-25,43.4734
2020-03-24,44.3026
2020-03-23,28.9550
2020-03-20,32.8004
2020-03-19,41.7770
2020-03-18,41.2148
2020-03-17,38.3960
2020-03-16,34.5303
2020-03-13,41.7188
2020-03-12,32.1591
2020-03-11,42.8193
2020-03-10,49.3509
2020-03-09,35.9419
2020-03-06,47.7502
2020-03-05,43.8739
2020-03-04,47.5137
2020-03-03,29.6504
2020-03-02,40.7657
2020-02-28,29.1520
2020-02-27,30.4602
2020-02-26,26.5932
2020-02-25,19.5100
2020-02-24,25.4899
2020-02-21,32.3464
2020-02-20,35.5492
2020-02-19,37.1326
2020-02-18,35.6103
2020-02-14,39.6071
2020-02-13,35.8014
2020-02-12,43.8365
2020-02-11,39.7713
2020-02-10,32.2521
2020-02-07,32.0197
2020-02-06,36.5509
2020-02-05,34.8985
2020-02-04,17.2749
2020-02-03,14.6184
2020-01-31,16.1002
2020-01-30,19.3904
2020-01-29,17.3774
2020-01-28,20.6325
2020-01-27,39.1701
2020-01-24,49.1321
2020-01-23,47.1645
2020-01-22,48.3552
2020-01-21,54.1220
2020-01-17,64.0261
2020-01-16,62.9681
2020-01-15,59.0466
2020-01-14,67.3433
2020-01-13,66.1311
2020-01-10,64.9606
2020-01-09,68.4127
2020-01-08,67.1873
2020-01-07,60.5986
2020-01-06,63.6314
2020-01-03,63.2404
2020-01-02,69.3584
2019-12-31,61.6454
2019-12-30,60.1578
2019-12-27,65.7176
2019-12-26,64.3274
2019-12-24,64.6443
2019-12-23,70.8965
2019-12-20,65.7304
2019-12-19,58.9123
2019-12-18,50.2871
2019-12-17,53.1857
2019-12-16,55.8242
2019-12-13,50.5465
2019-12-12,49.9145
2019-12-11,50.3679
2019-12-10,47.8081
2019-12-09,52.7255
2019-12-06,56.6918
2019-12-05,38.7348
2019-12-04,45.3351
2019-12-03,38.6432
2019-12-02,46.7480
2019-11-29,51.4470
2019-11-27,54.1924
2019-11-26,50.2685
2019-11-25,53.2745
2019-11-22,45.6252
2019-11-21,36.9722
2019-11-20,43.6570
2019-11-19,53.2435
2019-11-18,52.7947
2019-11-15,57.5539
2019-11-14,54.9635
2019-11-13,53.9518
2019-11-12,54.7973
2019-11-11,53.1334
2019-11-08,61.6366
2019-11-07,65.9151
2019-11-06,65.0873
2019-11-05,68.7581
2019-11-04,68.2892
2019-11-01,61.5338
2019-10-31,51.7190
2019-10-30,61.0032
2019-10-29,62.3138
2019-10-28,63.0060
2019-10-25,58.0202
2019-10-24,49.3287
2019-10-23,70.9555
2019-10-22,68.7670
2019-10-21,65.7180
2019-10-18,59.3839
2019-10-17,60.9542
2019-10-16,57.8538
2019-10-15,60.3926
2019-10-14,54.8923
2019-10-11,48.6275
2019-10-10,26.5790
2019-10-09,19.4891
2019-10-08,18.1417
2019-10-07,21.7915
2019-10-04,25.6311
2019-10-03,22.4776
2019-10-02,23.1053
2019-10-01,27.6169
2019-09-30,45.0907
2019-09-27,45.6521
2019-09-26,42.1625
2019-09-25,42.7626
2019-09-24,45.2881
2019-09-23,52.9741
2019-09-20,52.9741
2019-09-19,54.1158
2019-09-18,55.3983
2019-09-17,57.4860
2019-09-16,62.9045
2019-09-13,69.4191
2019-09-12,67.9685
2019-09-11,63.4300
2019-09-10,66.0582
2019-09-09,60.5510
2019-09-06,56.1667
2019-09-05,56.9933
2019-09-04,46.9055
2019-09-03,42.7510
2019-08-30,50.3948
2019-08-29,46.6005
2019-08-28,37.7456
2019-08-27,31.1651
2019-08-26,31.7867
2019-08-23,30.8813
2019-08-22,39.7210
2019-08-21,40.2780
2019-08-20,39.8846
2019-08-19,43.4544
2019-08-16,39.8319
2019-08-15,26.1471
2019-08-14,28.6241
2019-08-13,38.8231
2019-08-12,28.2915
2019-08-09,30.6302
2019-08-08,31.9307
2019-08-07,29.8579
2019-08-06,29.9570
2019-08-05,31.2922
2019-08-02,40.8649
2019-08-01,47.1052
2019-07-31,50.4618
2019-07-30,58.4875
2019-07-29,56.6316
2019-07-26,50.2328
2019-07-25,62.6524
2019-07-24,67.3079
2019-07-23,63.7359
2019-07-22,57.3836
2019-07-19,52.0560
2019-07-18,53.3875
2019-07-17,58.1794
2019-07-16,64.0262
2019-07-15,56.0551
2019-07-12,57.6294
2019-07-11,45.8604
2019-07-10,32.8147
2019-07-09,32.8147
2019-07-08,41.2218
2019-07-05,50.6194
2019-07-03,64.6969
2019-07-02,61.6007
2019-07-01,64.1867
2019-06-28,60.6354
2019-06-27,54.2086
2019-06-26,55.9051
2019-06-25,56.5336
2019-06-24,62.1980
2019-06-21,62.1221
2019-06-20,64.4113
2019-06-19,56.6354
2019-06-18,60.7953
2019-06-17,43.7896
2019-06-14,43.3981
2019-06-13,51.0827
2019-06-12,51.6929
2019-06-11,51.3661
2019-06-10,49.4582
2019-06-07,44.1114
2019-06-06,37.4070
2019-06-05,34.1335
2019-06-04,34.9659
2019-06-03,17.4714
2019-05-31,16.0851
2019-05-30,16.8126
2019-05-29,17.5169
2019-05-28,19.2424
2019-05-24,21.9804
2019-05-23,21.1699
2019-05-22,25.3374
2019-05-21,15.9482
2019-05-20,11.6450
2019-05-17,13.3029
2019-05-16,15.1639
2019-05-15,16.9793
2019-05-14,17.8889
2019-05-13,13.5288
2019-05-10,14.6263
2019-05-09,12.5576
2019-05-08,14.3427
2019-05-07,14.6426
2019-05-06,17.0107
2019-05-03,18.5089
2019-05-02,17.0920
2019-05-01,17.8777
2019-04-30,20.0381
2019-04-29,20.4916
2019-04-26,21.4008
2019-04-25,19.3041
2019-04-24,68.1443
2019-04-23,70.5225
2019-04-22,68.2425
2019-04-18,69.9675
2019-04-17,67.2503
2019-04-16,65.5776
2019-04-15,63.1268
2019-04-12,69.7704
2019-04-11,60.6523
2019-04-10,56.3243
2019-04-09,55.8627
2019-04-08,69.3106
2019-04-05,71.2789
2019-04-04,70.5454
2019-04-03,66.7209
2019-04-02,64.5399
2019-04-01,64.1380
2019-03-29,53.8258
2019-03-28,56.4601
2019-03-27,52.6503
2019-03-26,52.8935
2019-03-25,40.4130
2019-03-22,44.2056
2019-03-21,62.1156
2019-03-20,58.0692
2019-03-19,61.3083
2019-03-18,59.8236
2019-03-15,58.7209
2019-03-14,56.9031
2019-03-13,55.0717
2019-03-12,52.9210
2019-03-11,56.6076
2019-03-08,38.0556
2019-03-07,33.8327
2019-03-06,41.0158
2019-03-05,43.9891
2019-03-04,54.2712
2019-03-01,56.7622
2019-02-28,56.4768
2019-02-27,62.5726
2019-02-26,63.8973
2019-02-25,68.3631
2019-02-22,66.1828
2019-02-21,63.2551
2019-02-20,65.7181
2019-02-19,65.5274
2019-02-15,66.7814
2019-02-14,60.8997
2019-02-13,75.5792
2019-02-12,71.5155
2019-02-11,61.0283
2019-02-08,58.3720
2019-02-07,58.4378
2019-02-06,67.8275
2019-02-05,65.1508
2019-02-04,63.4324
2019-02-01,61.4588
2019-01-31,64.8804
2019-01-30,63.2151
2019-01-29,59.3032
2019-01-28,51.8548
2019-01-25,58.8322
2019-01-24,51.4759
2019-01-23,50.9390
2019-01-22,50.8752
2019-01-18,59.1889
2019-01-17,50.8572
2019-01-16,45.4737
2019-01-15,44.1401
2019-01-14,50.8332
2019-01-11,50.9192
2019-01-10,53.7659
2019-01-09,51.4828
2019-01-08,50.4322
2019-01-07,49.1535
2019-01-04,49.7893
2019-01-03,37.2359
2019-01-02,47.3740
2018-12-31,46.6282
2018-12-28,44.6123
2018-12-27,46.4055
2018-12-26,39.0441
2018-12-24,22.5747
2018-12-21,26.9800
2018-12-20,30.8087
2018-12-19,33.8845
2018-12-18,40.3485
2018-12-17,36.2055
2018-12-14,41.0415
2018-12-13,52.6851
2018-12-12,47.5306
2018-12-11,41.7452
2018-12-10,43.3184
2018-12-07,43.1390
2018-12-06,51.2396
2018-12-04,50.3321
2018-12-03,65.2739
2018-11-30,64.0438
2018-11-29,58.7882
2018-11-28,58.4302
2018-11-27,52.2335
2018-11-26,50.7304
2018-11-23,44.9863
2018-11-21,48.1038
2018-11-20,51.1774
2018-11-19,60.9399
2018-11-16,68.9215
2018-11-15,63.8214
2018-11-14,51.9308
2018-11-13,52.6354
2018-11-12,50.0168
2018-11-09,58.9746
2018-11-08,66.8579
2018-11-07,62.6522
2018-11-06,50.4614
2018-11-05,44.9241
2018-11-02,43.7086
2018-11-01,42.1684
2018-10-31,37.0159
2018-10-30,35.8346
2018-10-29,24.4409
2018-10-26,21.8306
2018-10-25,21.8630
2018-10-24,20.6720
2018-10-23,27.3503
2018-10-22,40.2088
2018-10-19,35.5335
2018-10-18,36.4335
2018-10-17,40.9212
2018-10-16,39.3389
2018-10-15,29.7748
2018-10-12,27.6239
2018-10-11,23.1481
2018-10-10,28.9752
2018-10-09,44.2832
2018-10-08,57.2953
2018-10-05,53.6321
2018-10-04,56.0142
2018-10-03,63.5134
2018-10-02,63.3986
2018-10-01,54.2802
2018-09-28,49.5216
2018-09-27,47.5289
2018-09-26,50.3935
2018-09-25,49.1582
2018-09-24,57.8049
2018-09-21,68.4525
2018-09-20,66.3560
2018-09-19,61.7111
2018-09-18,57.8367
2018-09-17,52.3819
2018-09-14,47.3216
2018-09-13,50.7644
2018-09-12,43.3452
2018-09-11,61.3815
2018-09-10,67.0795
2018-09-07,66.1954
2018-09-06,66.9597
2018-09-05,65.0136
2018-09-04,56.9051
2018-08-31,66.9330
2018-08-30,65.2711
2018-08-29,66.2993
2018-08-28,64.1160
2018-08-27,61.7331
2018-08-24,54.1622
2018-08-23,46.1508
2018-08-22,50.9117
2018-08-21,55.8196
2018-08-20,52.6909
2018-08-17,53.2199
2018-08-16,48.8124
2018-08-15,43.6182
2018-08-14,40.9525
2018-08-13,38.9211
2018-08-10,43.0795
2018-08-09,49.3979
2018-08-08,55.5326
2018-08-07,59.5667
2018-08-06,55.7866
2018-08-03,57.3080
2018-08-02,53.9353
2018-08-01,57.4638
2018-07-31,72.2036
2018-07-30,59.3977
2018-07-27,68.4662
2018-07-26,70.7486
2018-07-25,63.4857
2018-07-24,52.5198
2018-07-23,45.1470
2018-07-20,59.1096
2018-07-19,57.7873
2018-07-18,60.8219
2018-07-17,60.4166
2018-07-16,57.4938
2018-07-13,57.7738
2018-07-12,52.2088
2018-07-11,46.6270
2018-07-10,61.6402
2018-07-09,58.6441
2018-07-06,46.4882
2018-07-05,45.9291
2018-07-03,38.6723
2018-07-02,37.1129
2018-06-29,40.7202
2018-06-28,37.2917
2018-06-27,32.3627
2018-06-26,36.4379
2018-06-25,32.8627
2018-06-22,34.4267
2018-06-21,30.2437
2018-06-20,35.5798
2018-06-19,38.7266
2018-06-18,54.5786
2018-06-15,58.1649
2018-06-14,53.5653
2018-06-13,59.0605
2018-06-12,59.1907
2018-06-11,59.9836
2018-06-08,65.8159
2018-06-07,62.4150
2018-06-06,59.5305
2018-06-05,52.2851
2018-06-04,51.8770
2018-06-01,47.6454
2018-05-31,40.0254
2018-05-30,43.5287
2018-05-29,32.7945
2018-05-25,40.5591
2018-05-24,41.5825
2018-05-23,38.8795
2018-05-22,39.5472
2018-05-21,46.1856
2018-05-18,36.5684
2018-05-17,39.7664
2018-05-16,39.2541
2018-05-15,44.2181
2018-05-14,53.4878
2018-05-11,51.8611
2018-05-10,51.5305
2018-05-09,47.5133
2018-05-08,43.0831
2018-05-07,39.0009
2018-05-04,36.5087
2018-05-03,25.2732
2018-05-02,21.2517
2018-05-01,21.7152
2018-04-30,19.8081
2018-04-27,21.0771
2018-04-26,21.7812
2018-04-25,23.0305
2018-04-24,24.6988
2018-04-23,42.5792
2018-04-20,46.4131
2018-04-19,48.7363
2018-04-18,50.1113
2018-04-17,51.2177
2018-04-16,46.7838
2018-04-13,42.4929
2018-04-12,43.8052
2018-04-11,39.9276
2018-04-10,43.3404
2018-04-09,35.5372
2018-04-06,34.4461
2018-04-05,41.7351
2018-04-04,39.7513
2018-04-03,37.6335
2018-04-02,31.0547
2018-03-29,37.7138
2018-03-28,32.0503
2018-03-27,30.7766
2018-03-26,34.5816
2018-03-23,25.2998
2018-03-22,31.7982
2018-03-21,47.0881
2018-03-20,43.3086
2018-03-19,41.3220
2018-03-16,51.6892
2018-03-15,48.9392
2018-03-14,45.6824
2018-03-13,51.8628
2018-03-12,56.5436
2018-03-09,59.9271
2018-03-08,51.4814
2018-03-07,50.0245
2018-03-06,46.4336
2018-03-05,44.8463
2018-03-02,40.2740
2018-03-01,41.5051
2018-02-28,47.0723
2018-02-27,55.5466
2018-02-26,61.9458
2018-02-23,51.2307
2018-02-22,49.3935
2018-02-21,42.0331
2018-02-20,46.6532
2018-02-16,49.3563
2018-02-15,46.2001
2018-02-14,40.9161
2018-02-13,39.7281
2018-02-12,35.7880
2018-02-09,28.0208
2018-02-08,23.1436
2018-02-07,31.7359
2018-02-06,32.1954
2018-02-05,27.4922
2018-02-02,45.1721
2018-02-01,51.1441
2018-01-31,57.4630
2018-01-30,60.1816
2018-01-29,73.6625
2018-01-26,83.5333
2018-01-25,76.8528
2018-01-24,68.2063
2018-01-23,64.6993
2018-01-22,69.6604
2018-01-19,74.2128
2018-01-18,69.6006
2018-01-17,82.4658
2018-01-16,76.4694
2018-01-12,75.8745
2018-01-11,70.5056
2018-01-10,66.9163
2018-01-09,67.8049
2018-01-08,63.1130
2018-01-05,67.7659
2018-01-04,61.7072
2018-01-03,46.8066
2018-01-02,46.8599
2017-12-29,45.3481
2017-12-28,46.9049
2017-12-27,48.9803
2017-12-26,45.5951
2017-12-22,42.2865
2017-12-21,42.4478
2017-12-20,49.7611
2017-12-19,55.6932
2017-12-18,55.8154
2017-12-15,54.5590
2017-12-14,54.8262
2017-12-13,58.1255
2017-12-12,51.7000
2017-12-11,60.7145
2017-12-08,57.8708
2017-12-07,65.8244
2017-12-06,62.3238
2017-12-05,61.4294
2017-12-04,64.8064
2017-12-01,71.4917
2017-11-30,79.2374
2017-11-29,72.2659
2017-11-28,67.7435
2017-11-27,64.1392
2017-11-24,57.2247
2017-11-22,57.9930
2017-11-21,68.3581
2017-11-20,62.0316
2017-11-17,55.4666
2017-11-16,55.7108
2017-11-15,48.8927
2017-11-14,56.3525
2017-11-13,52.6098
2017-11-10,49.9294
2017-11-09,53.2378
2017-11-08,58.5904
2017-11-07,59.4118
2017-11-06,60.3111
2017-11-03,67.0177
2017-11-02,67.0529
2017-11-01,63.5248
2017-10-31,63.5546
2017-10-30,65.8689
2017-10-27,77.2099
2017-10-26,75.3626
2017-10-25,94.3716
2017-10-24,93.3869
2017-10-23,81.9934
2017-10-20,81.4895
2017-10-19,76.0295
2017-10-18,72.6427
2017-10-17,70.6413
2017-10-16,80.5323
2017-10-13,77.6255
2017-10-12,77.2277
2017-10-11,73.7363
2017-10-10,76.0688
2017-10-09,75.8685
2017-10-06,75.4455
2017-10-05,75.0769
2017-10-04,76.1051
2017-10-03,71.5459
2017-10-02,66.1507
2017-09-29,53.6534
2017-09-28,51.6889
2017-09-27,51.3175
2017-09-26,60.6030
2017-09-25,59.3209
2017-09-22,59.4951
2017-09-21,58.3197
2017-09-20,58.6548
2017-09-19,75.7158
2017-09-18,77.0383
2017-09-15,76.2737
2017-09-14,72.4004
2017-09-13,67.5889
2017-09-12,68.4189
2017-09-11,68.2316
2017-09-08,57.1763
2017-09-07,52.4422
2017-09-06,40.9262
2017-09-05,34.5981
2017-09-01,45.0770
2017-08-31,49.0126
2017-08-30,45.4601
2017-08-29,40.9330
2017-08-28,38.1738
2017-08-25,36.2511
2017-08-24,36.1970
2017-08-23,37.7847
2017-08-22,47.2454
2017-08-21,43.0603
2017-08-18,38.1071
2017-08-17,44.2949
2017-08-16,55.8127
2017-08-15,52.6201
2017-08-14,53.5135
2017-08-11,47.6623
2017-08-10,48.6536
2017-08-09,49.5817
2017-08-08,49.4080
2017-08-07,52.7096
2017-08-04,53.3771
2017-08-03,53.3010
2017-08-02,47.6399
2017-08-01,53.5632
2017-07-31,31.3359
2017-07-28,24.0108
2017-07-27,24.5472
2017-07-26,19.5477
2017-07-25,19.9679
2017-07-24,46.4683
2017-07-21,53.4480
2017-07-20,62.9046
2017-07-19,61.2296
2017-07-18,57.3140
2017-07-17,59.8624
2017-07-14,60.4508
2017-07-13,57.6180
2017-07-12,58.7884
2017-07-11,51.9246
2017-07-10,56.1870
2017-07-07,52.3715
2017-07-06,44.8280
2017-07-05,53.2385
2017-07-03,53.6026
2017-06-30,45.7838
2017-06-29,44.0237
2017-06-28,57.7767
2017-06-27,53.8412
2017-06-26,75.0527
2017-06-23,77.8824
2017-06-22,75.9705
2017-06-21,81.9729
2017-06-20,86.7948
2017-06-19,86.7948
2017-06-16,86.6420
2017-06-15,83.9221
2017-06-14,81.7236
2017-06-13,79.9923
2017-06-12,76.0979
2017-06-09,74.9230
2017-06-08,72.2843
2017-06-07,69.5777
2017-06-06,72.3112
2017-06-05,77.8878
2017-06-02,81.2288
2017-06-01,76.8541
2017-05-31,77.6862
2017-05-30,73.2821
2017-05-26,68.3857
2017-05-25,64.6649
2017-05-24,56.2597
2017-05-23,57.7060
2017-05-22,62.3980
2017-05-19,49.5783
2017-05-18,46.1649
2017-05-17,43.7153
2017-05-16,63.7524
2017-05-15,62.3353
2017-05-12,56.5474
2017-05-11,57.9074
2017-05-10,57.3431
2017-05-09,67.0502
2017-05-08,72.8521
2017-05-05,79.5892
2017-05-04,80.5728
2017-05-03,76.0132
2017-05-02,72.6306
2017-05-01,65.8542
2017-04-28,75.8815
2017-04-27,78.8476
2017-04-26,75.4195
2017-04-25,76.7303
2017-04-24,73.9044
2017-04-21,60.9626
2017-04-20,58.6648
2017-04-19,47.8602
2017-04-18,51.4064
2017-04-17,52.6672
2017-04-13,35.1955
2017-04-12,44.2148
2017-04-11,48.1262
2017-04-10,43.7704
2017-04-07,46.5038
2017-04-06,45.4080
2017-04-05,48.5400
2017-04-04,48.0796
2017-04-03,52.5666
2017-03-31,58.1922
2017-03-30,57.8595
2017-03-29,53.8974
2017-03-28,56.3615
2017-03-27,52.8574
2017-03-24,61.4175
2017-03-23,67.1246
2017-03-22,67.8451
2017-03-21,67.4918
2017-03-20,74.7159
2017-03-17,72.7790
2017-03-16,65.2152
2017-03-15,73.1581
2017-03-14,69.9368
2017-03-13,82.0601
2017-03-10,81.3001
2017-03-09,77.7086
2017-03-08,76.4992
2017-03-07,75.1948
2017-03-06,74.6213
2017-03-03,78.1294
2017-03-02,83.1036
2017-03-01,83.0534
2017-02-28,75.3321
2017-02-27,80.6055
2017-02-24,85.4100
2017-02-23,85.0573
2017-02-22,83.1398
2017-02-21,76.9626
2017-02-17,75.7023
2017-02-16,80.0173
2017-02-15,75.3087
2017-02-14,74.9986
2017-02-13,73.2448
2017-02-10,65.7037
2017-02-09,61.7667
2017-02-08,55.5502
2017-02-07,46.2711
2017-02-06,40.6536
2017-02-03,40.1416
2017-02-02,32.6448
2017-02-01,37.5122
2017-01-31,34.4000
2017-01-30,37.2634
2017-01-27,50.1666
2017-01-26,44.6390
2017-01-25,43.8750
2017-01-24,37.2984
2017-01-23,57.6000
2017-01-20,57.4358
2017-01-19,59.4025
2017-01-18,58.1116
2017-01-17,48.5869
2017-01-13,49.6610
2017-01-12,50.0440
2017-01-11,53.3782
2017-01-10,43.5190
2017-01-09,48.3677
2017-01-06,56.2097
2017-01-05,52.4515
2017-01-04,57.6775
2017-01-03,55.9283
2016-12-30,60.2443
2016-12-29,59.3761
2016-12-28,57.6599
2016-12-27,63.8385
2016-12-23,63.1186
2016-12-22,66.2610
2016-12-21,63.4595
2016-12-20,64.8440
2016-12-19,63.2362
2016-12-16,60.9045
2016-12-15,55.8259
2016-12-14,58.6049
2016-12-13,70.8004
2016-12-12,75.9683
2016-12-09,73.4964
2016-12-08,66.4464
2016-12-07,67.4989
2016-12-06,49.5009
2016-12-05,48.4119
2016-12-02,53.0444
2016-12-01,54.1969
2016-11-30,49.8316
2016-11-29,55.3234
2016-11-28,54.1308
2016-11-25,59.3599
2016-11-23,54.3935
2016-11-22,52.9754
2016-11-21,51.4158
2016-11-18,57.7843
2016-11-17,57.1541
2016-11-16,54.7207
2016-11-15,64.3758
2016-11-14,60.6489
2016-11-11,71.6571
2016-11-10,69.8408
2016-11-09,58.0864
2016-11-08,61.6439
2016-11-07,56.8499
2016-11-04,39.7114
2016-11-03,41.2962
2016-11-02,33.8260
2016-11-01,21.7717
2016-10-31,24.6373
2016-10-28,26.0168
2016-10-27,25.9374
2016-10-26,27.9635
2016-10-25,26.0219
2016-10-24,46.1904
2016-10-21,28.7314
2016-10-20,30.5456
2016-10-19,30.7886
2016-10-18,30.9659
2016-10-17,32.0460
2016-10-14,32.5171
2016-10-13,30.1289
2016-10-12,27.9069
2016-10-11,27.6307
2016-10-10,31.6085
2016-10-07,32.1506
2016-10-06,32.9812
2016-10-05,34.9471
2016-10-04,31.4666
2016-10-03,40.7531
2016-09-30,44.9848
2016-09-29,41.0001
2016-09-28,49.2952
2016-09-27,43.2954
2016-09-26,41.6082
2016-09-23,46.7599
2016-09-22,57.7543
2016-09-21,56.7878
2016-09-20,48.7043
2016-09-19,44.5781
2016-09-16,35.8123
2016-09-15,41.2204
2016-09-14,35.6780
2016-09-13,37.1402
2016-09-12,44.5533
2016-09-09,29.1244
2016-09-08,53.3463
2016-09-07,50.4348
2016-09-06,56.9199
2016-09-02,60.3635
2016-09-01,54.4867
2016-08-31,48.3409
2016-08-30,56.8349
2016-08-29,60.5156
2016-08-26,51.7590
2016-08-25,53.4220
2016-08-24,52.0350
2016-08-23,55.1659
2016-08-22,49.8895
2016-08-19,54.3286
2016-08-18,51.2178
2016-08-17,56.8055
2016-08-16,52.6997
2016-08-15,64.4501
2016-08-12,62.7841
2016-08-11,70.2416
2016-08-10,56.2864
2016-08-09,52.3168
2016-08-08,54.2769
2016-08-05,54.1956
2016-08-04,47.8545
2016-08-03,52.7873
2016-08-02,52.6331
2016-08-01,52.1408
2016-07-29,52.6331
2016-07-28,50.3422
2016-07-27,52.0720
2016-07-26,48.7374
2016-07-25,61.0918
2016-07-22,67.4157
2016-07-21,66.7268
2016-07-20,76.0519
2016-07-19,75.5753
2016-07-18,75.2551
2016-07-15,77.2891
2016-07-14,76.2949
2016-07-13,72.6532
2016-07-12,72.5408
2016-07-11,69.9892
2016-07-08,67.9124
2016-07-07,61.9157
2016-07-06,63.2877
2016-07-05,65.4016
2016-07-01,65.2012
2016-06-30,64.3340
