time,SMA
2020-05-06,148.0070
2020-05-05,147.9270
2020-05-04,147.5905
2020-05-01,146.8600
2020-04-30,146.3255
2020-04-29,145.3865
2020-04-28,144.3990
2020-04-27,143.4055
2020-04-24,142.3850
2020-04-23,141.8440
2020-04-22,141.2045
2020-04-21,140.6600
2020-04-20,139.4720
2020-04-17,138.5330
2020-04-16,138.0855
2020-04-15,137.6915
2020-04-14,137.1555
2020-04-13,136.1940
2020-04-09,135.9580
2020-04-08,135.2480
2020-04-07,135.1605
2020-04-06,135.5955
2020-04-03,135.7635
2020-04-02,136.7565
2020-04-01,137.4315
2020-03-31,138.4735
2020-03-30,138.9100
2020-03-27,139.6740
2020-03-26,140.4740
2020-03-25,141.1730
2020-03-24,142.0440
2020-03-23,142.7505
2020-03-20,144.4845
2020-03-19,146.0865
2020-03-18,147.1390
2020-03-17,148.2550
2020-03-16,149.4770
2020-03-13,150.9820
2020-03-12,151.8860
2020-03-11,153.3970
2020-03-10,154.1575
2020-03-09,154.5000
2020-03-06,155.3010
2020-03-05,155.7630
2020-03-04,156.3090
2020-03-03,156.4720
2020-03-02,157.0395
2020-02-28,157.3215
2020-02-27,157.9850
2020-02-26,158.5770
2020-02-25,159.4080
2020-02-24,160.8470
2020-02-21,162.1270
2020-02-20,163.1675
2020-02-19,164.1410
2020-02-18,165.1435
2020-02-14,166.2670
2020-02-13,167.2670
2020-02-12,168.2680
2020-02-11,169.1465
2020-02-10,170.0700
2020-02-07,171.0860
2020-02-06,172.1420
2020-02-05,173.0290
2020-02-04,173.8075
2020-02-03,174.8765
2020-01-31,175.9695
2020-01-30,177.0365
2020-01-29,177.7320
2020-01-28,178.4235
2020-01-27,179.0075
2020-01-24,179.0555
2020-01-23,178.9820
2020-01-22,179.0185
2020-01-21,178.8855
2020-01-17,178.5235
2020-01-16,177.9075
2020-01-15,177.3535
2020-01-14,176.9020
2020-01-13,176.2730
2020-01-10,175.6550
2020-01-09,175.0685
2020-01-08,174.3915
2020-01-07,173.8515
2020-01-06,173.5300
2020-01-03,172.8175
2020-01-02,172.2520
2019-12-31,171.5105
2019-12-30,171.1030
2019-12-27,170.8000
2019-12-26,170.4675
2019-12-24,170.0995
2019-12-23,169.7775
2019-12-20,169.2340
2019-12-19,168.7225
2019-12-18,168.5035
2019-12-17,168.5860
2019-12-16,168.6165
2019-12-13,168.6730
2019-12-12,168.7800
2019-12-11,168.8795
2019-12-10,168.9845
2019-12-09,169.1070
2019-12-06,169.2730
2019-12-05,169.4255
2019-12-04,169.9070
2019-12-03,170.3135
2019-12-02,170.8000
2019-11-29,170.8910
2019-11-27,170.6520
2019-11-26,170.5400
2019-11-25,170.5190
2019-11-22,170.4600
2019-11-21,170.3845
2019-11-20,170.2220
2019-11-19,170.2715
2019-11-18,170.1145
2019-11-15,169.8845
2019-11-14,169.4455
2019-11-13,169.0760
2019-11-12,168.6575
2019-11-11,168.2645
2019-11-08,167.7845
2019-11-07,167.0320
