time,MACD,MACD_Hist,MACD_Signal
2020-04-30,-3.5520,1.2505,-4.8025
2020-04-29,-3.7846,1.0937,-4.8783
2020-04-28,-4.0539,0.8907,-4.9446
2020-04-27,-4.2591,0.7395,-4.9986
2020-04-24,-4.4040,0.6394,-5.0434
2020-04-23,-4.5077,0.5744,-5.0821
2020-04-22,-4.7086,0.4083,-5.1169
2020-04-20,-4.9051,0.2366,-5.1417
2020-04-17,-5.0376,0.1185,-5.1560
2020-04-16,-5.1905,-0.0273,-5.1632
2020-04-15,-5.3094,-0.1479,-5.1616
2020-04-14,-5.4922,-0.3396,-5.1526
2020-04-13,-5.7182,-0.5861,-5.1320
2020-04-09,-5.9788,-0.8823,-5.0965
2020-04-08,-6.2485,-1.2055,-5.0430
2020-04-07,-6.5869,-1.6169,-4.9700
2020-04-06,-6.8661,-1.9941,-4.8720
2020-04-03,-7.1038,-2.3527,-4.7511
2020-04-02,-7.3121,-2.7036,-4.6085
2020-04-01,-7.5438,-3.0991,-4.4447
2020-03-31,-7.6680,-3.4112,-4.2568
2020-03-30,-7.7547,-3.7046,-4.0501
2020-03-27,-7.7686,-3.9430,-3.8256
2020-03-26,-7.7496,-4.1630,-3.5866
2020-03-25,-7.8059,-4.4716,-3.3343
2020-03-24,-7.8367,-4.7734,-3.0633
2020-03-23,-7.7411,-4.9671,-2.7740
2020-03-20,-7.4339,-4.9609,-2.4730
2020-03-19,-7.1007,-4.9284,-2.1723
2020-03-18,-6.7107,-4.8371,-1.8736
2020-03-17,-6.1469,-4.5664,-1.5805
2020-03-16,-5.6386,-4.3349,-1.3037
2020-03-13,-5.0396,-3.9986,-1.0410
2020-03-12,-4.5526,-3.7540,-0.7987
2020-03-11,-3.7022,-3.1311,-0.5711
2020-03-10,-3.0202,-2.6389,-0.3814
2020-03-09,-2.3863,-2.1649,-0.2214
2020-03-06,-1.4985,-1.4082,-0.0902
2020-03-05,-1.1227,-1.1178,-0.0049
2020-03-04,-0.9223,-0.9852,0.0629
2020-03-03,-0.8423,-0.9648,0.1226
2020-03-02,-0.6653,-0.8464,0.1810
2020-02-28,-0.5048,-0.7371,0.2323
2020-02-27,-0.2021,-0.4791,0.2770
2020-02-21,0.1526,-0.1535,0.3060
2020-02-20,0.1905,-0.1249,0.3153
2020-02-19,0.1581,-0.1648,0.3229
2020-02-18,0.0591,-0.2738,0.3329
2020-02-17,0.0219,-0.3276,0.3495
2020-02-14,0.0165,-0.3529,0.3694
2020-02-13,0.0044,-0.3864,0.3907
2020-02-12,-0.0387,-0.4529,0.4142
2020-02-11,-0.1281,-0.5697,0.4416
2020-02-10,-0.1681,-0.6442,0.4761
2020-02-07,-0.1799,-0.6951,0.5152
2020-02-06,-0.1735,-0.7308,0.5573
2020-02-05,-0.1897,-0.7913,0.6016
2020-02-04,-0.1313,-0.7809,0.6496
2020-02-03,-0.0866,-0.7835,0.6969
2020-01-31,0.0091,-0.7353,0.7444
2020-01-30,0.0936,-0.6954,0.7889
2020-01-29,0.1435,-0.6876,0.8311
2020-01-28,0.2095,-0.6633,0.8727
2020-01-27,0.2899,-0.6231,0.9129
2020-01-24,0.4564,-0.4943,0.9507
2020-01-23,0.5245,-0.4562,0.9807
2020-01-22,0.5675,-0.4409,1.0083
2020-01-21,0.6500,-0.3850,1.0350
2020-01-20,0.7113,-0.3470,1.0584
2020-01-17,0.7429,-0.3365,1.0794
2020-01-16,0.7913,-0.3085,1.0998
2020-01-15,0.8765,-0.2420,1.1185
2020-01-14,0.9691,-0.1641,1.1331
2020-01-13,1.0291,-0.1140,1.1431
