time,MACD,MACD_Hist,MACD_Signal
2020-05-04,0.2445,0.7265,-0.4820
2020-04-30,0.2671,0.9308,-0.6637
2020-04-29,0.2127,1.1090,-0.8963
2020-04-28,-0.0594,1.1142,-1.1736
2020-04-27,-0.3092,1.1430,-1.4521
2020-04-24,-0.4503,1.2876,-1.7379
2020-04-23,-0.5710,1.4888,-2.0598
2020-04-22,-0.9203,1.5116,-2.4320
2020-04-20,-1.5076,1.3023,-2.8099
2020-04-17,-1.9807,1.1547,-3.1355
2020-04-16,-2.3552,1.0689,-3.4241
2020-04-15,-2.5474,1.1440,-3.6914
2020-04-14,-2.8127,1.1647,-3.9774
2020-04-13,-3.1480,1.1205,-4.2685
2020-04-09,-3.4550,1.0937,-4.5487
2020-04-08,-3.8372,0.9849,-4.8221
2020-04-07,-4.4474,0.6209,-5.0683
2020-04-06,-4.8886,0.3349,-5.2235
2020-04-03,-5.2565,0.0507,-5.3073
2020-04-02,-5.1721,0.1478,-5.3199
2020-04-01,-5.2773,0.0796,-5.3569
2020-03-31,-5.0863,0.2905,-5.3768
2020-03-30,-5.0334,0.4161,-5.4494
2020-03-27,-5.1369,0.4165,-5.5534
2020-03-26,-5.4611,0.1965,-5.6576
2020-03-25,-6.1385,-0.4318,-5.7067
2020-03-24,-6.8915,-1.2928,-5.5987
2020-03-23,-7.0101,-1.7346,-5.2755
2020-03-20,-6.7460,-1.9041,-4.8419
2020-03-19,-6.6619,-2.2961,-4.3658
2020-03-18,-6.3081,-2.5163,-3.7918
2020-03-17,-5.5397,-2.3770,-3.1628
2020-03-16,-4.8684,-2.2999,-2.5685
2020-03-13,-3.9203,-1.9267,-1.9935
2020-03-12,-3.5186,-2.0068,-1.5119
2020-03-11,-2.6493,-1.6392,-1.0102
2020-03-10,-2.1081,-1.5077,-0.6004
2020-03-09,-1.6911,-1.4676,-0.2234
2020-03-06,-0.9153,-1.0588,0.1435
2020-03-05,-0.4463,-0.8545,0.4082
2020-03-04,-0.1671,-0.7889,0.6218
2020-03-03,-0.0679,-0.8869,0.8190
2020-03-02,0.1758,-0.8649,1.0407
2020-02-28,0.4649,-0.7920,1.2569
2020-02-27,0.8588,-0.5962,1.4549
2020-02-21,1.3683,-0.2357,1.6040
2020-02-20,1.4846,-0.1783,1.6629
2020-02-19,1.5788,-0.1287,1.7075
2020-02-18,1.6425,-0.0972,1.7396
2020-02-17,1.6744,-0.0895,1.7639
2020-02-14,1.6979,-0.0884,1.7863
2020-02-13,1.7267,-0.0817,1.8084
2020-02-12,1.7363,-0.0926,1.8288
2020-02-11,1.6764,-0.1756,1.8520
2020-02-10,1.7161,-0.1798,1.8959
2020-02-07,1.9230,-0.0178,1.9408
2020-02-06,2.0971,0.1518,1.9453
2020-02-05,2.1961,0.2887,1.9073
2020-02-04,2.1194,0.2842,1.8352
2020-02-03,2.0437,0.2796,1.7641
2020-01-31,1.9723,0.2781,1.6942
2020-01-30,1.9370,0.3123,1.6247
2020-01-29,1.8434,0.2968,1.5466
2020-01-28,1.6544,0.1820,1.4724
2020-01-27,1.5266,0.0997,1.4269
2020-01-24,1.4898,0.0878,1.4020
2020-01-23,1.4243,0.0443,1.3800
2020-01-22,1.2863,-0.0826,1.3690
2020-01-21,1.2860,-0.1036,1.3896
2020-01-20,1.3311,-0.0844,1.4155
2020-01-17,1.3285,-0.1081,1.4366
2020-01-16,1.3170,-0.1466,1.4637
2020-01-15,1.3179,-0.1824,1.5003
2020-01-14,1.3955,-0.1504,1.5459
2020-01-13,1.4754,-0.1082,1.5835
2020-01-10,1.5761,-0.0344,1.6105
2020-01-09,1.6971,0.0780,1.6192
2020-01-08,1.7281,0.1284,1.5997
2020-01-07,1.7689,0.2014,1.5676
2020-01-06,1.7709,0.2537,1.5172
2020-01-03,1.7955,0.3417,1.4538
2020-01-02,1.7428,0.3744,1.3684
2019-12-30,1.5768,0.3020,1.2748
2019-12-27,1.5671,0.3678,1.1993
2019-12-26,1.4759,0.3685,1.1073
2019-12-23,1.3074,0.2922,1.0152
2019-12-20,1.2220,0.2799,0.9421
2019-12-19,1.2233,0.3511,0.8722
2019-12-18,1.1024,0.3180,0.7844
2019-12-17,0.9873,0.2824,0.7049
2019-12-16,0.9259,0.2917,0.6343
