time,RSI
2020-05-05,53.7760
2020-05-04,51.4626
2020-04-30,53.9919
2020-04-29,60.7436
2020-04-28,58.4786
2020-04-27,54.2250
2020-04-24,52.8966
2020-04-23,58.8037
2020-04-22,63.6669
2020-04-20,58.5985
2020-04-17,54.0529
2020-04-16,47.5554
2020-04-15,48.9684
2020-04-14,49.8492
2020-04-13,48.1712
2020-04-09,48.9683
2020-04-08,52.3809
2020-04-07,47.3209
2020-04-06,44.9231
2020-04-03,34.6282
2020-04-02,38.5405
2020-04-01,32.6347
2020-03-31,35.9474
2020-03-30,39.2580
2020-03-27,43.1636
2020-03-26,48.7817
2020-03-25,48.3870
2020-03-24,32.9858
2020-03-23,24.4088
2020-03-20,28.0247
2020-03-19,23.6896
2020-03-18,16.9189
2020-03-17,19.6363
2020-03-16,19.0251
2020-03-13,26.8309
2020-03-12,15.8658
2020-03-11,21.6731
2020-03-10,25.9640
2020-03-09,15.0841
2020-03-06,22.2794
2020-03-05,30.1757
2020-03-04,40.4601
2020-03-03,30.9979
2020-03-02,31.7549
2020-02-28,29.2167
2020-02-27,27.7340
2020-02-21,55.5845
2020-02-20,58.9611
2020-02-19,62.4841
2020-02-18,65.1377
2020-02-17,64.7606
2020-02-14,63.5960
2020-02-13,63.7609
2020-02-12,67.3775
2020-02-11,61.4780
2020-02-10,51.2422
2020-02-07,55.8165
2020-02-06,63.4174
2020-02-05,81.9624
2020-02-04,80.3627
2020-02-03,78.5879
2020-01-31,75.5284
2020-01-30,77.9437
2020-01-29,82.9577
2020-01-28,79.0611
2020-01-27,73.0674
2020-01-24,72.9241
2020-01-23,76.9798
2020-01-22,67.5907
2020-01-21,63.1260
2020-01-20,68.5198
2020-01-17,67.8397
2020-01-16,65.7833
2020-01-15,59.3091
2020-01-14,59.2353
2020-01-13,57.8586
2020-01-10,56.8756
2020-01-09,65.8102
2020-01-08,64.4635
2020-01-07,66.6443
2020-01-06,64.5294
2020-01-03,69.3273
2020-01-02,75.7284
2019-12-30,67.4178
2019-12-27,73.0176
2019-12-26,76.1215
2019-12-23,70.6584
2019-12-20,64.3353
2019-12-19,76.4695
2019-12-18,74.1541
2019-12-17,69.2290
2019-12-16,71.6140
2019-12-13,68.3242
2019-12-12,68.0758
2019-12-11,61.7574
2019-12-10,53.5550
2019-12-09,60.5024
2019-12-06,66.8345
2019-12-05,62.6924
2019-12-04,58.1291
2019-12-03,62.8896
2019-12-02,61.0633
2019-11-29,66.0794
2019-11-28,64.4932
2019-11-27,54.7818
2019-11-26,57.1586
2019-11-25,62.4236
2019-11-22,64.5031
2019-11-21,58.9330
2019-11-19,37.5981
2019-11-18,38.6186
2019-11-14,43.5264
2019-11-13,36.3697
2019-11-12,37.3072
2019-11-11,43.8862
2019-11-08,36.9798
2019-11-07,43.6485
2019-11-06,41.7590
2019-11-05,41.6480
2019-11-04,42.1503
2019-11-01,50.3434
2019-10-31,49.3303
2019-10-30,47.3149
2019-10-29,32.9038
2019-10-28,32.9038
2019-10-25,34.6441
2019-10-24,33.4320
2019-10-23,51.5580
2019-10-22,54.5702
2019-10-21,53.8659
2019-10-18,56.7706
2019-10-17,51.8883
2019-10-16,52.2739
2019-10-15,56.9926
2019-10-14,51.6014
2019-10-11,46.1715
2019-10-10,35.6568
2019-10-09,41.6727
2019-10-08,40.5101
2019-10-07,41.9577
2019-10-04,45.7860
2019-10-03,40.4435
2019-10-02,36.9801
2019-10-01,46.4233
2019-09-30,54.0512
2019-09-27,43.7528
2019-09-26,45.2265
2019-09-25,47.0611
2019-09-24,38.4003
2019-09-23,43.5833
2019-09-20,55.9670
2019-09-19,55.2181
2019-09-18,49.5019
2019-09-17,44.0272
2019-09-16,41.6779
2019-09-13,39.5721
2019-09-12,49.2422
2019-09-11,50.7829
2019-09-10,44.8860
2019-09-09,49.2922
2019-09-06,60.3850
2019-09-05,64.5785
2019-09-04,64.2055
2019-09-03,60.9272
2019-09-02,63.8119
2019-08-30,64.9513
2019-08-29,61.2102
2019-08-28,55.4534
2019-08-27,53.4159
2019-08-26,41.8334
2019-08-23,46.8072
2019-08-22,52.5647
2019-08-21,58.2739
2019-08-20,51.3571
2019-08-19,54.7869
2019-08-16,56.5219
2019-08-15,46.7927
2019-08-14,50.9211
2019-08-13,57.6399
2019-08-12,50.8403
2019-08-09,56.0332
2019-08-08,59.2361
2019-08-07,49.4101
2019-08-06,61.9625
2019-08-05,56.2928
2019-08-02,77.1104
2019-08-01,72.3699
2019-07-31,65.5640
2019-07-30,65.5640
2019-07-29,63.9280
2019-07-26,58.9229
2019-07-25,59.8410
2019-07-24,59.1872
2019-07-23,52.9882
2019-07-22,59.4179
2019-07-19,57.7164
2019-07-18,66.5681
2019-07-17,63.7997
2019-07-16,62.5052
2019-07-15,54.6714
2019-07-12,57.5347
2019-07-11,67.7002
2019-07-10,83.4389
2019-07-08,80.9813
2019-07-05,78.1032
2019-07-04,76.9377
2019-07-03,72.0488
2019-07-02,66.5845
2019-07-01,64.0356
2019-06-28,66.8867
2019-06-27,60.6732
2019-06-26,61.6994
2019-06-25,61.2781
2019-06-24,82.0928
2019-06-21,78.6816
2019-06-19,79.9075
2019-06-18,74.9949
2019-06-17,72.3109
2019-06-14,69.3509
2019-06-13,70.0801
2019-06-12,66.6917
2019-06-11,71.9811
2019-06-10,67.7487
2019-06-07,68.8995
2019-06-06,65.0892
2019-06-05,58.1709
2019-06-04,65.1422
2019-06-03,69.8270
2019-05-31,68.0549
2019-05-30,69.9032
2019-05-29,69.7180
2019-05-28,67.9445
2019-05-27,64.0959
2019-05-24,57.5549
2019-05-23,57.6645
2019-05-22,54.9054
2019-05-21,57.8263
2019-05-20,58.6411
2019-05-17,47.1763
2019-05-16,54.6072
2019-05-15,57.4173
2019-05-14,57.2805
2019-05-13,50.3338
2019-05-10,68.2527
2019-05-09,65.5918
2019-05-08,70.3963
2019-05-07,58.3205
2019-05-06,61.9999
2019-05-03,70.1120
2019-05-02,71.8017
2019-04-30,75.3712
2019-04-29,76.0800
2019-04-26,74.4349
2019-04-25,65.6511
2019-04-24,59.4157
2019-04-23,67.1512
2019-04-22,57.6855
2019-04-18,54.7819
2019-04-17,51.5596
2019-04-16,54.0350
