time,MACD,MACD_Hist,MACD_Signal
2020-05-05,1.3109,0.4344,0.8765
2020-05-04,1.1178,0.3499,0.7680
2020-04-30,0.9774,0.2969,0.6805
2020-04-29,0.8948,0.2886,0.6063
2020-04-28,0.8467,0.3126,0.5341
2020-04-27,0.7801,0.3241,0.4560
2020-04-24,0.5361,0.1612,0.3749
2020-04-23,0.3157,-0.0190,0.3346
2020-04-22,0.2914,-0.0480,0.3394
2020-04-20,0.3936,0.0422,0.3514
2020-04-17,0.5479,0.2071,0.3408
2020-04-16,0.6431,0.3541,0.2891
2020-04-15,0.7207,0.5202,0.2005
2020-04-14,0.7024,0.6319,0.0705
2020-04-13,0.5904,0.6779,-0.0875
2020-04-09,0.6048,0.8617,-0.2569
2020-04-08,0.7131,1.1855,-0.4724
2020-04-07,0.5804,1.3491,-0.7688
2020-04-06,0.4809,1.5870,-1.1060
2020-04-03,0.0588,1.5616,-1.5028
2020-04-02,-0.4584,1.4348,-1.8932
2020-04-01,-1.1221,1.1298,-2.2519
2020-03-31,-1.6962,0.8381,-2.5343
2020-03-30,-2.2425,0.5014,-2.7438
2020-03-27,-2.7239,0.1453,-2.8692
2020-03-26,-3.1846,-0.2791,-2.9055
2020-03-25,-3.2356,-0.3998,-2.8357
2020-03-24,-3.3860,-0.6502,-2.7358
2020-03-23,-3.4828,-0.9096,-2.5732
2020-03-20,-3.5456,-1.1998,-2.3459
2020-03-19,-3.4306,-1.3847,-2.0459
2020-03-18,-3.2279,-1.5281,-1.6997
2020-03-17,-2.6462,-1.3285,-1.3177
2020-03-16,-2.2094,-1.2238,-0.9856
2020-03-13,-1.6574,-0.9777,-0.6796
2020-03-12,-1.2556,-0.8204,-0.4352
2020-03-11,-0.5371,-0.3070,-0.2301
2020-03-10,-0.1947,-0.0414,-0.1534
2020-03-09,-0.1010,0.0420,-0.1430
2020-03-06,0.1127,0.2662,-0.1535
2020-03-05,0.1720,0.3920,-0.2200
2020-03-04,-0.0185,0.2996,-0.3181
2020-03-03,-0.3550,0.0380,-0.3930
2020-03-02,-0.4128,-0.0103,-0.4025
2020-02-28,-0.4510,-0.0511,-0.3999
2020-02-27,-0.3395,0.0476,-0.3871
2020-02-21,-0.1913,0.2077,-0.3990
2020-02-20,-0.3342,0.1167,-0.4509
2020-02-19,-0.3866,0.0935,-0.4801
2020-02-18,-0.4458,0.0577,-0.5035
2020-02-17,-0.5077,0.0102,-0.5179
2020-02-14,-0.5692,-0.0487,-0.5205
2020-02-13,-0.6200,-0.1117,-0.5083
