time,RSI
2020-05-04,64.3392
2020-04-30,60.6002
2020-04-29,58.0972
2020-04-28,57.8527
2020-04-27,64.9133
2020-04-24,62.1307
2020-04-23,53.2990
2020-04-22,47.5120
2020-04-20,46.2237
2020-04-17,49.7072
2020-04-16,50.9852
2020-04-15,54.9091
2020-04-14,57.8473
2020-04-13,53.0620
2020-04-09,50.0233
2020-04-08,59.1131
2020-04-07,56.9978
2020-04-06,68.7654
2020-04-03,68.3077
2020-04-02,68.7197
2020-04-01,63.7622
2020-03-31,60.1783
2020-03-30,55.7160
2020-03-27,52.7511
2020-03-26,36.2085
2020-03-25,39.5716
2020-03-24,37.7709
2020-03-23,37.3978
2020-03-20,32.2428
2020-03-19,32.0285
2020-03-18,21.9972
2020-03-17,26.3648
2020-03-16,26.8908
2020-03-13,31.8531
2020-03-12,24.6830
2020-03-11,34.9804
2020-03-10,45.0301
2020-03-09,40.9431
2020-03-06,48.3360
2020-03-05,60.5985
2020-03-04,65.9470
2020-03-03,50.5881
2020-03-02,48.9178
2020-02-28,39.3022
2020-02-27,39.2341
2020-02-21,58.7846
2020-02-20,50.4821
2020-02-19,50.3357
2020-02-18,49.8688
2020-02-17,49.2555
2020-02-14,48.1711
2020-02-13,56.7265
2020-02-12,49.7135
2020-02-11,39.4564
2020-02-10,26.0631
2020-02-07,28.5004
2020-02-06,34.1607
2020-02-05,29.1342
2020-02-04,31.2376
2020-02-03,33.9868
2020-01-31,34.7540
2020-01-30,38.6320
2020-01-29,41.1405
2020-01-28,44.3415
2020-01-27,39.4997
2020-01-24,58.0617
2020-01-23,63.3471
2020-01-22,67.1407
2020-01-21,53.7390
2020-01-20,56.1350
2020-01-17,64.7627
2020-01-16,70.9077
2020-01-15,79.2356
2020-01-14,76.5650
2020-01-13,82.8171
2020-01-10,76.7902
2020-01-09,76.4631
2020-01-08,78.0182
2020-01-07,66.6375
2020-01-06,62.1657
2020-01-03,63.1919
2020-01-02,65.1270
2019-12-30,55.3760
2019-12-27,59.7077
2019-12-26,70.9457
2019-12-23,65.4122
2019-12-20,67.8050
2019-12-19,63.4176
2019-12-18,62.5161
2019-12-17,69.6183
2019-12-16,62.7454
2019-12-13,59.5720
2019-12-12,63.8554
2019-12-11,64.1520
2019-12-10,53.5779
2019-12-09,49.7867
2019-12-06,55.2928
2019-12-05,53.0684
2019-12-04,52.1032
2019-12-03,66.2792
2019-12-02,65.0447
2019-11-29,63.0993
2019-11-28,63.2312
2019-11-27,70.2380
2019-11-26,63.1688
2019-11-25,62.5408
2019-11-22,66.4953
2019-11-21,65.9959
2019-11-19,64.1314
2019-11-18,63.5512
2019-11-14,56.0683
2019-11-13,66.4587
2019-11-12,73.9319
2019-11-11,73.9319
2019-11-08,72.9463
2019-11-07,75.7384
2019-11-06,70.6429
2019-11-05,72.8503
2019-11-04,69.9531
2019-11-01,62.8708
2019-10-31,42.7383
2019-10-30,38.4277
2019-10-29,41.9376
2019-10-28,41.4794
2019-10-25,41.6272
2019-10-24,43.4383
2019-10-23,56.5545
2019-10-22,61.0816
2019-10-21,60.8127
2019-10-18,52.9945
2019-10-17,55.6073
2019-10-16,58.7742
2019-10-15,65.4874
2019-10-14,63.9050
2019-10-11,67.9670
2019-10-10,61.1388
2019-10-09,47.7820
2019-10-08,41.5834
2019-10-07,46.7469
2019-10-04,52.3047
2019-10-03,47.4581
2019-10-02,51.7147
2019-10-01,61.2781
2019-09-30,61.2781
2019-09-27,62.3516
2019-09-26,59.7496
2019-09-25,60.2985
2019-09-24,54.0271
2019-09-23,58.9359
2019-09-20,51.4795
2019-09-19,61.5358
2019-09-18,70.6523
2019-09-17,74.5016
2019-09-16,76.6850
2019-09-13,72.7756
2019-09-12,69.2208
2019-09-11,58.6635
2019-09-10,63.0840
2019-09-09,67.1454
2019-09-06,50.0395
2019-09-05,48.5560
2019-09-04,37.4042
2019-09-03,35.3548
2019-09-02,40.0788
2019-08-30,39.2356
2019-08-29,38.1920
2019-08-28,34.6568
2019-08-27,32.1625
2019-08-26,26.0664
2019-08-23,25.5648
2019-08-22,32.5144
2019-08-21,39.3998
2019-08-20,45.9710
2019-08-19,54.4749
2019-08-16,55.7847
2019-08-15,53.9738
2019-08-14,56.2547
2019-08-13,62.6443
2019-08-12,45.5770
2019-08-09,40.4349
2019-08-08,47.1940
2019-08-07,36.7934
2019-08-06,34.6418
2019-08-05,32.7397
2019-08-02,33.1742
2019-08-01,36.3586
2019-07-31,36.5019
2019-07-30,39.4406
2019-07-29,34.7098
2019-07-26,38.0891
2019-07-25,41.6715
2019-07-24,44.0372
2019-07-23,44.1740
2019-07-22,48.3653
2019-07-19,51.1108
2019-07-18,62.5895
2019-07-17,65.1283
2019-07-16,59.1654
2019-07-15,54.1328
2019-07-12,47.3005
2019-07-11,38.6137
2019-07-10,41.5323
2019-07-08,49.3683
2019-07-05,50.5957
2019-07-04,42.4388
2019-07-03,37.0208
2019-07-02,35.0191
2019-07-01,38.1274
2019-06-28,46.4624
2019-06-27,54.2120
2019-06-26,51.1360
2019-06-25,52.8568
2019-06-24,60.9431
2019-06-21,55.9306
2019-06-19,50.1757
2019-06-18,53.3084
2019-06-17,49.7412
2019-06-14,46.6863
2019-06-13,42.1790
2019-06-12,25.5913
2019-06-11,28.1600
2019-06-10,27.2691
2019-06-07,22.8566
2019-06-06,18.4011
2019-06-05,19.6465
2019-06-04,20.3660
2019-06-03,21.6192
2019-05-31,23.7607
2019-05-30,27.3438
2019-05-29,26.9374
2019-05-28,30.7448
2019-05-27,30.2398
2019-05-24,28.0821
2019-05-23,36.7863
2019-05-22,38.9430
2019-05-21,36.6528
2019-05-20,37.6490
2019-05-17,40.1193
2019-05-16,27.2981
2019-05-15,29.8871
2019-05-14,31.6808
2019-05-13,33.5781
2019-05-10,40.7485
2019-05-09,60.8043
2019-05-08,41.0733
2019-05-07,38.2565
2019-05-06,40.2886
2019-05-03,44.4098
2019-05-02,44.0194
2019-04-30,33.9095
2019-04-29,44.5652
2019-04-26,46.3319
2019-04-25,50.7865
2019-04-24,35.0751
2019-04-23,26.3545
2019-04-22,21.3191
2019-04-18,22.8000
2019-04-17,23.8600
2019-04-16,24.8617
2019-04-15,28.5548
2019-04-12,28.7274
2019-04-11,30.3802
2019-04-10,31.3543
2019-04-09,38.6509
2019-04-08,42.5693
2019-04-05,41.0892
2019-04-04,42.3294
2019-04-03,50.7092
2019-04-02,58.9875
2019-04-01,58.0221
2019-03-29,50.3013
2019-03-28,49.3486
2019-03-27,56.2748
2019-03-26,51.2698
2019-03-25,51.4526
2019-03-22,46.6608
2019-03-21,43.4302
2019-03-20,34.2743
2019-03-19,41.9314
2019-03-18,54.1379
2019-03-15,48.2695
2019-03-14,42.7780
2019-03-13,43.3700
2019-03-12,44.0279
2019-03-11,50.5241
2019-03-08,48.6536
2019-03-07,58.9399
2019-03-01,58.5930
2019-02-28,54.1069
2019-02-27,56.9449
2019-02-26,73.3560
2019-02-25,63.3179
2019-02-22,60.3988
2019-02-21,61.6348
2019-02-20,57.7435
2019-02-19,55.4792
2019-02-18,51.5880
2019-02-15,50.2639
2019-02-14,46.4919
2019-02-13,51.0250
2019-02-12,48.1390
2019-02-11,55.7595
2019-02-08,64.4639
2019-02-07,69.5415
2019-02-06,66.7953
2019-02-05,64.7129
2019-02-04,63.6881
2019-02-01,62.2797
2019-01-31,60.1587
2019-01-30,63.3100
2019-01-29,71.1982
2019-01-28,77.8204
2019-01-24,75.6695
2019-01-23,70.9322
2019-01-22,67.2311
2019-01-21,74.2370
2019-01-18,71.2788
2019-01-17,67.4502
2019-01-16,75.1096
2019-01-15,70.3776
2019-01-14,57.4655
2019-01-11,56.7456
2019-01-10,56.7456
2019-01-09,53.0192
2019-01-08,42.9092
2019-01-07,41.6882
2019-01-04,49.1079
2019-01-03,45.6713
2019-01-02,54.4835
2018-12-28,51.8483
2018-12-27,46.1260
2018-12-26,55.8805
2018-12-21,56.1895
2018-12-20,44.6779
2018-12-19,45.6068
2018-12-18,48.4258
2018-12-17,41.2468
2018-12-14,45.3077
