time,MACD,MACD_Hist,MACD_Signal
2020-05-05,-0.2286,0.1191,-0.3477
2020-05-04,-0.2408,0.1366,-0.3774
2020-04-30,-0.2580,0.1536,-0.4116
2020-04-29,-0.2904,0.1596,-0.4500
2020-04-28,-0.3541,0.1358,-0.4899
2020-04-27,-0.3945,0.1293,-0.5238
2020-04-24,-0.4027,0.1534,-0.5561
2020-04-23,-0.4073,0.1872,-0.5945
2020-04-22,-0.4501,0.1912,-0.6413
2020-04-20,-0.5042,0.1849,-0.6891
2020-04-17,-0.5506,0.1847,-0.7353
2020-04-16,-0.5979,0.1836,-0.7815
2020-04-15,-0.6413,0.1861,-0.8274
2020-04-14,-0.7027,0.1713,-0.8739
2020-04-13,-0.7779,0.1388,-0.9167
2020-04-09,-0.8361,0.1153,-0.9514
2020-04-08,-0.8800,0.1003,-0.9802
2020-04-07,-0.9293,0.0761,-1.0053
2020-04-06,-0.9501,0.0742,-1.0243
2020-04-03,-0.9589,0.0840,-1.0429
2020-04-02,-0.9571,0.1068,-1.0639
2020-04-01,-0.9969,0.0937,-1.0906
2020-03-31,-1.0393,0.0747,-1.1140
2020-03-30,-1.1018,0.0309,-1.1327
2020-03-27,-1.1512,-0.0108,-1.1404
2020-03-26,-1.2088,-0.0711,-1.1377
2020-03-25,-1.2901,-0.1702,-1.1199
2020-03-24,-1.3487,-0.2713,-1.0774
2020-03-23,-1.3163,-0.3067,-1.0095
2020-03-20,-1.2334,-0.3005,-0.9329
2020-03-19,-1.1625,-0.3048,-0.8577
2020-03-18,-1.0735,-0.2920,-0.7815
2020-03-17,-0.9545,-0.2460,-0.7085
2020-03-16,-0.9150,-0.2679,-0.6470
2020-03-13,-0.8552,-0.2752,-0.5801
2020-03-12,-0.8318,-0.3205,-0.5113
2020-03-11,-0.6960,-0.2649,-0.4311
2020-03-10,-0.6043,-0.2393,-0.3649
2020-03-09,-0.5415,-0.2364,-0.3051
2020-03-06,-0.4005,-0.1546,-0.2460
2020-03-05,-0.3441,-0.1368,-0.2073
2020-03-04,-0.3211,-0.1479,-0.1731
2020-03-03,-0.3348,-0.1987,-0.1361
2020-03-02,-0.2885,-0.2020,-0.0865
2020-02-28,-0.2435,-0.2075,-0.0360
2020-02-27,-0.1519,-0.1678,0.0159
2020-02-21,-0.0349,-0.0927,0.0579
2020-02-20,0.0152,-0.0658,0.0811
2020-02-19,0.0495,-0.0481,0.0975
2020-02-18,0.0659,-0.0436,0.1095
2020-02-17,0.0809,-0.0395,0.1204
2020-02-14,0.1029,-0.0274,0.1303
2020-02-13,0.1122,-0.0250,0.1372
2020-02-12,0.0766,-0.0669,0.1434
2020-02-11,0.0799,-0.0803,0.1601
2020-02-10,0.0769,-0.1033,0.1802
2020-02-07,0.1360,-0.0700,0.2060
