time,RSI
2020-04-30,51.1128
2020-04-29,57.8268
2020-04-28,49.8450
2020-04-27,38.8302
2020-04-24,38.8302
2020-04-23,48.6550
2020-04-22,50.2910
2020-04-20,46.2224
2020-04-17,45.1449
2020-04-16,43.0924
2020-04-15,45.9966
2020-04-14,47.3365
2020-04-13,41.6549
2020-04-09,37.4503
2020-04-08,38.2778
2020-04-07,31.9635
2020-04-06,31.0566
2020-04-03,31.1501
2020-04-02,36.5995
2020-04-01,37.2391
2020-03-31,39.6284
2020-03-30,37.4291
2020-03-27,38.4188
2020-03-26,40.6155
2020-03-25,37.2576
2020-03-24,24.5583
2020-03-23,20.8709
2020-03-20,23.2928
2020-03-19,24.1665
2020-03-18,24.6283
2020-03-17,31.3055
2020-03-16,31.5539
2020-03-13,35.6237
2020-03-12,22.7299
2020-03-11,27.5962
2020-03-10,31.8199
2020-03-09,22.9141
2020-03-06,32.1428
2020-03-05,37.8717
2020-03-04,44.1523
2020-03-03,31.5435
2020-03-02,33.6665
2020-02-28,26.2177
2020-02-27,26.3955
2020-02-21,37.6619
2020-02-20,42.4923
2020-02-19,47.3974
2020-02-18,48.3637
2020-02-17,47.5944
2020-02-14,50.4703
2020-02-13,58.9572
2020-02-12,50.8591
2020-02-11,51.9896
2020-02-10,39.2233
2020-02-07,44.8449
2020-02-06,53.6530
2020-02-05,59.4035
2020-02-04,49.1711
2020-02-03,46.9131
2020-01-31,45.2093
2020-01-30,47.9812
2020-01-29,50.1557
2020-01-28,53.3191
2020-01-27,53.5090
2020-01-24,71.0360
2020-01-23,79.9081
2020-01-22,76.6498
2020-01-21,54.5276
2020-01-20,58.2529
2020-01-17,63.4552
2020-01-16,61.1109
2020-01-15,52.5967
2020-01-14,60.7147
2020-01-13,59.5312
2020-01-10,44.4775
2020-01-09,52.8879
2020-01-08,55.8916
2020-01-07,62.2561
2020-01-06,59.1134
2020-01-03,69.5348
2020-01-02,76.2566
2019-12-30,71.5545
2019-12-27,69.2465
2019-12-26,76.2020
2019-12-23,76.2020
2019-12-20,71.5769
2019-12-19,71.3262
2019-12-18,69.6386
2019-12-17,69.6386
2019-12-16,66.6894
2019-12-13,73.0780
2019-12-12,75.0694
2019-12-11,68.0077
2019-12-10,64.7639
