time,RSI
2020-05-04,50.8087
2020-04-30,55.3145
2020-04-29,65.8886
2020-04-28,57.6231
2020-04-27,57.3599
2020-04-24,53.9725
2020-04-23,52.9071
2020-04-22,50.3849
2020-04-20,48.5977
2020-04-17,54.8176
2020-04-16,50.1985
2020-04-15,51.8530
2020-04-14,57.1342
2020-04-13,57.2910
2020-04-09,53.5954
2020-04-08,54.3500
2020-04-07,55.1708
2020-04-06,53.6544
2020-04-03,47.1437
2020-04-02,52.9471
2020-04-01,54.5099
2020-03-31,54.2006
2020-03-30,51.3209
2020-03-27,47.9272
2020-03-26,51.6116
2020-03-25,49.4967
2020-03-24,43.2676
2020-03-23,35.3537
2020-03-20,36.7753
2020-03-19,38.3146
2020-03-18,41.2006
2020-03-17,45.0856
2020-03-16,40.7424
2020-03-13,45.8419
2020-03-12,30.5370
2020-03-11,37.3118
2020-03-10,43.9361
2020-03-09,22.7738
2020-03-06,33.9900
2020-03-05,39.8217
2020-03-04,45.1784
2020-03-03,35.0256
2020-03-02,35.0519
2020-02-28,24.5995
2020-02-27,24.8808
2020-02-21,39.1225
2020-02-20,48.2046
2020-02-19,51.3672
2020-02-18,51.3200
2020-02-17,54.2033
2020-02-14,42.7706
2020-02-13,47.8567
2020-02-12,52.4348
2020-02-11,47.4750
2020-02-10,36.6303
2020-02-07,45.2682
2020-02-06,52.0992
2020-02-05,50.4452
2020-02-04,46.3021
2020-02-03,37.4053
2020-01-31,32.6815
2020-01-30,37.5880
2020-01-29,31.9842
2020-01-28,33.6140
2020-01-27,28.5928
2020-01-24,42.3334
2020-01-23,54.5170
2020-01-22,62.0846
2020-01-21,60.4156
2020-01-20,75.0651
2020-01-17,73.4998
2020-01-16,62.8217
2020-01-15,66.6521
2020-01-14,69.0024
2020-01-13,67.0258
2020-01-10,50.9703
2020-01-09,50.2967
2020-01-08,58.9178
2020-01-07,58.8283
2020-01-06,55.4212
2020-01-03,59.0285
2020-01-02,63.6923
2019-12-30,55.5540
2019-12-27,59.0220
2019-12-26,75.9474
2019-12-23,74.7997
2019-12-20,78.1562
2019-12-19,74.2429
2019-12-18,71.1189
2019-12-17,70.8184
2019-12-16,70.3745
2019-12-13,75.8242
2019-12-12,72.0701
2019-12-11,65.3800
2019-12-10,60.6025
2019-12-09,63.6122
2019-12-06,62.9919
2019-12-05,60.2837
2019-12-04,60.0866
2019-12-03,56.8755
2019-12-02,65.6175
2019-11-29,56.7792
2019-11-28,60.8138
2019-11-27,62.9827
2019-11-26,69.8118
2019-11-25,68.0585
2019-11-22,66.5020
2019-11-21,52.7837
2019-11-19,50.6383
2019-11-18,45.6606
2019-11-14,39.6991
2019-11-13,40.4855
2019-11-12,45.7918
2019-11-11,47.4420
2019-11-08,55.6871
2019-11-07,64.6427
2019-11-06,62.1699
2019-11-05,63.8935
2019-11-04,65.7154
2019-11-01,56.6484
2019-10-31,47.0633
2019-10-30,60.5754
2019-10-29,61.2587
2019-10-28,61.7813
2019-10-25,60.9416
2019-10-24,47.5255
2019-10-23,50.6391
2019-10-22,52.2656
2019-10-21,51.6029
2019-10-18,42.1214
2019-10-17,46.8853
2019-10-16,47.5256
2019-10-15,56.0168
2019-10-14,56.6736
2019-10-11,61.9884
2019-10-10,53.5431
2019-10-09,40.1142
2019-10-08,36.4273
2019-10-07,41.1137
2019-10-04,45.1029
2019-10-03,32.8400
2019-10-02,31.4009
2019-10-01,50.9831
2019-09-30,51.4666
2019-09-27,50.5164
2019-09-26,52.5750
2019-09-25,52.5750
2019-09-24,43.9758
2019-09-23,55.3366
2019-09-20,59.0946
2019-09-19,58.2981
2019-09-18,59.1270
2019-09-17,64.2672
2019-09-16,62.4455
2019-09-13,75.9324
2019-09-12,75.5362
2019-09-11,67.0367
2019-09-10,70.7224
2019-09-09,68.8629
2019-09-06,59.2886
2019-09-05,60.0971
2019-09-04,60.0971
2019-09-03,52.6212
2019-09-02,57.3604
2019-08-30,54.0132
2019-08-29,50.2595
2019-08-28,33.3938
2019-08-27,31.3240
2019-08-26,24.4572
2019-08-23,26.6728
2019-08-22,29.7560
2019-08-21,31.1366
2019-08-20,27.5283
2019-08-19,25.3712
2019-08-16,25.5151
2019-08-15,26.1834
2019-08-14,29.6419
2019-08-13,36.8007
2019-08-12,22.9473
2019-08-09,24.1191
2019-08-08,31.5433
2019-08-07,22.6699
2019-08-06,23.2114
2019-08-05,15.1306
2019-08-02,21.0463
2019-08-01,23.5705
2019-07-31,32.3676
2019-07-30,33.9870
2019-07-29,36.0139
2019-07-26,35.5991
2019-07-25,37.4951
2019-07-24,38.6348
2019-07-23,47.6839
2019-07-22,54.8745
2019-07-19,57.9522
2019-07-18,56.9048
2019-07-17,57.9033
2019-07-16,61.3938
2019-07-15,59.1791
2019-07-12,53.2834
2019-07-11,55.2418
2019-07-10,55.8577
2019-07-08,48.1895
2019-07-05,43.7959
2019-07-04,52.7317
2019-07-03,50.0722
2019-07-02,50.7484
2019-07-01,69.9693
2019-06-28,58.5202
2019-06-27,57.5654
2019-06-26,56.6678
2019-06-25,55.2477
2019-06-24,65.0294
2019-06-21,65.4383
2019-06-19,64.7399
2019-06-18,63.3100
2019-06-17,53.0226
2019-06-14,63.7469
2019-06-13,68.4172
2019-06-12,66.6585
2019-06-11,66.3776
2019-06-10,44.8426
2019-06-07,47.6895
2019-06-06,48.9122
2019-06-05,45.2097
2019-06-04,51.0581
2019-06-03,48.7371
2019-05-31,50.0336
2019-05-30,58.3311
2019-05-29,56.3306
2019-05-28,61.0075
2019-05-27,60.6871
2019-05-24,48.8269
2019-05-23,44.9296
2019-05-22,42.0094
2019-05-21,41.6224
2019-05-20,36.5963
2019-05-17,41.2996
2019-05-16,30.3341
2019-05-15,37.7956
2019-05-14,34.4238
2019-05-13,32.9705
2019-05-10,44.1412
2019-05-09,35.1841
2019-05-08,37.9204
2019-05-07,42.4409
2019-05-06,42.0858
2019-05-03,46.9032
2019-05-02,33.3580
2019-04-30,40.8007
2019-04-29,41.8884
2019-04-26,43.0592
2019-04-25,42.2907
2019-04-24,42.4626
2019-04-23,52.4410
2019-04-22,48.0766
2019-04-18,57.9594
2019-04-17,55.8537
2019-04-16,63.1907
2019-04-15,51.1693
2019-04-12,52.4764
2019-04-11,55.0942
2019-04-10,54.8982
2019-04-09,59.4934
2019-04-08,68.6033
2019-04-05,61.3892
2019-04-04,63.0538
2019-04-03,61.0470
2019-04-02,60.2806
2019-04-01,68.0765
2019-03-29,60.0761
2019-03-28,48.8057
2019-03-27,51.1999
2019-03-26,56.8932
2019-03-25,51.7045
2019-03-22,55.8485
2019-03-21,63.5496
2019-03-20,61.6814
2019-03-19,75.8979
2019-03-18,68.9839
2019-03-15,70.1153
2019-03-14,72.0048
2019-03-13,71.9623
2019-03-12,68.8560
2019-03-11,68.4683
2019-03-08,63.8317
2019-03-07,63.9138
2019-03-01,52.1739
2019-02-28,54.9037
2019-02-27,53.2528
2019-02-26,55.7709
2019-02-25,55.3602
2019-02-22,54.7455
2019-02-21,46.5405
2019-02-20,48.6097
2019-02-19,47.0457
2019-02-18,45.8985
2019-02-15,48.3744
2019-02-14,47.4841
2019-02-13,46.8466
2019-02-12,42.4449
2019-02-11,32.8570
2019-02-08,35.5197
2019-02-07,28.3198
2019-02-06,29.9899
2019-02-05,34.3005
2019-02-04,34.6486
2019-02-01,38.0600
2019-01-31,35.3222
2019-01-30,37.5108
2019-01-29,22.3075
2019-01-28,22.9990
2019-01-24,71.4161
2019-01-23,69.1468
2019-01-22,66.4108
2019-01-21,68.3241
2019-01-18,66.0343
2019-01-17,63.6220
2019-01-16,55.0584
2019-01-15,53.1747
2019-01-14,54.9006
2019-01-11,53.7107
2019-01-10,58.2362
2019-01-09,62.0948
2019-01-08,56.4623
2019-01-07,54.0626
2019-01-04,55.6074
2019-01-03,37.2113
2019-01-02,49.2441
2018-12-28,48.5999
2018-12-27,36.5141
2018-12-26,42.0968
2018-12-21,44.8545
2018-12-20,35.3212
2018-12-19,36.3999
2018-12-18,45.3034
2018-12-17,43.6553
2018-12-14,40.5140
2018-12-13,38.1660
2018-12-12,36.3074
2018-12-11,37.3169
2018-12-10,34.4649
2018-12-07,38.7938
2018-12-06,43.3326
2018-12-05,45.7157
2018-12-04,46.0807
2018-12-03,51.8028
2018-11-30,45.2909
2018-11-29,40.9025
2018-11-28,42.0406
2018-11-27,27.6705
2018-11-26,28.1993
2018-11-23,27.1341
2018-11-22,39.9758
2018-11-21,42.1254
2018-11-19,45.9366
2018-11-16,49.6938
2018-11-14,44.5092
2018-11-13,49.6754
2018-11-12,41.9128
2018-11-09,40.7544
2018-11-08,51.7640
2018-11-07,54.9789
2018-11-06,53.3313
2018-11-05,54.8364
2018-11-01,54.7214
2018-10-31,51.8135
2018-10-30,39.1747
2018-10-29,35.0156
2018-10-26,43.7589
2018-10-25,38.2649
2018-10-24,37.2621
2018-10-23,45.9140
2018-10-22,53.7584
2018-10-19,43.9735
2018-10-18,43.7990
2018-10-17,55.7889
2018-10-16,49.8837
2018-10-15,49.7189
2018-10-11,43.0288
2018-10-10,39.4330
2018-10-09,47.7552
2018-10-08,43.9306
2018-10-05,45.9813
2018-10-04,52.5551
2018-10-03,59.2473
2018-10-02,67.6779
2018-10-01,64.7922
2018-09-28,62.6143
2018-09-27,61.3530
2018-09-26,64.4012
2018-09-25,78.9966
2018-09-24,74.1886
2018-09-21,80.9423
2018-09-20,77.0128
2018-09-19,74.9798
2018-09-18,71.1289
2018-09-17,61.1463
2018-09-14,62.4992
2018-09-13,54.4485
2018-09-12,52.3070
2018-09-11,46.3963
2018-09-10,50.5246
2018-09-06,52.2515
2018-09-05,43.3350
2018-09-04,42.2401
2018-09-03,55.4076
2018-08-31,52.6193
2018-08-30,60.0903
2018-08-29,65.8474
