time,SMA
2020-05-06,44.3040
2020-05-05,44.1010
2020-05-04,44.1310
2020-04-30,44.0140
2020-04-29,43.8470
2020-04-28,43.6270
2020-04-27,43.6230
2020-04-24,43.4960
2020-04-23,43.4710
2020-04-22,43.4980
2020-04-20,43.5210
2020-04-17,43.3250
2020-04-16,43.2030
2020-04-15,43.2640
2020-04-14,43.2670
2020-04-13,42.9910
2020-04-09,42.5440
2020-04-08,42.4160
2020-04-07,42.1500
2020-04-06,41.5360
2020-04-03,40.6330
2020-04-02,40.1020
2020-04-01,39.4640
2020-03-31,38.9920
2020-03-30,38.8210
2020-03-27,38.5480
2020-03-26,38.8280
2020-03-25,38.1630
2020-03-24,38.1520
2020-03-23,38.8690
2020-03-20,39.2420
2020-03-19,40.1840
2020-03-18,41.2290
2020-03-17,42.2210
2020-03-16,42.7050
2020-03-13,43.4370
2020-03-12,43.5780
2020-03-11,44.4900
2020-03-10,45.4290
2020-03-09,46.1680
2020-03-06,47.6660
2020-03-05,48.4850
2020-03-04,49.1410
2020-03-03,49.3840
2020-03-02,49.9630
2020-02-28,50.6340
2020-02-27,51.4080
2020-02-21,51.9800
2020-02-20,52.1770
2020-02-19,52.2850
2020-02-18,52.3030
2020-02-17,52.2500
2020-02-14,52.0000
2020-02-13,51.9270
2020-02-12,51.8630
2020-02-11,51.6310
2020-02-10,51.5460
2020-02-07,51.5780
2020-02-06,51.7480
2020-02-05,51.9700
2020-02-04,52.3010
2020-02-03,52.6770
2020-01-31,53.3220
2020-01-30,53.9950
2020-01-29,54.3620
2020-01-28,54.8330
2020-01-27,55.2770
2020-01-24,55.7560
2020-01-23,55.7120
2020-01-22,55.4920
2020-01-21,55.2630
2020-01-20,55.0600
2020-01-17,54.6850
2020-01-16,54.3780
2020-01-15,54.2940
2020-01-14,54.0780
2020-01-13,53.8740
2020-01-10,53.8230
2020-01-09,53.9450
2020-01-08,54.0940
2020-01-07,54.0930
2020-01-06,54.0400
2020-01-03,54.0210
2020-01-02,53.9620
2019-12-30,53.9050
2019-12-27,53.8700
2019-12-26,53.6930
2019-12-23,53.3340
2019-12-20,53.0200
2019-12-19,52.6760
2019-12-18,52.3710
2019-12-17,52.1160
2019-12-16,51.8160
2019-12-13,51.6160
2019-12-12,51.2380
2019-12-11,50.9800
2019-12-10,50.8550
2019-12-09,50.8570
2019-12-06,50.7990
2019-12-05,50.7180
2019-12-04,50.4650
2019-12-03,50.1900
2019-12-02,49.9090
2019-11-29,49.4750
2019-11-28,49.1890
2019-11-27,48.9420
2019-11-26,48.6970
2019-11-25,48.4930
2019-11-22,48.4180
2019-11-21,48.3330
2019-11-19,48.4780
2019-11-18,48.6680
2019-11-14,48.7510
2019-11-13,48.7710
2019-11-12,48.9180
2019-11-11,48.9930
2019-11-08,49.0500
2019-11-07,48.9880
2019-11-06,48.6520
2019-11-05,48.3940
2019-11-04,48.1370
2019-11-01,47.8510
2019-10-31,47.6100
2019-10-30,47.5610
2019-10-29,47.3820
2019-10-28,47.3080
2019-10-25,47.2370
2019-10-24,47.2450
2019-10-23,47.2940
2019-10-22,47.1500
2019-10-21,46.9520
2019-10-18,46.8350
2019-10-17,46.8910
2019-10-16,46.7640
2019-10-15,46.6160
2019-10-14,46.5960
2019-10-11,46.5720
2019-10-10,46.4740
2019-10-09,46.5360
2019-10-08,46.7550
2019-10-07,46.9160
2019-10-04,47.1220
2019-10-03,47.3050
2019-10-02,47.5930
2019-10-01,47.9010
2019-09-30,48.0200
2019-09-27,48.1040
2019-09-26,48.3170
2019-09-25,48.5000
2019-09-24,48.5090
2019-09-23,48.6400
2019-09-20,48.6190
2019-09-19,48.4220
2019-09-18,48.2420
2019-09-17,48.0540
2019-09-16,47.7160
2019-09-13,47.4580
2019-09-12,47.0360
2019-09-11,46.5770
2019-09-10,46.1300
2019-09-09,45.6380
2019-09-06,45.1290
2019-09-05,44.8120
2019-09-04,44.5490
2019-09-03,44.3120
2019-09-02,44.1440
2019-08-30,43.9080
2019-08-29,43.7200
2019-08-28,43.5990
2019-08-27,43.7390
2019-08-26,44.0570
2019-08-23,44.2930
2019-08-22,44.5140
2019-08-21,44.8430
2019-08-20,45.0760
2019-08-19,45.3540
2019-08-16,45.5890
2019-08-15,46.0040
2019-08-14,46.4550
2019-08-13,46.9480
2019-08-12,47.2990
2019-08-09,47.8090
2019-08-08,48.2830
2019-08-07,48.6140
2019-08-06,49.0310
2019-08-05,49.5450
2019-08-02,50.1900
2019-08-01,50.6780
2019-07-31,51.0970
2019-07-30,51.3850
2019-07-29,51.6890
2019-07-26,51.9320
2019-07-25,52.0900
2019-07-24,52.2460
2019-07-23,52.3940
2019-07-22,52.3130
2019-07-19,52.1040
2019-07-18,51.9990
2019-07-17,51.8690
2019-07-16,51.7390
2019-07-15,51.7990
2019-07-12,51.7120
2019-07-11,51.7010
2019-07-10,51.6540
2019-07-08,51.5790
2019-07-05,51.7240
2019-07-04,51.9320
2019-07-03,51.9950
2019-07-02,52.0660
2019-07-01,51.9470
2019-06-28,51.7220
2019-06-27,51.7250
2019-06-26,51.7040
2019-06-25,51.6890
2019-06-24,51.3850
2019-06-21,51.0110
2019-06-19,50.6470
2019-06-18,50.2560
