time,MACD,MACD_Hist,MACD_Signal
2020-05-04,0.8123,0.4929,0.3194
2020-05-01,0.7784,0.5822,0.1962
2020-04-30,0.9010,0.8504,0.0506
2020-04-29,0.7053,0.8673,-0.1620
2020-04-28,0.3445,0.7233,-0.3788
2020-04-27,0.1325,0.6922,-0.5596
2020-04-24,-0.0352,0.6975,-0.7327
2020-04-23,-0.2273,0.6798,-0.9071
2020-04-22,-0.4406,0.6364,-1.0770
2020-04-21,-0.5722,0.6639,-1.2361
2020-04-20,-0.6126,0.7894,-1.4021
2020-04-17,-0.6778,0.9217,-1.5995
2020-04-16,-0.9587,0.8711,-1.8299
2020-04-15,-0.8890,1.1586,-2.0477
2020-04-14,-0.9225,1.4148,-2.3373
2020-04-13,-1.1504,1.5406,-2.6910
2020-04-09,-1.4581,1.6181,-3.0762
2020-04-08,-1.8673,1.6133,-3.4807
2020-04-07,-2.4358,1.4482,-3.8840
2020-04-06,-2.8602,1.3858,-4.2461
2020-04-03,-3.2819,1.3106,-4.5925
2020-04-02,-3.6441,1.2761,-4.9202
2020-04-01,-4.1746,1.0646,-5.2392
2020-03-31,-4.4987,1.0066,-5.5053
2020-03-30,-4.8918,0.8652,-5.7570
2020-03-27,-5.2744,0.6989,-5.9733
2020-03-26,-5.6302,0.5179,-6.1480
2020-03-25,-6.1927,0.0848,-6.2775
2020-03-24,-6.6648,-0.3661,-6.2987
2020-03-23,-6.9822,-0.7750,-6.2072
2020-03-20,-6.8794,-0.8659,-6.0134
2020-03-19,-6.7794,-0.9825,-5.7969
2020-03-18,-6.7253,-1.1740,-5.5513
2020-03-17,-6.4251,-1.1673,-5.2578
2020-03-16,-6.3242,-1.3582,-4.9660
2020-03-13,-5.8671,-1.2407,-4.6264
2020-03-12,-5.5680,-1.2517,-4.3163
2020-03-11,-5.0095,-1.0062,-4.0033
2020-03-10,-4.7126,-0.9608,-3.7518
2020-03-09,-4.4106,-0.8990,-3.5116
2020-03-06,-3.8032,-0.5164,-3.2868
2020-03-05,-3.5662,-0.4085,-3.1578
2020-03-04,-3.4583,-0.4026,-3.0556
2020-03-03,-3.5054,-0.5504,-2.9550
2020-03-02,-3.4005,-0.5832,-2.8174
2020-02-28,-3.4799,-0.8083,-2.6716
2020-02-27,-3.2822,-0.8127,-2.4695
2020-02-26,-2.8171,-0.5508,-2.2663
2020-02-25,-2.5073,-0.3787,-2.1286
2020-02-24,-2.1966,-0.1627,-2.0339
