time,RSI
2020-05-04,55.9091
2020-05-01,50.3496
2020-04-30,64.3185
2020-04-29,69.4759
2020-04-28,62.7068
2020-04-27,59.3508
2020-04-24,58.6683
2020-04-23,57.8184
2020-04-22,53.7866
2020-04-21,49.9722
2020-04-20,50.6801
2020-04-17,57.4750
2020-04-16,43.9912
2020-04-15,48.5155
2020-04-14,56.1333
2020-04-13,57.5086
2020-04-09,58.9665
2020-04-08,61.7061
2020-04-07,54.8646
2020-04-06,52.6169
2020-04-03,48.8668
2020-04-02,52.3913
2020-04-01,43.5546
2020-03-31,44.6994
2020-03-30,43.2658
2020-03-27,41.6734
2020-03-26,45.5890
2020-03-25,41.5446
2020-03-24,36.4000
2020-03-23,23.2965
2020-03-20,24.7822
2020-03-19,26.7972
2020-03-18,22.3953
2020-03-17,26.4233
2020-03-16,18.0865
2020-03-13,21.5203
2020-03-12,17.8871
2020-03-11,22.7212
2020-03-10,24.4963
2020-03-09,18.2673
2020-03-06,25.3457
2020-03-05,29.6358
2020-03-04,34.6784
2020-03-03,29.4394
2020-03-02,35.3109
2020-02-28,22.0839
2020-02-27,11.2391
2020-02-26,14.9192
2020-02-25,16.7618
2020-02-24,20.9987
2020-02-21,29.6480
2020-02-20,32.8581
2020-02-19,35.1076
2020-02-18,31.0354
2020-02-14,34.2758
2020-02-13,35.4885
2020-02-12,36.9158
2020-02-11,31.5208
2020-02-10,27.2050
2020-02-07,32.0157
2020-02-06,33.4617
2020-02-05,36.5409
2020-02-04,13.1973
2020-02-03,14.5211
2020-01-31,17.3929
2020-01-30,26.4287
2020-01-29,16.4836
2020-01-28,18.2464
2020-01-27,18.5439
2020-01-24,24.9778
2020-01-23,27.4161
2020-01-22,29.8650
2020-01-21,32.2742
2020-01-17,39.4762
2020-01-16,41.6980
2020-01-15,44.0131
2020-01-14,44.9278
2020-01-13,50.0319
2020-01-10,43.6998
2020-01-09,48.9435
2020-01-08,43.7507
2020-01-07,53.5553
2020-01-06,60.1988
2020-01-03,55.5817
2020-01-02,62.4656
2019-12-31,51.9392
2019-12-30,48.4544
2019-12-27,53.1990
2019-12-26,56.0927
2019-12-24,55.0849
2019-12-23,58.0271
2019-12-20,55.2378
2019-12-19,50.5944
2019-12-18,55.0825
2019-12-17,53.6167
2019-12-16,56.4068
2019-12-13,50.8700
2019-12-12,60.9065
2019-12-11,49.8313
2019-12-10,50.7693
2019-12-09,56.5139
2019-12-06,55.3779
2019-12-05,46.0813
2019-12-04,48.0469
2019-12-03,40.7492
2019-12-02,44.7135
2019-11-29,41.9856
2019-11-27,46.0006
2019-11-26,46.2801
2019-11-25,47.3814
2019-11-22,50.2959
2019-11-21,52.1799
2019-11-20,41.3759
2019-11-19,39.8087
2019-11-18,43.2797
2019-11-15,46.7944
2019-11-14,42.4637
2019-11-13,43.8607
2019-11-12,46.4752
2019-11-11,51.1447
2019-11-08,53.2804
2019-11-07,66.2511
2019-11-06,60.3573
2019-11-05,72.3228
2019-11-04,67.1156
2019-11-01,56.3385
2019-10-31,38.5692
2019-10-30,39.6421
2019-10-29,45.0568
2019-10-28,46.6497
2019-10-25,51.6635
2019-10-24,50.4052
2019-10-23,55.7977
2019-10-22,51.0882
2019-10-21,48.4678
2019-10-18,38.9665
2019-10-17,42.2552
2019-10-16,42.8073
2019-10-15,50.6895
2019-10-14,48.9844
2019-10-11,47.6262
2019-10-10,42.6067
2019-10-09,36.5322
2019-10-08,30.4826
2019-10-07,35.9899
2019-10-04,40.7599
2019-10-03,32.3507
2019-10-02,24.2358
2019-10-01,31.6448
2019-09-30,42.4043
2019-09-27,50.5040
2019-09-26,44.9571
2019-09-25,48.6102
2019-09-24,46.4458
2019-09-23,56.5515
2019-09-20,56.1175
2019-09-19,58.7586
2019-09-18,64.0786
2019-09-17,68.0388
2019-09-16,74.6853
2019-09-13,69.4589
2019-09-12,65.5871
2019-09-11,65.2870
2019-09-10,66.7537
2019-09-09,63.7143
2019-09-06,60.5829
2019-09-05,56.6112
2019-09-04,49.8596
2019-09-03,44.0197
2019-08-30,43.3692
2019-08-29,42.9966
2019-08-28,37.4395
2019-08-27,33.6353
2019-08-26,36.3120
2019-08-23,33.7228
2019-08-22,42.7632
2019-08-21,43.5204
2019-08-20,39.0524
2019-08-19,40.8215
2019-08-16,33.3850
2019-08-15,25.7142
2019-08-14,26.7711
2019-08-13,36.3073
2019-08-12,29.4592
2019-08-09,34.1021
2019-08-08,41.6148
2019-08-07,22.9703
2019-08-06,24.7078
2019-08-05,16.2828
2019-08-02,20.8141
2019-08-01,23.6786
2019-07-31,35.4177
2019-07-30,46.1463
2019-07-29,45.9976
2019-07-26,37.8055
2019-07-25,39.0114
2019-07-24,43.4848
2019-07-23,43.5894
2019-07-22,39.6706
2019-07-19,38.6477
2019-07-18,36.8405
2019-07-17,41.5389
2019-07-16,45.1855
2019-07-15,56.6174
2019-07-12,63.5365
2019-07-11,63.0936
2019-07-10,62.6858
2019-07-09,54.5492
2019-07-08,55.0493
2019-07-05,52.2936
2019-07-03,54.9805
2019-07-02,49.5635
2019-07-01,56.7310
2019-06-28,57.3530
2019-06-27,51.8553
2019-06-26,58.3774
2019-06-25,56.2838
2019-06-24,62.0744
2019-06-21,69.0300
2019-06-20,63.6850
2019-06-19,55.4127
2019-06-18,59.3760
2019-06-17,54.8812
2019-06-14,49.1122
2019-06-13,51.7689
2019-06-12,46.6533
2019-06-11,52.9523
2019-06-10,53.5142
2019-06-07,51.3224
2019-06-06,49.5715
2019-06-05,40.0043
2019-06-04,43.4033
2019-06-03,27.9607
2019-05-31,14.2997
2019-05-30,17.5350
2019-05-29,18.1192
2019-05-28,19.5042
2019-05-24,25.2579
2019-05-23,20.8880
2019-05-22,29.8590
2019-05-21,35.1565
2019-05-20,29.4416
2019-05-17,29.5085
2019-05-16,32.4981
2019-05-15,32.5641
2019-05-14,24.8767
2019-05-13,23.4747
2019-05-10,27.3843
2019-05-09,28.4374
2019-05-08,28.7693
2019-05-07,27.4631
2019-05-06,29.1043
2019-05-03,30.4629
2019-05-02,28.8810
2019-05-01,34.2585
2019-04-30,42.5836
2019-04-29,40.0594
2019-04-26,42.9072
2019-04-25,54.5099
2019-04-24,51.3624
2019-04-23,65.7902
2019-04-22,63.0201
2019-04-18,49.4309
2019-04-17,52.3663
2019-04-16,50.3311
2019-04-15,45.3014
2019-04-12,47.4231
2019-04-11,56.5103
2019-04-10,53.4720
2019-04-09,56.8640
2019-04-08,68.1089
2019-04-05,65.1528
2019-04-04,62.4502
2019-04-03,54.0715
2019-04-02,59.0186
2019-04-01,62.7884
2019-03-29,56.0793
2019-03-28,55.6147
2019-03-27,52.6063
2019-03-26,58.0997
2019-03-25,50.2579
2019-03-22,55.2709
2019-03-21,69.9629
2019-03-20,67.1427
2019-03-19,64.2503
2019-03-18,66.7170
2019-03-15,60.7039
2019-03-14,63.9461
2019-03-13,66.9421
2019-03-12,62.8195
2019-03-11,61.4798
2019-03-08,56.5482
2019-03-07,68.3023
2019-03-06,63.0066
2019-03-05,74.6071
2019-03-04,76.2738
2019-03-01,74.9740
2019-02-28,70.4086
2019-02-27,76.0742
2019-02-26,72.3938
2019-02-25,71.6176
2019-02-22,71.2539
2019-02-21,68.5320
2019-02-20,76.2179
2019-02-19,75.1585
2019-02-15,73.3032
2019-02-14,67.1972
2019-02-13,67.1031
2019-02-12,63.0510
2019-02-11,55.5074
2019-02-08,54.7397
2019-02-07,60.1921
2019-02-06,65.0218
2019-02-05,67.8078
2019-02-04,64.6247
2019-02-01,74.0369
2019-01-31,62.1204
2019-01-30,55.1771
2019-01-29,48.4809
2019-01-28,45.9661
2019-01-25,49.8602
2019-01-24,47.1751
2019-01-23,46.3673
2019-01-22,50.4651
2019-01-18,59.2518
2019-01-17,53.5626
2019-01-16,49.9816
2019-01-15,50.1949
2019-01-14,49.9385
2019-01-11,50.4645
2019-01-10,52.2817
2019-01-09,54.2532
2019-01-08,52.6011
2019-01-07,50.3949
2019-01-04,48.8709
2019-01-03,36.9498
2019-01-02,40.5484
2018-12-31,32.2199
2018-12-28,32.1058
2018-12-27,34.0951
2018-12-26,32.6314
2018-12-24,14.8800
2018-12-21,18.5478
2018-12-20,19.3883
2018-12-19,23.4136
2018-12-18,26.1906
2018-12-17,31.8811
2018-12-14,37.4023
2018-12-13,43.5769
2018-12-12,37.1763
2018-12-11,39.9827
2018-12-10,39.1051
2018-12-07,43.6150
2018-12-06,46.9366
2018-12-04,51.8661
2018-12-03,61.9438
2018-11-30,54.2576
2018-11-29,52.0268
2018-11-28,48.9186
2018-11-27,41.0260
2018-11-26,40.6131
2018-11-23,31.4136
2018-11-21,38.9596
2018-11-20,34.9513
2018-11-19,45.1206
2018-11-16,43.4081
2018-11-15,38.2744
2018-11-14,32.5533
2018-11-13,34.7645
2018-11-12,42.5724
2018-11-09,48.0975
2018-11-08,53.1077
2018-11-07,62.2836
2018-11-06,57.0176
2018-11-05,55.1196
2018-11-02,57.1305
2018-11-01,50.4069
2018-10-31,44.3289
2018-10-30,38.1245
2018-10-29,23.3450
2018-10-26,24.8258
2018-10-25,27.3642
2018-10-24,20.9272
2018-10-23,28.1512
2018-10-22,34.4706
2018-10-19,39.4610
2018-10-18,38.2843
2018-10-17,34.9659
2018-10-16,32.1516
2018-10-15,28.6308
2018-10-12,30.7470
2018-10-11,31.5720
2018-10-10,46.4672
2018-10-09,65.3889
2018-10-08,62.7845
2018-10-05,56.6862
2018-10-04,59.3451
2018-10-03,65.9579
2018-10-02,69.7630
2018-10-01,66.0691
2018-09-28,60.8356
2018-09-27,70.0699
2018-09-26,70.1978
2018-09-25,79.6117
2018-09-24,80.9690
2018-09-21,75.6194
2018-09-20,74.0101
2018-09-19,73.1440
2018-09-18,68.1101
2018-09-17,66.8810
2018-09-14,64.1079
2018-09-13,60.4592
2018-09-12,68.9789
2018-09-11,67.6096
2018-09-10,61.0127
2018-09-07,62.2024
2018-09-06,52.7315
2018-09-05,61.9021
2018-09-04,53.1918
2018-08-31,52.0861
2018-08-30,55.4246
2018-08-29,58.9237
2018-08-28,54.6541
2018-08-27,55.7328
2018-08-24,49.9544
2018-08-23,45.5236
2018-08-22,52.3170
2018-08-21,42.3798
2018-08-20,42.1879
2018-08-17,36.9940
2018-08-16,34.4900
2018-08-15,23.3062
2018-08-14,29.0812
2018-08-13,30.3149
2018-08-10,34.8983
2018-08-09,40.6932
2018-08-08,43.6659
2018-08-07,47.8057
2018-08-06,36.9459
2018-08-03,37.0733
2018-08-02,34.1087
2018-08-01,36.6832
2018-07-31,43.5930
2018-07-30,45.1653
