time,SMA
2020-05-06,43.3075
2020-05-05,43.1700
2020-05-04,42.9520
2020-05-01,42.6685
2020-04-30,42.5315
2020-04-29,42.0845
2020-04-28,41.6100
2020-04-27,41.2365
2020-04-24,40.8870
2020-04-23,40.6415
2020-04-22,40.3335
2020-04-21,39.9990
2020-04-20,39.5235
2020-04-17,39.1015
2020-04-16,38.6620
2020-04-15,38.3605
2020-04-14,38.1770
2020-04-13,37.7800
2020-04-09,37.5480
2020-04-08,37.2505
2020-04-07,37.1570
2020-04-06,37.2655
2020-04-03,37.3350
2020-04-02,37.7590
2020-04-01,38.2445
2020-03-31,38.9890
2020-03-30,39.6555
2020-03-27,40.4745
2020-03-26,41.1990
2020-03-25,41.7490
2020-03-24,42.5350
2020-03-23,43.4730
2020-03-20,44.7185
2020-03-19,46.0380
2020-03-18,47.3095
2020-03-17,48.6705
2020-03-16,49.8240
2020-03-13,51.1320
2020-03-12,52.2725
2020-03-11,53.4770
2020-03-10,54.4045
2020-03-09,55.2320
2020-03-06,56.2125
2020-03-05,56.9220
2020-03-04,57.5530
2020-03-03,57.9305
2020-03-02,58.4020
2020-02-28,58.8140
2020-02-27,59.4815
2020-02-26,60.1960
2020-02-25,60.7780
2020-02-24,61.3050
2020-02-21,61.8030
2020-02-20,62.1850
2020-02-19,62.5515
2020-02-18,62.9135
2020-02-14,63.3475
2020-02-13,63.7560
2020-02-12,64.1640
2020-02-11,64.5605
2020-02-10,65.0240
2020-02-07,65.4830
2020-02-06,65.8975
2020-02-05,66.2650
2020-02-04,66.6430
2020-02-03,67.1880
2020-01-31,67.6680
2020-01-30,68.1070
2020-01-29,68.3565
2020-01-28,68.6250
2020-01-27,68.8870
2020-01-24,69.1565
2020-01-23,69.3415
2020-01-22,69.5175
2020-01-21,69.6550
2020-01-17,69.7455
2020-01-16,69.8110
2020-01-15,69.8540
2020-01-14,69.8995
2020-01-13,69.9010
2020-01-10,69.9280
2020-01-09,69.9190
2020-01-08,69.8840
2020-01-07,69.9055
2020-01-06,69.8665
2020-01-03,69.7435
2020-01-02,69.6595
2019-12-31,69.5085
2019-12-30,69.4405
2019-12-27,69.3730
2019-12-26,69.3135
2019-12-24,69.2440
2019-12-23,69.1885
2019-12-20,69.1425
2019-12-19,69.1290
2019-12-18,69.0610
2019-12-17,68.9585
2019-12-16,68.9005
2019-12-13,68.8600
2019-12-12,68.8235
2019-12-11,68.7465
2019-12-10,68.7670
2019-12-09,68.8310
2019-12-06,68.8865
2019-12-05,69.0615
2019-12-04,69.2155
2019-12-03,69.4375
2019-12-02,69.6270
2019-11-29,69.6860
2019-11-27,69.6580
2019-11-26,69.6090
2019-11-25,69.5940
2019-11-22,69.5805
2019-11-21,69.5745
2019-11-20,69.5455
2019-11-19,69.6315
2019-11-18,69.6950
2019-11-15,69.7060
2019-11-14,69.6270
2019-11-13,69.6090
2019-11-12,69.5805
2019-11-11,69.5830
2019-11-08,69.5250
2019-11-07,69.4355
2019-11-06,69.1975
2019-11-05,68.9950
2019-11-04,68.6755
2019-11-01,68.4930
2019-10-31,68.4615
2019-10-30,68.4820
2019-10-29,68.4535
2019-10-28,68.4790
2019-10-25,68.5775
2019-10-24,68.6890
2019-10-23,68.7830
2019-10-22,68.8630
2019-10-21,68.9655
2019-10-18,69.1350
2019-10-17,69.3585
2019-10-16,69.5680
2019-10-15,69.7975
2019-10-14,69.9850
2019-10-11,70.2125
2019-10-10,70.3955
2019-10-09,70.5820
2019-10-08,70.8065
2019-10-07,71.0750
2019-10-04,71.2485
2019-10-03,71.3465
2019-10-02,71.4610
2019-10-01,71.5680
2019-09-30,71.5485
2019-09-27,71.4420
2019-09-26,71.2895
2019-09-25,71.1250
2019-09-24,70.9170
2019-09-23,70.7525
2019-09-20,70.5205
2019-09-19,70.3950
2019-09-18,70.2645
2019-09-17,70.0750
2019-09-16,69.8890
2019-09-13,69.6175
2019-09-12,69.3480
2019-09-11,69.1315
2019-09-10,69.0595
2019-09-09,68.9375
2019-09-06,68.9050
2019-09-05,68.9775
2019-09-04,68.9890
2019-09-03,69.0725
2019-08-30,69.1585
2019-08-29,69.3220
2019-08-28,69.5235
2019-08-27,69.8575
2019-08-26,70.2655
2019-08-23,70.6400
2019-08-22,71.0060
2019-08-21,71.2740
2019-08-20,71.5560
2019-08-19,71.8730
2019-08-16,72.1540
2019-08-15,72.4885
2019-08-14,72.8680
2019-08-13,73.2595
2019-08-12,73.5315
2019-08-09,73.9040
2019-08-08,74.2435
2019-08-07,74.5030
2019-08-06,74.8535
2019-08-05,75.1270
2019-08-02,75.4370
2019-08-01,75.6560
2019-07-31,75.8550
2019-07-30,75.9230
2019-07-29,75.9835
2019-07-26,76.0480
2019-07-25,76.0985
2019-07-24,76.1820
2019-07-23,76.2275
2019-07-22,76.3065
2019-07-19,76.4375
2019-07-18,76.5185
2019-07-17,76.5425
2019-07-16,76.5555
2019-07-15,76.5135
2019-07-12,76.3770
2019-07-11,76.2295
2019-07-10,76.0525
2019-07-09,75.9190
2019-07-08,75.8430
2019-07-05,75.7480
2019-07-03,75.6570
2019-07-02,75.4840
2019-07-01,75.3775
2019-06-28,75.1435
2019-06-27,74.8505
2019-06-26,74.6580
2019-06-25,74.4360
2019-06-24,74.2530
2019-06-21,74.1105
2019-06-20,73.9155
2019-06-19,73.8630
2019-06-18,73.9095
2019-06-17,73.9175
2019-06-14,73.9585
2019-06-13,74.0590
2019-06-12,74.1435
2019-06-11,74.2325
2019-06-10,74.2760
2019-06-07,74.3585
2019-06-06,74.4680
2019-06-05,74.5945
2019-06-04,74.7815
2019-06-03,74.9585
2019-05-31,75.2380
2019-05-30,75.5640
2019-05-29,75.8990
2019-05-28,76.3050
2019-05-24,76.6730
2019-05-23,76.9925
2019-05-22,77.4140
2019-05-21,77.7240
2019-05-20,78.0805
2019-05-17,78.4305
2019-05-16,78.6915
2019-05-15,78.9450
2019-05-14,79.1865
2019-05-13,79.4285
2019-05-10,79.6890
2019-05-09,79.9585
2019-05-08,80.1980
2019-05-07,80.4525
2019-05-06,80.7665
2019-05-03,81.0345
2019-05-02,81.2635
2019-05-01,81.4440
2019-04-30,81.5795
2019-04-29,81.6520
2019-04-26,81.6935
2019-04-25,81.7060
2019-04-24,81.6120
2019-04-23,81.5720
2019-04-22,81.3990
2019-04-18,81.2780
2019-04-17,81.3110
2019-04-16,81.3055
2019-04-15,81.2890
2019-04-12,81.3105
2019-04-11,81.2720
2019-04-10,81.1965
2019-04-09,81.1540
2019-04-08,81.0575
2019-04-05,80.8965
2019-04-04,80.7225
2019-04-03,80.6280
2019-04-02,80.5470
2019-04-01,80.4875
2019-03-29,80.4165
2019-03-28,80.3765
2019-03-27,80.2910
2019-03-26,80.2475
2019-03-25,80.1325
2019-03-22,80.0615
2019-03-21,79.9585
2019-03-20,79.7600
2019-03-19,79.6205
2019-03-18,79.4885
2019-03-15,79.3200
2019-03-14,79.1260
2019-03-13,78.9165
2019-03-12,78.6510
2019-03-11,78.3560
2019-03-08,78.0660
2019-03-07,77.8495
2019-03-06,77.6045
2019-03-05,77.4200
2019-03-04,77.1515
2019-03-01,76.9320
2019-02-28,76.5960
2019-02-27,76.2590
2019-02-26,75.8610
2019-02-25,75.4900
2019-02-22,75.1510
2019-02-21,74.8000
2019-02-20,74.4740
2019-02-19,74.1420
2019-02-15,73.8800
2019-02-14,73.6010
2019-02-13,73.3695
2019-02-12,73.1405
2019-02-11,72.9520
2019-02-08,72.8330
2019-02-07,72.7365
2019-02-06,72.6235
2019-02-05,72.4625
2019-02-04,72.2590
2019-02-01,72.0755
2019-01-31,71.7105
2019-01-30,71.5310
2019-01-29,71.3260
2019-01-28,71.1590
2019-01-25,71.0440
2019-01-24,70.8900
2019-01-23,70.5955
2019-01-22,70.4365
2019-01-18,70.2735
2019-01-17,70.1630
2019-01-16,70.1565
2019-01-15,70.2765
2019-01-14,70.4720
2019-01-11,70.7395
2019-01-10,70.9545
2019-01-09,71.1860
2019-01-08,71.3920
2019-01-07,71.6720
2019-01-04,72.0155
2019-01-03,72.4295
2019-01-02,73.0595
2018-12-31,73.5500
2018-12-28,74.0935
2018-12-27,74.6075
2018-12-26,75.0130
2018-12-24,75.4300
2018-12-21,75.9290
2018-12-20,76.4010
2018-12-19,76.8180
2018-12-18,77.2400
2018-12-17,77.5880
2018-12-14,77.7955
2018-12-13,77.8860
2018-12-12,77.9370
2018-12-11,78.1275
2018-12-10,78.3370
2018-12-07,78.5955
2018-12-06,78.8650
2018-12-04,79.0450
2018-12-03,79.1555
2018-11-30,79.1920
2018-11-29,79.2505
2018-11-28,79.2815
2018-11-27,79.2980
2018-11-26,79.2980
2018-11-23,79.3255
2018-11-21,79.4665
2018-11-20,79.4695
2018-11-19,79.6130
2018-11-16,79.7095
2018-11-15,79.8600
2018-11-14,80.0430
2018-11-13,80.2485
2018-11-12,80.4085
2018-11-09,80.4580
2018-11-08,80.4835
2018-11-07,80.4780
2018-11-06,80.5525
2018-11-05,80.7785
2018-11-02,81.0030
2018-11-01,81.1725
2018-10-31,81.4180
2018-10-30,81.7415
2018-10-29,82.1255
2018-10-26,82.5635
2018-10-25,82.9380
2018-10-24,83.3110
2018-10-23,83.7190
2018-10-22,84.0520
2018-10-19,84.3245
2018-10-18,84.4845
2018-10-17,84.6330
2018-10-16,84.7895
2018-10-15,84.9110
2018-10-12,85.0405
2018-10-11,85.1175
2018-10-10,85.1535
2018-10-09,85.0840
2018-10-08,84.9015
2018-10-05,84.6805
2018-10-04,84.5050
2018-10-03,84.2490
2018-10-02,84.0095
2018-10-01,83.7010
2018-09-28,83.4190
2018-09-27,83.1935
2018-09-26,82.9480
2018-09-25,82.6730
2018-09-24,82.3680
2018-09-21,82.0190
2018-09-20,81.7145
2018-09-19,81.4715
2018-09-18,81.1815
2018-09-17,80.9405
2018-09-14,80.6830
2018-09-13,80.4370
2018-09-12,80.1680
2018-09-11,79.9270
2018-09-10,79.7120
2018-09-07,79.5975
2018-09-06,79.5220
2018-09-05,79.5355
2018-09-04,79.5310
2018-08-31,79.5255
2018-08-30,79.5270
2018-08-29,79.4970
2018-08-28,79.4735
2018-08-27,79.5350
2018-08-24,79.6020
2018-08-23,79.7170
2018-08-22,79.9750
2018-08-21,80.1565
2018-08-20,80.3655
2018-08-17,80.4950
2018-08-16,80.6520
2018-08-15,80.8525
2018-08-14,81.1165
2018-08-13,81.3165
2018-08-10,81.5130
2018-08-09,81.7075
2018-08-08,81.8260
2018-08-07,81.9190
2018-08-06,82.0385
2018-08-03,82.1745
2018-08-02,82.2810
2018-08-01,82.4010
2018-07-31,82.4935
2018-07-30,82.5060
2018-07-27,82.5555
2018-07-26,82.5580
2018-07-25,82.4315
2018-07-24,82.2840
2018-07-23,82.1205
2018-07-20,82.1195
2018-07-19,82.0340
2018-07-18,81.9560
2018-07-17,81.8800
2018-07-16,81.8055
2018-07-13,81.7140
2018-07-12,81.6430
2018-07-11,81.5840
2018-07-10,81.5755
2018-07-09,81.5475
2018-07-06,81.5825
2018-07-05,81.6100
2018-07-03,81.5975
2018-07-02,81.5195
2018-06-29,81.4800
2018-06-28,81.4350
2018-06-27,81.3985
2018-06-26,81.3880
2018-06-25,81.2770
2018-06-22,81.2255
2018-06-21,81.1700
2018-06-20,81.2930
2018-06-19,81.3525
2018-06-18,81.4315
2018-06-15,81.4555
2018-06-14,81.5165
2018-06-13,81.5230
2018-06-12,81.5370
2018-06-11,81.5075
2018-06-08,81.4165
2018-06-07,81.3225
2018-06-06,81.1750
2018-06-05,80.9765
2018-06-04,80.8295
2018-06-01,80.6260
2018-05-31,80.3615
2018-05-30,80.1395
2018-05-29,79.9120
2018-05-25,79.8785
2018-05-24,79.8325
2018-05-23,79.8620
2018-05-22,79.7295
2018-05-21,79.5650
2018-05-18,79.4295
2018-05-17,79.3145
2018-05-16,79.1915
2018-05-15,79.0515
2018-05-14,78.8785
2018-05-11,78.7140
2018-05-10,78.5420
2018-05-09,78.3170
2018-05-08,78.1920
2018-05-07,78.1410
2018-05-04,77.9975
2018-05-03,77.8960
2018-05-02,77.8700
2018-05-01,77.7735
2018-04-30,77.6770
2018-04-27,77.4505
2018-04-26,77.2915
2018-04-25,76.8890
2018-04-24,76.5990
2018-04-23,76.3815
2018-04-20,76.0475
2018-04-19,75.7725
2018-04-18,75.5535
2018-04-17,75.2920
2018-04-16,75.0830
2018-04-13,74.9120
2018-04-12,74.7410
2018-04-11,74.5600
2018-04-10,74.4150
2018-04-09,74.3235
2018-04-06,74.3080
2018-04-05,74.2705
2018-04-04,74.1825
2018-04-03,74.2480
2018-04-02,74.3105
2018-03-29,74.4270
2018-03-28,74.4565
2018-03-27,74.6030
2018-03-26,74.7930
2018-03-23,75.0350
2018-03-22,75.2670
2018-03-21,75.3850
2018-03-20,75.3775
2018-03-19,75.4655
2018-03-16,75.5850
2018-03-15,75.6395
2018-03-14,75.7415
